AssetType,Easting,Northing,Geometry,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
LD Watercourses,372699.60091933399,155382.20156269852,"{""type"":""LineString"",""coordinates"":[[-2.392939862469354,51.296905327506643],[-2.392942834127247,51.296907115378872]]}","(51.296906221442754, -2.3929413482983)",,,,,
LD Watercourses,372435.82492458797,164845.702663687,"{""type"":""LineString"",""coordinates"":[[-2.397474970249359,51.381990276182165],[-2.397445369679113,51.381978690788472]]}","(51.38198448348532, -2.397460169964236)",28,92,479,11,1
LD Watercourses,372554.14979644952,164794.47232821802,"{""type"":""LineString"",""coordinates"":[[-2.395773997648065,51.381533367044945],[-2.395738035334313,51.381525847824157]]}","(51.38152960743455, -2.3957560164911893)",28,92,482,11,1
LD Watercourses,372563.97378675203,164824.39876186551,"{""type"":""LineString"",""coordinates"":[[-2.395636984970135,51.381801346238774],[-2.395597377021017,51.381796985483462]]}","(51.38179916586112, -2.395617180995576)",29,15,308,8,1
LD Watercourses,372000.67533485498,165300.95234982,"{""type"":""LineString"",""coordinates"":[[-2.403739020903726,51.386047930456506],[-2.403758483771739,51.386064942678161]]}","(51.38605643656733, -2.4037487523377328)",29,17,321,8,1
LD Watercourses,371073.200779184,163224.44674336648,"{""type"":""LineString"",""coordinates"":[[-2.417010453503786,51.36736785188701],[-2.416803138669439,51.367310160534331]]}","(51.36733900621067, -2.4169067960866126)",9,28,68,22,1
LD Watercourses,370991.19952400302,166112.65000378352,"{""type"":""LineString"",""coordinates"":[[-2.418317288061636,51.3933186691158],[-2.41832566786334,51.393288975128712]]}","(51.393303822122256, -2.418321477962488)",1,25,50,10,1
LD Watercourses,370997.75022504746,166125.651282206,"{""type"":""LineString"",""coordinates"":[[-2.418196657066974,51.393488185024978],[-2.418260135427534,51.393353930751339]]}","(51.39342105788816, -2.4182283962472537)",1,25,50,10,1
LD Watercourses,370424.652518032,162464.80418878602,"{""type"":""LineString"",""coordinates"":[[-2.426168423992814,51.360464379143046],[-2.426149914725409,51.360486020493056]]}","(51.360475199818055, -2.426159169359112)",9,28,69,22,1
LD Watercourses,370428.15254646994,162462.0999628625,"{""type"":""LineString"",""coordinates"":[[-2.426092266401708,51.360462858467066],[-2.426125086378616,51.360439277323671]]}","(51.360451067895376, -2.426108676390162)",9,28,69,22,1
LD Watercourses,370201.10005386756,162178.4461579195,"{""type"":""LineString"",""coordinates"":[[-2.429332886185124,51.357901784410977],[-2.429358573783513,51.357875621640666]]}","(51.35788870302582, -2.429345729984319)",9,28,69,22,1
LD Watercourses,370206.15015379252,162175.39703072351,"{""type"":""LineString"",""coordinates"":[[-2.429259465984125,51.357875985014651],[-2.42928643088002,51.357847120827785]]}","(51.35786155292123, -2.4292729484320725)",9,28,67,22,1
LD Watercourses,369799.000791559,165493.94710564602,"{""type"":""LineString"",""coordinates"":[[-2.435395847292509,51.387668072278757],[-2.435410498808992,51.387688692789617]]}","(51.38767838253419, -2.4354031730507506)",8,41,124,16,1
LD Watercourses,369801.95252343302,165495.24673363101,"{""type"":""LineString"",""coordinates"":[[-2.435371755159409,51.387701421588069],[-2.435349977475985,51.387679029737235]]}","(51.38769022566265, -2.435360866317697)",8,41,124,16,1
LD Watercourses,369609.99925593851,160514.55244254149,"{""type"":""LineString"",""coordinates"":[[-2.437700560235309,51.342893303512433],[-2.437683338238663,51.342899660329508]]}","(51.342896481920974, -2.437691949236986)",9,28,69,22,1
LD Watercourses,369617.04878317949,160514.972322352,"{""type"":""LineString"",""coordinates"":[[-2.437612624454127,51.342894980608094],[-2.437568933893406,51.34290629050178]]}","(51.34290063555494, -2.4375907791737665)",9,28,69,22,1
LD Watercourses,369616.24076719198,160516.95675431448,"{""type"":""LineString"",""coordinates"":[[-2.437624866044316,51.34291255366486],[-2.437580232794767,51.34292431654589]]}","(51.342918435105375, -2.437602549419541)",9,28,69,22,1
LD Watercourses,369600.90083101299,165103.4988702905,"{""type"":""LineString"",""coordinates"":[[-2.438186200071243,51.384151817314802],[-2.438246607450043,51.384162378241925]]}","(51.38415709777836, -2.438216403760643)",9,28,68,22,1
LD Watercourses,369602.50037286704,165108.04756823898,"{""type"":""LineString"",""coordinates"":[[-2.438215378073325,51.38420474399544],[-2.438172242392979,51.384191421696443]]}","(51.38419808284594, -2.438193810233152)",9,28,68,22,1
LD Watercourses,369508.11503591191,160442.88795628701,"{""type"":""LineString"",""coordinates"":[[-2.439071601007686,51.342277893606472],[-2.439225360573524,51.342215381335748]]}","(51.342246637471106, -2.4391484807906045)",9,28,69,22,1
LD Watercourses,369441.04970891599,164293.800643997,"{""type"":""LineString"",""coordinates"":[[-2.440421346149822,51.376887134990909],[-2.440465523533138,51.376849214458602]]}","(51.376868174724756, -2.4404434348414803)",9,28,68,22,1
LD Watercourses,371446.34750943648,155799.45212596748,"{""type"":""LineString"",""coordinates"":[[-2.410951370031051,51.300601152922184],[-2.410947024277868,51.300591280007794]]}","(51.30059621646499, -2.41094919715446)",,,,,
LD Watercourses,368216.92609988811,157831.10057264852,"{""type"":""LineString"",""coordinates"":[[-2.45746212121442,51.318692773036631],[-2.457440216526731,51.318691060790812]]}","(51.31869191691372, -2.457451168870575)",9,28,63,22,1
LD Watercourses,368997.68803832645,163850.61250528198,"{""type"":""LineString"",""coordinates"":[[-2.4467890823312,51.372869137955369],[-2.446759749219576,51.372849204065197]]}","(51.37285917101028, -2.446774415775388)",9,40,130,16,1
LD Watercourses,367795.1005288951,161249.8519652425,"{""type"":""LineString"",""coordinates"":[[-2.463809921630088,51.34942060509902],[-2.463818300482936,51.349394503263923]]}","(51.34940755418147, -2.4638141110565117)",9,28,69,22,1
LD Watercourses,367791.45208935754,161249.886955227,"{""type"":""LineString"",""coordinates"":[[-2.463868729510128,51.349417405702532],[-2.463864270553951,51.349397916830043]]}","(51.349407661266284, -2.463866500032039)",9,28,69,22,1
LD Watercourses,369061.43472822953,158230.85114523751,"{""type"":""LineString"",""coordinates"":[[-2.445124033751346,51.322398236267333],[-2.445612499517746,51.322267742049817]]}","(51.322332989158575, -2.4453682666345458)",9,28,62,22,1
LD Watercourses,363887.88562646951,157263.18813589303,"{""type"":""LineString"",""coordinates"":[[-2.519530536258672,51.313286876428876],[-2.519488841843657,51.313365897271431]]}","(51.31332638685015, -2.5195096890511643)",3,43,136,23,1
LD Watercourses,365267.65125390253,169171.9492884725,"{""type"":""LineString"",""coordinates"":[[-2.500940095122614,51.420516226233481],[-2.500822921629872,51.420460006019475]]}","(51.42048811612648, -2.500881508376243)",24,48,161,1,1
LD Watercourses,364991.14900734648,169381.39933402051,"{""type"":""LineString"",""coordinates"":[[-2.505006416944864,51.422413085761704],[-2.504750648913037,51.422295442077022]]}","(51.42235426391936, -2.5048785329289505)",24,48,161,1,1
LD Watercourses,364671.40141531499,169537.84955061201,"{""type"":""LineString"",""coordinates"":[[-2.509827396762107,51.423852394093629],[-2.509157653149623,51.423629680423041]]}","(51.42374103725834, -2.5094925249558644)",24,48,161,1,1
LD Watercourses,365702.19895417453,168646.19978270301,"{""type"":""LineString"",""coordinates"":[[-2.494574309157136,51.415794784184556],[-2.49458849828087,51.415780251840758]]}","(51.41578751801266, -2.494581403719003)",24,49,158,1,1
LD Watercourses,365707.90041392652,168641.77105041451,"{""type"":""LineString"",""coordinates"":[[-2.494492551244171,51.415755487393675],[-2.494505432376626,51.415740601016935]]}","(51.4157480442053, -2.494498991810399)",16,45,156,3,1
LD Watercourses,367000.94861122849,168902.6513741985,"{""type"":""LineString"",""coordinates"":[[-2.475916722053557,51.418164010951365],[-2.475944131718002,51.418177383230386]]}","(51.41817069709087, -2.4759304268857796)",16,45,152,3,1
LD Watercourses,365626.10116274201,168454.4746634475,"{""type"":""LineString"",""coordinates"":[[-2.495645756020404,51.41408538407633],[-2.495668186226455,51.414032702955176]]}","(51.41405904351575, -2.4956569711234287)",37,52,182,2,1
LD Watercourses,365655.19798336795,168500.62145406599,"{""type"":""LineString"",""coordinates"":[[-2.495244447424251,51.414470106667167],[-2.495241723612371,51.41448135455289]]}","(51.41447573061003, -2.4952430855183114)",16,45,156,3,1
LD Watercourses,366162.74745462951,169001.60304957599,"{""type"":""LineString"",""coordinates"":[[-2.488013868398483,51.418996343692015],[-2.487972439883619,51.419025281335749]]}","(51.41901081251388, -2.48799315414105)",16,45,152,3,1
LD Watercourses,366224.39989901299,168993.350411869,"{""type"":""LineString"",""coordinates"":[[-2.487112179635365,51.419000096190672],[-2.487099406442031,51.418880504539821]]}","(51.41894030036525, -2.4871057930386984)",16,45,152,3,1
LD Watercourses,366483.5009444225,169144.3022023685,"{""type"":""LineString"",""coordinates"":[[-2.483389955510567,51.420320189187159],[-2.483398459223376,51.420305771565303]]}","(51.42031298037623, -2.4833942073669713)",16,45,152,3,1
LD Watercourses,368701.59964912449,166999.4711538695,"{""type"":""LineString"",""coordinates"":[[-2.451303645649237,51.401150676329557],[-2.451309427539815,51.40116009261282]]}","(51.40115538447118, -2.451306536594526)",17,81,431,16,1
LD Watercourses,368755.37393762602,167004.84961430149,"{""type"":""LineString"",""coordinates"":[[-2.450557092588903,51.401250273073082],[-2.450510959958975,51.401163166306375]]}","(51.401206719689725, -2.450534026273939)",17,81,431,16,1
LD Watercourses,365499.551842432,165891.45332067501,"{""type"":""LineString"",""coordinates"":[[-2.497220058407504,51.391009675131777],[-2.497232905875803,51.391003328200327]]}","(51.391006501666055, -2.497226482141653)",8,41,122,16,1
LD Watercourses,365545.50156794803,166981.95116891351,"{""type"":""LineString"",""coordinates"":[[-2.496688105586682,51.400808371387626],[-2.496656587892976,51.400820190875635]]}","(51.40081428113163, -2.496672346739829)",8,41,122,16,1
LD Watercourses,365296.04724433448,165583.55145666702,"{""type"":""LineString"",""coordinates"":[[-2.500091579770822,51.388235178616938],[-2.500150261172135,51.388216050866099]]}","(51.388225614741515, -2.5001209204714785)",8,41,122,16,1
LD Watercourses,363570.59918517701,164137.300441714,"{""type"":""LineString"",""coordinates"":[[-2.524779273437229,51.375133256482286],[-2.524755840465994,51.375093719252554]]}","(51.375113487867424, -2.5247675569516117)",8,41,123,16,1
LD Watercourses,364246.15002143453,169825.24728386651,"{""type"":""LineString"",""coordinates"":[[-2.515638267247316,51.426311368467573],[-2.515636550710288,51.426285307674824]]}","(51.4262983380712, -2.515637408978802)",24,48,161,1,1
LD Watercourses,362539.55017195398,163947.64972866551,"{""type"":""LineString"",""coordinates"":[[-2.53953647941621,51.373373003701971],[-2.539583225839173,51.373308965209716]]}","(51.373340984455844, -2.5395598526276917)",7,74,400,20,1
LD Watercourses,361867.44989376707,163811.248773033,"{""type"":""LineString"",""coordinates"":[[-2.549232958364112,51.372090662937644],[-2.549167782873515,51.372048719421038]]}","(51.37206969117935, -2.5492003706188138)",7,74,399,20,1
LD Watercourses,361267.54749311204,163880.848850218,"{""type"":""LineString"",""coordinates"":[[-2.557828009949977,51.372665080675539],[-2.557823494602179,51.372644427065232]]}","(51.372654753870385, -2.5578257522760777)",5,34,101,20,1
LD Watercourses,360265.999308509,163231.34976739652,"{""type"":""LineString"",""coordinates"":[[-2.572150797612106,51.366759486121445],[-2.572130434647727,51.366731629203656]]}","(51.366745557662554, -2.572140616129916)",5,34,101,20,1
LD Watercourses,360624.94804354501,163298.59551850101,"{""type"":""LineString"",""coordinates"":[[-2.567017613309702,51.367387715747839],[-2.566966969430524,51.367362791191482]]}","(51.36737525346966, -2.566992291370113)",5,34,101,20,1
LD Watercourses,360324.19707229105,163916.50364413951,"{""type"":""LineString"",""coordinates"":[[-2.571388700223695,51.372926105440698],[-2.571374085006837,51.372893905566706]]}","(51.3729100055037, -2.571381392615266)",5,34,101,20,1
LD Watercourses,360921.448685802,163606.64733958401,"{""type"":""LineString"",""coordinates"":[[-2.562772343559642,51.370159693059314],[-2.562762419674579,51.370171426687179]]}","(51.37016555987324, -2.5627673816171104)",5,34,101,20,1
LD Watercourses,360998.60184505547,163857.90041913802,"{""type"":""LineString"",""coordinates"":[[-2.561707089231611,51.372446082143313],[-2.561666421184024,51.372413826230371]]}","(51.37242995418684, -2.561686755207817)",5,34,101,20,1
LD Watercourses,359872.64805602806,164492.2988244835,"{""type"":""LineString"",""coordinates"":[[-2.577980927084764,51.378127891046155],[-2.577885746708216,51.377982646088839]]}","(51.3780552685675, -2.5779333368964896)",6,31,85,21,1
LD Watercourses,363358.6475219815,157541.10358342351,"{""type"":""LineString"",""coordinates"":[[-2.527091748452479,51.315780674943248],[-2.527170900780886,51.315801892745569]]}","(51.3157912838444, -2.5271313246166827)",5,34,97,20,1
LD Watercourses,363491.35178040352,157511.20214262203,"{""type"":""LineString"",""coordinates"":[[-2.52520763613046,51.31552207232329],[-2.52524084656552,51.315539901835386]]}","(51.31553098707934, -2.52522424134799)",3,43,136,23,1
LD Watercourses,363493.75109318399,157513.5014844425,"{""type"":""LineString"",""coordinates"":[[-2.525206668388456,51.315561629399554],[-2.525173437414379,51.315542002118406]]}","(51.31555181575898, -2.5251900529014173)",3,43,136,23,1
LD Watercourses,363558.74690984399,157556.3492194055,"{""type"":""LineString"",""coordinates"":[[-2.524243967496177,51.315939987592749],[-2.524279842768227,51.315942523705317]]}","(51.31594125564904, -2.524261905132202)",3,43,136,23,1
LD Watercourses,363557.69978708401,157557.74881877447,"{""type"":""LineString"",""coordinates"":[[-2.524274302399266,51.315965021660425],[-2.524279842768227,51.315942523705317]]}","(51.31595377268288, -2.5242770725837462)",3,43,136,23,1
LD Watercourses,363795.25236499897,157930.90200478648,"{""type"":""LineString"",""coordinates"":[[-2.52091601856926,51.319319611149325],[-2.52089742784454,51.319328683122265]]}","(51.319324147135795, -2.5209067232069)",5,34,97,20,1
LD Watercourses,361653.7008072515,157383.69864012001,"{""type"":""LineString"",""coordinates"":[[-2.551563294686883,51.314245381399061],[-2.551589632398501,51.314281214376514]]}","(51.31426329788779, -2.551576463542692)",2,7,269,20,1
LD Watercourses,361360.55178233248,156259.30049574049,"{""type"":""LineString"",""coordinates"":[[-2.555680797196346,51.304118185697234],[-2.555639536163042,51.304148945131075]]}","(51.30413356541415, -2.5556601666796936)",3,43,131,23,1
LD Watercourses,361360.70019343199,156261.89975171152,"{""type"":""LineString"",""coordinates"":[[-2.555639536163042,51.304148945131075],[-2.555677104271329,51.304164947510586]]}","(51.30415694632082, -2.5556583202171854)",3,43,131,23,1
LD Watercourses,358546.30217946903,155512.95413516401,"{""type"":""LineString"",""coordinates"":[[-2.595959342149938,51.297217535576294],[-2.595922268308231,51.297231208291301]]}","(51.29722437193379, -2.595940805229084)",2,6,273,21,1
LD Watercourses,359266.45055122254,164829.39733104,"{""type"":""LineString"",""coordinates"":[[-2.586708107670898,51.381051738958952],[-2.586654686837129,51.381034028176543]]}","(51.381042883567744, -2.5866813972540132)",6,31,85,21,1
LD Watercourses,356975.45313848701,163306.15335509251,"{""type"":""LineString"",""coordinates"":[[-2.619419889733338,51.367179012713279],[-2.619406944603273,51.367176384413135]]}","(51.36717769856321, -2.619413417168306)",6,31,81,21,1
LD Watercourses,356975.30060485698,163309.65235351451,"{""type"":""LineString"",""coordinates"":[[-2.619423262952206,51.367209558190872],[-2.619408802502782,51.367208735747376]]}","(51.367209146969124, -2.619416032727494)",6,31,81,21,1
LD Watercourses,357097.56249339448,163334.14534246951,"{""type"":""LineString"",""coordinates"":[[-2.617666340326478,51.367445365137321],[-2.617659408377195,51.367431917879657]]}","(51.367438641508485, -2.6176628743518364)",6,31,81,21,1
LD Watercourses,357100.20091294701,163334.64519938699,"{""type"":""LineString"",""coordinates"":[[-2.617633690082693,51.367448234086616],[-2.617616384739122,51.367438437214354]]}","(51.367443335650485, -2.6176250374109076)",6,31,81,21,1
LD Watercourses,356133.6488901875,163463.59828694951,"{""type"":""LineString"",""coordinates"":[[-2.631520836495217,51.368545831106189],[-2.631527590790312,51.368511635674956]]}","(51.368528733390576, -2.631524213642764)",6,31,79,21,1
LD Watercourses,357845.35243248992,163363.5969120455,"{""type"":""LineString"",""coordinates"":[[-2.606916162264005,51.367773130121051],[-2.60693451764946,51.367746067384459]]}","(51.367759598752755, -2.6069253399567325)",6,31,78,21,1
LD Watercourses,357483.50143594551,163016.5462542625,"{""type"":""LineString"",""coordinates"":[[-2.612172094352475,51.36463730701692],[-2.611990461798025,51.364587017763249]]}","(51.36461216239009, -2.61208127807525)",6,31,80,21,1
LD Watercourses,358006.64644028002,162951.84977343748,"{""type"":""LineString"",""coordinates"":[[-2.604464057438947,51.36405421149405],[-2.604655486194858,51.364084775453833]]}","(51.36406949347394, -2.604559771816902)",6,31,78,21,1
