Name,Easting,Northing,Geometry,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
"Wellow Lane, PSJ",370345.4254562367,156951.91349349928,"{""type"":""MultiPolygon"",""coordinates"":[[[[-2.425150247292015,51.310885369216038],[-2.425335856717172,51.310899257440695],[-2.425423439354556,51.310904332683556],[-2.425463638633023,51.310914973650512],[-2.425509667296512,51.310929189106474],[-2.425531287147045,51.310938998668398],[-2.425555745909217,51.3109487979047],[-2.425573099103758,51.310957724047768],[-2.425575954647814,51.310959511512522],[-2.42558464788964,51.310965772369691],[-2.425600513282662,51.310980097460288],[-2.425613666389375,51.310995331335036],[-2.425622341212925,51.311012379340227],[-2.42562681771878,51.311023150145907],[-2.425634339393133,51.311068967900226],[-2.425643482878356,51.31112385888477],[-2.42565303333721,51.311222705753515],[-2.425783557025318,51.311215039629666],[-2.425896877198121,51.31121462734869],[-2.426221424001019,51.311094698163046],[-2.42632331161444,51.311098821717941],[-2.426537116355794,51.311104335242305],[-2.426758153401229,51.311111619854721],[-2.426980635849281,51.311121685440703],[-2.42719538957845,51.311127463978806],[-2.427419384033104,51.311134736549626],[-2.42763888360951,51.311142025114506],[-2.427847044327176,51.311151152563298],[-2.428065174803091,51.311163838876062],[-2.428303616408582,51.311185439698335],[-2.428531851934819,51.311203481707295],[-2.428726120468013,51.311219670059984],[-2.429118435639958,51.311289247389269],[-2.429260741931192,51.311365313880948],[-2.429609232656338,51.311428667922293],[-2.429673178028201,51.31134726039128],[-2.429909906895705,51.311387921414777],[-2.430130819964349,51.311432325668591],[-2.430334858188382,51.311468431558154],[-2.431121173932043,51.311432996937597],[-2.431066976211279,51.311304740347971],[-2.430991711191061,51.31116262798799],[-2.430828142554784,51.310837550074034],[-2.430831141371885,51.310829358829238],[-2.430820199765811,51.310772587117292],[-2.430755322486316,51.310779477931405],[-2.430300336667376,51.310750138604128],[-2.429984219699257,51.310732872377798],[-2.429697914631987,51.310715855427851],[-2.429440481011143,51.310699720670016],[-2.429218775235015,51.310683993690091],[-2.428831593113471,51.310656916985714],[-2.428495067484179,51.310632799798576],[-2.428240003817415,51.310617013296266],[-2.427956757137171,51.31059800326922],[-2.42774818968381,51.310583034499665],[-2.427451904306551,51.310561104452873],[-2.427171044894507,51.310544331117406],[-2.427003431775574,51.310532088104878],[-2.426625824374758,51.310516745081813],[-2.426464933923482,51.310515084095378],[-2.4263092347516,51.31051196570224],[-2.426233384793096,51.310509185599209],[-2.42602778877242,51.310495641224165],[-2.425844441536599,51.310483184144601],[-2.425475553987077,51.310464120101074],[-2.425118015309423,51.310457059254787],[-2.424991078274311,51.310455812272714],[-2.424851893456388,51.310460452614635],[-2.424808732224844,51.310462047550345],[-2.424710886983941,51.310459975535935],[-2.424577922325572,51.310459289331803],[-2.424526481869656,51.310461004087941],[-2.424422070691138,51.310465248112713],[-2.424318121024204,51.31046823187809],[-2.424267981698213,51.310469941803774],[-2.424165865185069,51.31047930114746],[-2.424087842581866,51.310484617841873],[-2.423986452296019,51.310495772245098],[-2.423908710141899,51.310505852099752],[-2.423833586000844,51.310517630377753],[-2.423757975419017,51.310527972090746],[-2.423634390976678,51.310543970834765],[-2.423317441098007,51.310602828467388],[-2.423180627234074,51.310633796710313],[-2.423086578452053,51.310658677321832],[-2.422921367076635,51.310701703590567],[-2.422624317875497,51.31077666805983],[-2.422439751120705,51.310824617720442],[-2.42229814401263,51.310861894694398],[-2.422120715917029,51.310914402604723],[-2.42183280812453,51.311006141962579],[-2.42098370774476,51.311186736425277],[-2.421044225689723,51.311246117371667],[-2.421126183653424,51.311231170067025],[-2.421429338672261,51.31122810130806],[-2.421761662221287,51.311219623014161],[-2.422043054288419,51.311191101655986],[-2.422461242022116,51.311142309639962],[-2.422554752592085,51.311135949302752],[-2.422571352443928,51.311153058813694],[-2.423088295706906,51.31106381598795],[-2.423423217207258,51.311003635479423],[-2.42371933037569,51.310942605691636],[-2.42377093092441,51.310932530721601],[-2.423821134578293,51.310937742488463],[-2.423958907546642,51.310946592342219],[-2.423999397558287,51.310950311046319],[-2.424041407076455,51.310952046599532],[-2.424050276990745,51.310951834680168],[-2.424081859788339,51.310951720253968],[-2.42414046991779,51.310944945741198],[-2.424163964370743,51.310940006414633],[-2.424186867380685,51.31093506922678],[-2.424361401064415,51.310902434889989],[-2.424406480218457,51.310903529936425],[-2.424740256349968,51.310886138575285],[-2.424879480679354,51.31088563327345],[-2.425091806645436,51.310884862337311],[-2.425150247292015,51.310885369216038]]],[[[-2.430831141371885,51.310829358829238],[-2.430832385733415,51.310835916392818],[-2.430860918139346,51.310901612589355],[-2.430848209856618,51.3107825519632],[-2.430831141371885,51.310829358829238]]]]}","(51.31090204884913, -2.4268361846548316)",15,72,377,22,1
Car Park Charlton Rd,365266.68129645009,168750.28832368981,"{""type"":""Polygon"",""coordinates"":[[[-2.49940398173984,51.416744489017177],[-2.499323243901841,51.416788430262685],[-2.499374578186747,51.416831538899174],[-2.499795371936459,51.416723493418374],[-2.499864168673806,51.416813090855712],[-2.499960293536061,51.416788500019379],[-2.500016840626611,51.416863767089431],[-2.500065520588759,51.416924325596241],[-2.500089392114531,51.416917122316455],[-2.500111887610379,51.41694678019428],[-2.499948920586685,51.416995747186917],[-2.499994846247723,51.417053800528919],[-2.500005361783862,51.417050429685673],[-2.500053247336163,51.417114227660342],[-2.499958122322501,51.417143578523799],[-2.49999967138525,51.417213426252999],[-2.500009860712507,51.417212753529981],[-2.500036823504834,51.417249763412158],[-2.500056186686619,51.417285727034148],[-2.50017496347079,51.417370166941623],[-2.500326117710342,51.417368532722939],[-2.50020668535063,51.417495519259944],[-2.500119822597783,51.41757580313709],[-2.500265265127463,51.417626509905809],[-2.500403811539846,51.417501778837604],[-2.50043275386073,51.41744861955987],[-2.500524158797565,51.417458566547708],[-2.500612629892355,51.417460435816011],[-2.500653200339138,51.417494870462946],[-2.50067875190762,51.417467793986809],[-2.500656227295647,51.417435529506562],[-2.500674080877501,51.417430958662813],[-2.500662383965233,51.417413030461141],[-2.500645236842475,51.417417148829529],[-2.500626356540059,51.417392869063931],[-2.500602825555783,51.417355305307908],[-2.500620679111808,51.417350734472272],[-2.500604344620013,51.417331567608151],[-2.500930500680632,51.417232192375536],[-2.500952846672559,51.417226433698232],[-2.500952720247687,51.41722571511125],[-2.500952225361836,51.417223829517482],[-2.500900733095873,51.417144765868741],[-2.50085382084815,51.417126718569889],[-2.500830823647642,51.417083759119038],[-2.501170767761943,51.416987740122963],[-2.502089678074109,51.416730762572499],[-2.501987621310311,51.416581801135841],[-2.502039636427826,51.416567824934305],[-2.501891711573776,51.416344540350117],[-2.502407567435906,51.416191851829467],[-2.502365855356708,51.416172254686607],[-2.502316568438856,51.416153858589574],[-2.502252616885779,51.416138851306606],[-2.502160609604805,51.416127829558121],[-2.502105552584895,51.41612384065909],[-2.502047564146035,51.416122830698136],[-2.5020258799345,51.416124002311207],[-2.501997596885922,51.416128887725272],[-2.50195465701469,51.41613788102422],[-2.501867675129542,51.416141849305561],[-2.501861019161828,51.416140349671622],[-2.501641674355092,51.416150907410035],[-2.501465651685138,51.416154897053929],[-2.501371728931901,51.416163838679175],[-2.501288737058181,51.416174890841326],[-2.501249654326406,51.416178833483634],[-2.501228834395583,51.416183147435028],[-2.501056197719421,51.416236562006148],[-2.500956194635101,51.416264136731201],[-2.500912733697377,51.416203825945182],[-2.500838688511196,51.416219873429128],[-2.50074371159031,51.416240864445875],[-2.500624763282905,51.416259890329478],[-2.500419826486424,51.41629789084449],[-2.500400831156238,51.416273881203033],[-2.500229867270911,51.416306882162012],[-2.500083864935745,51.416334832321574],[-2.499950841187272,51.416367850699132],[-2.49996289420799,51.416385867345419],[-2.49971857156615,51.416443630932676],[-2.499753504753804,51.416504877443778],[-2.499754231796199,51.416506312597654],[-2.499748802617742,51.416508583030755],[-2.499767887930265,51.416540862360335],[-2.499815106260932,51.416597921461388],[-2.499827284471955,51.416594813213166],[-2.499865155281183,51.416642743296109],[-2.499490170324794,51.416732885218153],[-2.499415584885966,51.416753878105077],[-2.49940398173984,51.416744489017177]]]}","(51.41669679993362, -2.5008539936256837)",24,49,173,1,1
Radfords,356237.25191458379,161928.23060433485,"{""type"":""Polygon"",""coordinates"":[[[-2.630909750955988,51.35579107969162],[-2.63080577071909,51.355600169160191],[-2.630776711341387,51.355605179869578],[-2.63073772562998,51.355577163656434],[-2.631244674738693,51.355434200152025],[-2.631025648678796,51.355100172019839],[-2.630862652371052,51.354845216586803],[-2.630615740382758,51.354463245477774],[-2.630516684257896,51.354294331764734],[-2.630244686863696,51.353861346157927],[-2.630135800536839,51.353683405885874],[-2.630104703344223,51.353574353994709],[-2.629551812668107,51.353517369349376],[-2.62913088117264,51.353663369331208],[-2.629186844863833,51.353781367004494],[-2.628881884136116,51.353888358910183],[-2.62872892950692,51.35385538066997],[-2.628567988209867,51.353870357720623],[-2.628339946402612,51.353723438905732],[-2.628408972428129,51.35401737607544],[-2.628703889441376,51.354387318219246],[-2.628801927784095,51.354508326297733],[-2.629010947125052,51.354865244985717],[-2.629107900920505,51.355045227997905],[-2.62932088681727,51.355380191073209],[-2.629656199493573,51.355871178425218],[-2.629842840135407,51.355830172694198],[-2.629905897535031,51.355921164140675],[-2.62995082645105,51.355968115939383],[-2.630053819325406,51.355975112835651],[-2.630474435267586,51.355873787814986],[-2.630909750955988,51.35579107969162]]]}","(51.35473205961835, -2.629846613826598)",6,31,82,21,1
"Old Mills, Paulton",365003.79114803777,155147.44023626408,"{""type"":""Polygon"",""coordinates"":[[[-2.499762366102928,51.294598406195071],[-2.499755921346745,51.29459295025157],[-2.499557545533711,51.294662655028773],[-2.499400062811635,51.294697756040797],[-2.49925599167751,51.294715630104108],[-2.499263762140021,51.294788769711808],[-2.498742622580862,51.29486416432291],[-2.49895350804447,51.295315336451345],[-2.499067539291829,51.295689343707522],[-2.499047640726292,51.295762691186937],[-2.499933010499523,51.295720168992197],[-2.499950148581547,51.295708499615934],[-2.499953055821115,51.295725746616156],[-2.500553530793298,51.295713741376794],[-2.501604290560435,51.295699804162489],[-2.50229485379269,51.29569684261692],[-2.503030880867791,51.295731346701132],[-2.503481593297919,51.29575763509353],[-2.504262674414298,51.295791937621424],[-2.504893995798349,51.295864546151222],[-2.505187864338553,51.295908494199516],[-2.505540971454554,51.295984097609747],[-2.5057819608673,51.296058386648667],[-2.505782654543357,51.29605694536599],[-2.505814388487297,51.296060763513253],[-2.505949662289928,51.295866459811883],[-2.506130764672453,51.295473923882916],[-2.506317040966199,51.294939334581557],[-2.506430076489724,51.294594466077726],[-2.50650205668345,51.294279889220668],[-2.506494582065359,51.294223918323155],[-2.506487487453378,51.294202464633941],[-2.506446385323395,51.29420686745587],[-2.506437191046699,51.294209514132163],[-2.506199092269013,51.294203712279668],[-2.505913021654517,51.294179779170179],[-2.506174406962881,51.293582929112027],[-2.506074695921961,51.293429823293998],[-2.506135015371599,51.293345063175337],[-2.506269945086115,51.293367492177389],[-2.506293407115037,51.29327525050595],[-2.506392775707548,51.293074898889465],[-2.506425317079464,51.29300185497646],[-2.506072855044863,51.292896946363712],[-2.505483436795585,51.292803308100773],[-2.504734154441666,51.292720514286223],[-2.504395388587767,51.292699501499541],[-2.504167632082877,51.292665604382321],[-2.50402931217327,51.292614062271447],[-2.503957215202218,51.29257383104985],[-2.503897865629866,51.292520690222716],[-2.50360861707664,51.292561847610983],[-2.502829844032108,51.29251728308391],[-2.502871379720695,51.292293001718342],[-2.501786367210555,51.292509266332694],[-2.501519686714388,51.292581604514588],[-2.501561014218108,51.292760673774076],[-2.501572514815255,51.292763501060492],[-2.50157206537453,51.292765660415085],[-2.501661305610932,51.293087813501714],[-2.501750212838527,51.293379314471565],[-2.501865104323178,51.293808869242014],[-2.501903469164958,51.293954600807716],[-2.501930575170527,51.293957091459298],[-2.50193468215544,51.294333545040416],[-2.501080080769321,51.294440763430352],[-2.499760593510549,51.294587626625308],[-2.499762366102928,51.294598406195071]]]}","(51.29437277152029, -2.5032914952391154)",13,67,373,23,1
Land at Cautletts Close,365975.91859684017,153586.70163948002,"{""type"":""Polygon"",""coordinates"":[[[-2.488405919229578,51.281567381245587],[-2.488612733734577,51.281416576435539],[-2.488990929682412,51.28109605644579],[-2.489064404937298,51.281057544888746],[-2.489221724159165,51.281021829069957],[-2.489380698728751,51.280975049277963],[-2.48961299366395,51.280908635544158],[-2.489731647949423,51.280872181865284],[-2.48983133199428,51.280852707353716],[-2.489931249932155,51.280844108831367],[-2.489952882216018,51.280844018266869],[-2.489952997989857,51.280854894835649],[-2.489952997989857,51.280854894835649],[-2.490040084651803,51.280873587519814],[-2.490075073147752,51.280884407950914],[-2.490061835158416,51.280873496440158],[-2.490092594434647,51.280897908419654],[-2.490144957347892,51.280919533120915],[-2.490257556264043,51.280891733998409],[-2.490331031087012,51.280853311537896],[-2.49041313642195,51.28080388591772],[-2.490498684829514,51.280678216537986],[-2.490588982994213,51.280587855134051],[-2.490755857679505,51.280561625848463],[-2.490944624019413,51.280526405080501],[-2.491061189555152,51.280460563796211],[-2.49095048453583,51.280410867973536],[-2.491016955353725,51.280314403572703],[-2.490985852179328,51.280279925258569],[-2.490885091195661,51.280242592889081],[-2.491042917391716,51.27996667833937],[-2.490291923511808,51.279734397262814],[-2.490102236830063,51.279671817234139],[-2.489906034980365,51.27960791577739],[-2.489514596390577,51.279470669073447],[-2.489249694389044,51.279382513070061],[-2.48881808996573,51.279247319705327],[-2.488617688994883,51.279500216643704],[-2.48855441712796,51.279575451582858],[-2.488473005440249,51.279690225239008],[-2.488403661862642,51.279806027186972],[-2.488365518729043,51.279898866066858],[-2.488217059970371,51.280234696545115],[-2.488178626299473,51.2803002090942],[-2.488046007098215,51.280502392250995],[-2.487990342113547,51.280581730223474],[-2.487701705911905,51.280819981287173],[-2.487296899840703,51.281162362027864],[-2.488405919229578,51.281567381245587]]]}","(51.28039856539857, -2.4892008465642697)",25,13,294,27,1
Burlington Street,374704.87990425032,165563.18915165545,"{""type"":""Polygon"",""coordinates"":[[[-2.364725964465223,51.388373497435609],[-2.364675999597819,51.388676226243625],[-2.364701133518376,51.388677945793972],[-2.364906707524311,51.38869168797261],[-2.364927561553857,51.388691622989867],[-2.365000230974306,51.388695891068778],[-2.365109287215364,51.388701394029965],[-2.365123061302566,51.388586020895637],[-2.365130637415079,51.388525590502113],[-2.365105151676688,51.388524321595931],[-2.365115965656362,51.388438981292261],[-2.365121607278432,51.388403456745102],[-2.365082594642402,51.388399802949955],[-2.364772677340215,51.388376947582536],[-2.364725964465223,51.388373497435609]]]}","(51.388541852511906, -2.3649079773503243)",21,2,246,7,1
Mnt Pleasant Hostel,369758.91563869739,154635.99685220065,"{""type"":""Polygon"",""coordinates"":[[[-2.435419631870264,51.289763857856684],[-2.435329612269412,51.289797003592639],[-2.435195932239657,51.289814400616926],[-2.435144093347076,51.28982151511839],[-2.43505670704711,51.289833076600836],[-2.435001886049141,51.289724869770779],[-2.434972350489034,51.289664841324608],[-2.434953474883513,51.289669316223197],[-2.434943965278725,51.289663958003565],[-2.434895761859467,51.289680407726507],[-2.434841665452528,51.289698856965977],[-2.434870283030147,51.289836915732607],[-2.4347716564875,51.289810134580442],[-2.434739167455774,51.289900507560461],[-2.434709054859332,51.28999213020051],[-2.434674101350035,51.290084489953351],[-2.434589406328164,51.290305940563726],[-2.434771580759489,51.290315152112093],[-2.434984605957387,51.290323349785218],[-2.435105817523426,51.290325146510042],[-2.435334001516412,51.290323398989464],[-2.435359799662904,51.290225769431231],[-2.435366387621043,51.290197248934049],[-2.435377008296494,51.290145071650691],[-2.435380904071118,51.29011943773461],[-2.435392995405135,51.290060243346211],[-2.435543195568731,51.290026783714232],[-2.435511209385743,51.289970270342138],[-2.435445815000136,51.289806908940378],[-2.435419631870264,51.289763857856684]]]}","(51.29004749817144, -2.4350534982777075)",12,78,418,24,1
Mnt Pleasant Hostel,369758.91563869739,154635.99685220065,"{""type"":""Polygon"",""coordinates"":[[[-2.435419631870264,51.289763857856684],[-2.435329612269412,51.289797003592639],[-2.435195932239657,51.289814400616926],[-2.435144093347076,51.28982151511839],[-2.43505670704711,51.289833076600836],[-2.435001886049141,51.289724869770779],[-2.434972350489034,51.289664841324608],[-2.434953474883513,51.289669316223197],[-2.434943965278725,51.289663958003565],[-2.434895761859467,51.289680407726507],[-2.434841665452528,51.289698856965977],[-2.434870283030147,51.289836915732607],[-2.4347716564875,51.289810134580442],[-2.434739167455774,51.289900507560461],[-2.434709054859332,51.28999213020051],[-2.434674101350035,51.290084489953351],[-2.434589406328164,51.290305940563726],[-2.434771580759489,51.290315152112093],[-2.434984605957387,51.290323349785218],[-2.435105817523426,51.290325146510042],[-2.435334001516412,51.290323398989464],[-2.435359799662904,51.290225769431231],[-2.435366387621043,51.290197248934049],[-2.435377008296494,51.290145071650691],[-2.435380904071118,51.29011943773461],[-2.435392995405135,51.290060243346211],[-2.435543195568731,51.290026783714232],[-2.435511209385743,51.289970270342138],[-2.435445815000136,51.289806908940378],[-2.435419631870264,51.289763857856684]]]}","(51.29004749817144, -2.4350534982777075)",12,78,418,24,1
