uri,postcode,ward_uri,ward_name,centroid,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS140BS,BS14 0BS,http://data.ordnancesurvey.co.uk/id/7000000000039078,Publow and Whitchurch,"(51.405651, -2.56032)",7,404,20,1,75
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA32DT,BA3 2DT,http://data.ordnancesurvey.co.uk/id/7000000000000523,Midsomer Norton North,"(51.286332, -2.482495)",11,291,25,1,11
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA32TE,BA3 2TE,http://data.ordnancesurvey.co.uk/id/7000000000000523,Midsomer Norton North,"(51.293637, -2.4861)",11,275,25,1,9
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS311YA,BS31 1YA,http://data.ordnancesurvey.co.uk/id/7000000000000568,Keynsham East,"(51.399025, -2.485433)",16,140,3,1,44
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS397SX,BS39 7SX,http://data.ordnancesurvey.co.uk/id/7000000000000526,Paulton,"(51.294267, -2.500765)",13,373,23,1,67
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA32UW,BA3 2UW,http://data.ordnancesurvey.co.uk/id/7000000000000523,Midsomer Norton North,"(51.285842, -2.479278)",11,291,25,1,11
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA33JR,BA3 3JR,http://data.ordnancesurvey.co.uk/id/7000000000000882,Radstock,"(51.29534, -2.439721)",12,412,24,1,77
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS313HH,BS31 3HH,http://data.ordnancesurvey.co.uk/id/7000000000000569,Saltford,"(51.401197, -2.455081)",17,431,16,1,81
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA27TH,BA2 7TH,http://data.ordnancesurvey.co.uk/id/7000000000025555,Bathavon South,"(51.32059, -2.31734)",10,54,10,1,113
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS394DB,BS39 4DB,http://data.ordnancesurvey.co.uk/id/7000000000025529,Clutton,"(51.351297, -2.557877)",5,102,20,1,34
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA28QD,BA2 8QD,http://data.ordnancesurvey.co.uk/id/7000000000025555,Bathavon South,"(51.322021, -2.377363)",10,61,10,1,114
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS140PP,BS14 0PP,http://data.ordnancesurvey.co.uk/id/7000000000039078,Publow and Whitchurch,"(51.406318, -2.559825)",7,404,20,1,75
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA26RX,BA2 6RX,http://data.ordnancesurvey.co.uk/id/7000000000025557,Bathavon North,"(51.391644, -2.32667)",1,26,10,1,27
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS394WT,BS39 4WT,http://data.ordnancesurvey.co.uk/id/7000000000039078,Publow and Whitchurch,"(51.371835, -2.550325)",7,399,20,1,74
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS311LX,BS31 1LX,http://data.ordnancesurvey.co.uk/id/7000000000000568,Keynsham East,"(51.413401, -2.490129)",16,155,3,1,45
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA33WZ,BA3 3WZ,http://data.ordnancesurvey.co.uk/id/7000000000000882,Radstock,"(51.291464, -2.446783)",12,413,24,1,79
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA32UA,BA3 2UA,http://data.ordnancesurvey.co.uk/id/7000000000000522,Midsomer Norton Redfield,"(51.279527, -2.482108)",25,300,27,1,12
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS396EY,BS39 6EY,http://data.ordnancesurvey.co.uk/id/7000000000039079,High Littleton,"(51.311203, -2.520447)",3,136,23,1,43
