the_geom,Name,Descriptio
POINT (-2.52190222359839 51.2956897400885),kml_53,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.50829095869218 51.3254855799182),kml_54,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.50301532605961 51.3391220106569),kml_55,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.48909336033282 51.3434610335718),kml_56,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.48663540743015 51.3431925213385),kml_57,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.42789851015051 51.3814569650511),kml_58,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.68110855209587 51.3223057700112),kml_59,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.67871914615453 51.3218160663238),kml_60,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.65434932538666 51.3095280944814),kml_61,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.62279201521302 51.3003846298556),kml_62,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.62127673218986 51.3028924304511),kml_63,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.60211841766753 51.3307323959325),kml_64,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.59531208003444 51.3327274911428),kml_65,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.59458199052597 51.3350960039369),kml_66,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.54813964178098 51.3322384526149),kml_67,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.54649192021666 51.3324889553661),kml_68,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.54407328100611 51.3173400325921),kml_69,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.5407505173683 51.3288379389787),kml_70,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.53955735110355 51.3311184412284),kml_71,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.53828335489601 51.3216108985399),kml_72,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.5325603665574 51.3292891699453),kml_73,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.32964113089912 51.3231488479992),kml_74,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.32657914686255 51.3930320051205),kml_75,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.32419978544222 51.3959879365347),kml_76,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.32267366899559 51.3935733697418),kml_77,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.32206660906611 51.4053630465075),kml_78,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.32193380421423 51.3967045063432),kml_79,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.31586261156943 51.4063240685414),kml_80,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.31060387672715 51.3389185109662),kml_81,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.30151857018623 51.3981884856546),kml_82,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.30097860052515 51.3991429865554),kml_83,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
