postcode,status,has_lines_below_2m,average_speed,median_speed,max_speed,has_fibre,connections,longitude,latitude,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
BA28LA,No Data,,,,,Y,0,-2.43614842128338,51.3164254654824,"(51.316425, -2.436148)",15,71,392,22,1
BA24BE,No premises,,,,,N,0,-2.35714730520318,51.3832050386621,"(51.383205, -2.357147)",35,20,11,7,1
BS395DX,OK,N,11.1,8.1,19.1,N,15,-2.53854967730095,51.3208637256855,"(51.320864, -2.53855)",2,7,267,20,1
BA21JU,OK,N,30,30,30,Y,3,-2.3943989199743,51.3688426473938,"(51.368843, -2.394399)",27,83,442,15,1
BA11UT,OK,N,20.6,21.3,23.1,Y,10,-2.36396197835662,51.3800279744027,"(51.380028, -2.363962)",34,55,196,9,1
BS397NZ,OK,Y,2.6,2.4,4.3,N,5,-2.498939579374,51.3099343418499,"(51.309934, -2.49894)",13,69,581,23,1
BA23ET,Insufficient Premises,,,,,Y,2,-2.37344055287377,51.3812210001641,"(51.381221, -2.373441)",33,112,559,12,1
BS397NE,OK,Y,6.9,3,30,Y,10,-2.5082982103706,51.3038605535927,"(51.303861, -2.508298)",13,67,367,23,1
BA26EY,OK,N,10.1,8.9,14.8,Y,5,-2.34594264804199,51.3817730321213,"(51.381773, -2.345943)",22,30,73,12,1
BA32BP,No Data,,,,,Y,0,-2.47550348347217,51.2939005354866,"(51.293901, -2.475503)",11,8,279,25,1
BA33AA,OK,N,17.6,21.2,23.4,N,3,-2.44802957028215,51.2929119288926,"(51.292912, -2.44803)",12,79,413,24,1
BA22LJ,OK,Y,28.8,20,30,Y,13,-2.39032224022755,51.3658171079922,"(51.365817, -2.390322)",30,62,340,19,1
BA17NX,OK,Y,13.2,14.3,20,N,27,-2.31637404747509,51.4092632223126,"(51.409263, -2.316374)",1,23,37,10,1
BS395UL,No Data,,,,,N,0,-2.58969832897078,51.3234766667192,"(51.323477, -2.589698)",2,6,274,21,1
BA13NS,OK,N,6.6,5,18.5,N,20,-2.38810428387543,51.3922870416526,"(51.392287, -2.388104)",29,16,316,8,1
BA15SY,OK,N,17.2,9.7,30,Y,5,-2.36533451278344,51.3953994687808,"(51.395399, -2.365335)",21,1,234,7,1
BA16NP,OK,N,30,5.7,30,Y,5,-2.35821161995905,51.3998813356277,"(51.399881, -2.358212)",23,57,226,4,1
BS148NE,OK,Y,19.4,20,30,Y,9,-2.53429244523597,51.4162677443797,"(51.416268, -2.534292)",24,48,161,1,1
BA24SA,No Data,,,,,Y,0,-2.36635213959116,51.3698599030869,"(51.36986, -2.366352)",18,3,254,17,1
BA12XS,OK,Y,13.7,10.2,30,Y,20,-2.38348908396388,51.3886516238253,"(51.388652, -2.383489)",34,54,197,9,1
BS394JH,OK,Y,5.9,8.1,8.1,N,3,-2.55389969275084,51.3776202105674,"(51.37762, -2.5539)",7,74,399,20,1
BA33EU,OK,Y,10.1,7.8,30,Y,30,-2.46114732403933,51.28386912266,"(51.283869, -2.461147)",26,98,518,26,1
