Pinterest URL,Note,Title,Latitude,Longitude,Thumbnail,Original,Location,Address,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
https://uk.pinterest.com/pin/287456388691254498,"I SPY THE WEEKEND Margaret's Buildings Bath BA1, UK 51.387037, -2.365759",I SPY THE WEEKEND,51.387037,-2.365759,https://s-media-cache-ak0.pinimg.com/236x/8e/db/97/8edb97a78db437a870c326a2c7868c5e.jpg,https://s-media-cache-ak0.pinimg.com/originals/8e/db/97/8edb97a78db437a870c326a2c7868c5e.jpg,"(51.387037, -2.365759)","Margaret's Buildings Bath BA1, UK",35,20,7,1,22
https://uk.pinterest.com/pin/287456388691190364,"MELTING Abbey Churchyard, Bath BA1 1LY, UK 51.381376, -2.359727",MELTING,51.381376,-2.359727,https://s-media-cache-ak0.pinimg.com/236x/18/9f/47/189f477af18c1b648832539b9ac6d54f.jpg,https://s-media-cache-ak0.pinimg.com/originals/18/9f/47/189f477af18c1b648832539b9ac6d54f.jpg,"(51.381376, -2.359727)","Abbey Churchyard, Bath BA1 1LY, UK",35,11,7,1,20
https://uk.pinterest.com/pin/287456388691190810,"ILLUMINATE PIG Gloucester St Bath BA1 2SE, UK 51.387556, -2.364574",ILLUMINATE PIG,51.387556,-2.364574,https://s-media-cache-ak0.pinimg.com/236x/05/8e/2c/058e2cebc3c7867e73a908c13c6c6c6a.jpg,https://s-media-cache-ak0.pinimg.com/originals/05/8e/2c/058e2cebc3c7867e73a908c13c6c6c6a.jpg,"(51.387556, -2.364574)","Gloucester St Bath BA1 2SE, UK",35,18,7,1,22
https://uk.pinterest.com/pin/287456388691180280,"THE BELL  103 Walcot St, Bath, Avon BA1 5BW 51.387552, -2.359217",THE BELL ,51.387552,-2.359217,https://s-media-cache-ak0.pinimg.com/236x/44/5e/18/445e18edc92a0f0248a47c795d3931e9.jpg,https://s-media-cache-ak0.pinimg.com/originals/44/5e/18/445e18edc92a0f0248a47c795d3931e9.jpg,"(51.387552, -2.359217)","103 Walcot St, Bath, Avon BA1 5BW",35,1,7,1,20
https://uk.pinterest.com/pin/287456388691231403,"STORMY WARNING Stall St Bath BA1 1QH, UK 51.381323, -2.360350",STORMY WARNING,51.381323,-2.36035,https://s-media-cache-ak0.pinimg.com/236x/e6/19/c3/e619c3b35fb28c1c5e917a681dc58a0d.jpg,https://s-media-cache-ak0.pinimg.com/originals/e6/19/c3/e619c3b35fb28c1c5e917a681dc58a0d.jpg,"(51.381323, -2.36035)","Stall St Bath BA1 1QH, UK",35,10,7,1,20
https://uk.pinterest.com/pin/287456388691186254,"GHOSTS  George St Bath BA1, UK 51.384771, -2.362255",GHOSTS ,51.384771,-2.362255,https://s-media-cache-ak0.pinimg.com/236x/15/74/12/157412cc0a4385866c5943f7d4e90daa.jpg,https://s-media-cache-ak0.pinimg.com/originals/15/74/12/157412cc0a4385866c5943f7d4e90daa.jpg,"(51.384771, -2.362255)","George St Bath BA1, UK",35,11,7,1,20
https://uk.pinterest.com/pin/287456388690395856,"HAPPY WEEKEND Stall St Bath BA1, UK 51.381194, -2.360261",HAPPY WEEKEND,51.381194,-2.360261,https://s-media-cache-ak0.pinimg.com/236x/90/46/7b/90467b2a1d1a6139c02a618d7bbc4f8b.jpg,https://s-media-cache-ak0.pinimg.com/originals/90/46/7b/90467b2a1d1a6139c02a618d7bbc4f8b.jpg,"(51.381194, -2.360261)","Stall St Bath BA1, UK",35,11,7,1,20
https://uk.pinterest.com/pin/287456388691180558,"BATH ON TV The Paragon Bath BA1 5LX, UK 51.386720, -2.359817",BATH ON TV,51.38672,-2.359817,https://s-media-cache-ak0.pinimg.com/236x/3c/ff/77/3cff77390f25de80bc8779a4ac50d74f.jpg,https://s-media-cache-ak0.pinimg.com/originals/3c/ff/77/3cff77390f25de80bc8779a4ac50d74f.jpg,"(51.38672, -2.359817)","The Paragon Bath BA1 5LX, UK",35,17,7,1,22
https://uk.pinterest.com/pin/287456388693301310,"KING RAT Bath St Bath BA1 1SA, UK 51.380898, -2.360237",KING RAT,51.380898,-2.360237,https://s-media-cache-ak0.pinimg.com/236x/2c/28/d7/2c28d7f358b73fd5b1ea1d4d1e03488a.jpg,https://s-media-cache-ak0.pinimg.com/originals/2c/28/d7/2c28d7f358b73fd5b1ea1d4d1e03488a.jpg,"(51.380898, -2.360237)","Bath St Bath BA1 1SA, UK",35,12,7,1,20
https://uk.pinterest.com/pin/287456388694252436,"HAILLIE SELLASSE MOVIE AT THE LITTLE THEATRE  51.381055, -2.361606",HAILLIE SELLASSE MOVIE AT THE LITTLE THEATRE ,51.381055,-2.361606,https://s-media-cache-ak0.pinimg.com/236x/c4/b6/d0/c4b6d064af9170b08d382f11d923a0c0.jpg,https://s-media-cache-ak0.pinimg.com/originals/c4/b6/d0/c4b6d064af9170b08d382f11d923a0c0.jpg,"(51.381055, -2.361606)",,35,10,7,1,20
