postcode,data status,lines < 2mbps,average speed,median speed,maximum speed,super fast available,connections
BA32BN,OK,N,24.1,14.4,>=30,Y,7
BA12BL,OK,N,27,21.5,>=30,Y,64
BA10LH,No premises,N/A,N/A,N/A,N/A,N,0
BA15QW,OK,N,12.8,6.1,>=30,Y,5
BA28PS,OK,Y,22,20,>=30,Y,17
BA14HT,OK,Y,19.5,4,>=30,Y,12
BA15TR,No Data,N/A,N/A,N/A,N/A,Y,0
BA12HQ,No premises,N/A,N/A,N/A,N/A,Y,0
BA14DG,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA32NB,OK,N,17.9,12.9,>=30,Y,21
BA15BD,OK,N,13.4,14.2,20,Y,15
BA17BJ,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA13DW,No Data,N/A,N/A,N/A,N/A,Y,0
BA20LB,OK,N,16.4,18.6,23.8,N,16
BA21NH,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA26BB,No Data,N/A,N/A,N/A,N/A,N,0
BA25HT,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA12NE,OK,N,23.2,20,>=30,Y,13
BA18EL,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA33SL,No Data,N/A,N/A,N/A,N/A,Y,0
BA33XW,OK,Y,15.8,8.9,>=30,Y,27
BS397XG,OK,Y,18.1,3.4,>=30,Y,28
BA21BU,OK,Y,4.6,3.6,9.6,N,19
BA27TU,OK,N,7.9,7.8,14,N,5
BA25QE,OK,N,17.2,20.3,21.5,N,4
BA23LR,OK,N,>=30,>=30,>=30,Y,14
BA13RX,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BS313JP,OK,Y,18.1,20,>=30,N,15
BS397RU,OK,N,4.5,4.8,5.8,Y,12
BA21QP,OK,Y,27.8,20,>=30,Y,18
BS394AR,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA32PR,OK,Y,9,6.6,>=30,Y,41
BS406AP,Insufficient Data,N/A,N/A,N/A,N/A,N,1
BA15BB,OK,N,14.6,15.2,20,N,19
BA12TX,OK,N,>=30,19.2,>=30,Y,16
BA20NX,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA25RA,OK,N,14.2,17.3,17.7,N,3
BA15QE,OK,N,11.6,6,>=30,Y,6
BS394HY,OK,Y,5.4,5.7,8.1,N,14
BA18AS,OK,N,4.2,4.5,5.5,N,10
BS395UG,OK,N,3.6,3.5,6,N,8
BA32XP,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA20JU,OK,Y,17,20.8,23.1,N,18
BA24NJ,OK,N,6.7,5.4,10.7,Y,3
BA34PT,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BA26NS,OK,Y,11.2,6.1,>=30,Y,14
BS397NZ,OK,Y,2.6,2.4,4.3,N,5
BA28SW,OK,Y,21.6,1.2,>=30,Y,30
BA16NU,OK,Y,12.9,4.1,>=30,Y,11
BS394BE,OK,N,7.6,7.8,8.1,N,6
BS396TP,OK,Y,4.2,3.7,8.1,N,21
BA23RH,No Data,N/A,N/A,N/A,N/A,N,0
BA15QQ,Insufficient Data,N/A,N/A,N/A,N/A,Y,1
BA24EU,Insufficient Data,N/A,N/A,N/A,N/A,N,1
BA16RX,OK,N,15.8,6.7,>=30,Y,35
BS397AP,No Data,N/A,N/A,N/A,N/A,N,0
BA15RB,OK,Y,17.6,7.1,>=30,Y,11
BA34NN,OK,N,20.4,14.6,>=30,Y,34
BA11UH,No Data,N/A,N/A,N/A,N/A,Y,0
BA11SF,No Data,N/A,N/A,N/A,N/A,N,0
BA14HL,No Data,N/A,N/A,N/A,N/A,Y,0
BS312JE,OK,N,23.8,20,>=30,Y,7
BA12AZ,OK,N,27.2,14.6,>=30,Y,5
BA12JQ,OK,N,19.8,19.8,20.7,Y,5
BA24QN,OK,N,11.8,9,>=30,Y,11
BA28JH,No Data,N/A,N/A,N/A,N/A,Y,0
BA12UA,OK,N,12.7,12.3,18.8,N,6
BA25AA,OK,N,9.8,7.9,16.9,N,6
BA24LS,OK,Y,11.3,6.4,>=30,Y,15
BS395UR,OK,Y,2.9,3.1,6.2,N,21
BS319DL,No premises,N/A,N/A,N/A,N/A,N,0
BA26HT,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA27DT,OK,N,11.9,11.9,15.6,N,4
BS406EG,OK,N,7.1,7.3,8.1,N,6
BS394JJ,OK,N,5.5,4.8,8.1,N,12
BA28JG,OK,N,>=30,>=30,>=30,Y,9
BA14EG,OK,Y,15.4,4.1,>=30,Y,34
BS311UN,OK,N,17.3,17,>=30,Y,3
BS408RQ,OK,N,19.3,16.6,>=30,N,9
BA22HX,OK,N,26.9,>=30,>=30,Y,6
BA16NZ,OK,Y,7,4.4,>=30,Y,31
BA32UH,No Data,N/A,N/A,N/A,N/A,N,0
BS312EG,OK,N,>=30,20.4,>=30,Y,13
BA35TW,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA21NL,OK,Y,>=30,>=30,>=30,Y,33
BA28HB,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BS312BT,OK,N,17.8,17.1,20,Y,6
BA14AY,OK,N,21.1,20.6,>=30,Y,6
BA24HA,OK,Y,10.8,12.1,15.4,Y,10
BS406AT,OK,N,4.3,3.7,6.8,N,3
BA20PR,OK,Y,4.6,4.7,7,N,26
BA22HF,OK,Y,>=30,>=30,>=30,Y,25
BA10EG,No premises,N/A,N/A,N/A,N/A,N,0
BS311HZ,OK,N,11,8.2,>=30,Y,7
BA16TL,OK,Y,9.5,3.9,>=30,Y,14
BA26AD,OK,N,22.6,7.1,>=30,Y,8
BA28QH,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA13JW,No Data,N/A,N/A,N/A,N/A,Y,0
BA11RN,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA17DQ,OK,N,10.4,8.1,17.4,N,3
BS312BX,OK,N,24.5,20,>=30,Y,20
BS312RF,OK,N,27.6,20,>=30,Y,17
BA10TR,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA13DW,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA17TP,No Data,N/A,N/A,N/A,N/A,N,0
BA33PX,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA18BZ,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA10TT,No Data,N/A,N/A,N/A,N/A,N,0
BA26JW,OK,N,19.7,5.9,>=30,Y,7
BA32TY,OK,N,16.7,9.8,>=30,Y,8
BA27AH,OK,Y,4,4.6,5.8,N,7
BA28AY,OK,Y,2.5,2.3,3.4,N,5
BA11TP,OK,N,6,6.1,8.1,Y,6
BA13RG,OK,Y,8.1,4.7,>=30,Y,11
BA32AS,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA26EN,OK,N,5.1,5.1,8.4,Y,6
BA16QE,OK,Y,8.6,5.3,>=30,Y,9
BA15NY,OK,N,25.1,16.2,>=30,Y,7
BA33RE,OK,N,19,16.9,>=30,Y,34
BA12RF,OK,N,26.7,19.7,>=30,Y,6
BS397YX,OK,Y,11.9,2.9,>=30,Y,44
BA16DB,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA12TU,OK,N,25.2,18.2,>=30,Y,15
BA12TJ,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BS406NF,OK,N,4.7,5.1,6.2,N,5
BS312UN,OK,N,11.5,12.1,17.7,N,35
BS394HB,OK,Y,2.3,2.5,3.7,N,4
BS312RZ,OK,Y,17.8,14.5,>=30,Y,12
BA21LX,OK,Y,3.4,3,6.1,Y,3
BA12UT,OK,N,16.8,9,>=30,Y,13
BA28JD,OK,Y,>=30,22.7,>=30,Y,17
BA28SB,OK,Y,13.1,5.5,>=30,Y,32
BA28SH,OK,Y,24.8,22.3,>=30,Y,10
BA11LN,OK,N,17,17.8,19.6,Y,4
BA28EE,OK,Y,13.9,3.9,>=30,Y,9
BS397PF,OK,Y,8.2,2.5,>=30,Y,9
BA29HY,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA22RH,OK,Y,13.3,11.2,>=30,Y,4
BS396JF,OK,Y,3.7,4.2,5.4,N,5
BA23EB,No Data,N/A,N/A,N/A,N/A,Y,0
BA26JP,No Data,N/A,N/A,N/A,N/A,Y,0
BA17AA,OK,N,14.7,15.4,21.3,N,27
BS312QE,OK,N,22.4,18.5,>=30,Y,20
BS395AJ,OK,N,4.3,4,5.4,N,3
BA33RW,No premises,N/A,N/A,N/A,N/A,Y,0
BS406PB,OK,Y,2.6,2.3,4.5,N,9
BS406AL,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA10TX,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA32SX,OK,N,12.5,7.3,>=30,Y,7
BS406BN,OK,Y,3.2,3.6,4,N,3
BA12SA,OK,Y,18.6,17.1,>=30,Y,35
BA20EZ,No Data,N/A,N/A,N/A,N/A,N,0
BA20NT,No Data,N/A,N/A,N/A,N/A,N,0
BS394AE,OK,Y,6.7,7.4,8.1,N,21
BA17NU,OK,Y,14.1,15.7,20.4,N,30
BA10TH,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS312NR,OK,N,>=30,>=30,>=30,Y,4
BA32PJ,OK,Y,14.2,13.2,>=30,Y,10
BA13HU,OK,Y,10.8,5.3,>=30,Y,9
BA32JF,OK,Y,15.5,14.2,>=30,Y,20
BS311DF,OK,Y,15.3,17.1,22.7,N,13
BA11EU,No Data,N/A,N/A,N/A,N/A,N,0
BS408QJ,No Data,N/A,N/A,N/A,N/A,N,0
BA22RA,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA20HD,OK,N,18.8,20,24.4,N,17
BA17TR,OK,N,6.8,6.5,10.9,N,10
BA15QP,OK,N,16.3,10.2,>=30,Y,12
BS311UR,OK,N,>=30,>=30,>=30,Y,4
BS396HY,OK,Y,3.6,3.7,5,N,27
BA28LW,No Data,N/A,N/A,N/A,N/A,Y,0
BA15SH,OK,N,12.8,6.8,27.5,Y,3
BA28DR,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA21SR,OK,N,27.2,>=30,>=30,Y,10
BS311TX,No premises,N/A,N/A,N/A,N/A,Y,0
BA11PS,No Data,N/A,N/A,N/A,N/A,N,0
BA20PH,OK,Y,2.3,2.7,3,N,3
BS406EF,OK,N,6.7,7.8,8.1,N,8
BA23HU,OK,N,27.6,20,>=30,Y,14
BA23AZ,No premises,N/A,N/A,N/A,N/A,Y,0
BS394DY,No Data,N/A,N/A,N/A,N/A,N,0
BA29HJ,Insufficient Data,N/A,N/A,N/A,N/A,N,1
BS311QR,OK,N,22.9,20,>=30,Y,13
BA24DR,OK,N,17.6,9.5,>=30,Y,16
BA23LJ,OK,N,10.1,8.9,20,Y,5
BA17JZ,OK,N,9.1,9.7,19,N,25
BS395BJ,OK,N,9.8,7.5,17.7,N,4
BA10QY,No premises,N/A,N/A,N/A,N/A,N,0
BS312HG,OK,N,23,19,>=30,Y,21
BA15PZ,OK,Y,19.5,9.2,>=30,Y,23
BA21BL,OK,Y,15.2,6,>=30,Y,14
BA12SQ,OK,Y,12.5,15.4,18,N,11
BA12TA,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA33HG,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BA11SQ,No Data,N/A,N/A,N/A,N/A,N,0
BS395DX,OK,N,11.1,8.1,19.1,N,15
BA25HF,No Data,N/A,N/A,N/A,N/A,N,0
BA16SS,OK,Y,25.5,3.8,>=30,Y,5
BS396HU,OK,Y,3.5,4.1,6.1,N,3
BS406DJ,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA22UR,OK,N,>=30,23.5,>=30,Y,10
BA21ND,OK,Y,26.3,20.7,>=30,Y,4
BA24DL,OK,N,15.1,14.1,>=30,Y,30
BA12TS,OK,Y,15.8,12.1,>=30,Y,16
BA21RN,No Data,N/A,N/A,N/A,N/A,Y,0
BA32PB,OK,N,19.5,11.5,>=30,Y,24
BA25BY,OK,N,13.5,12.4,21.4,N,10
BA21DW,OK,Y,21.9,20,>=30,Y,22
BA35TW,No Data,N/A,N/A,N/A,N/A,Y,0
BS396JJ,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS313BD,OK,N,9.8,8.1,20.5,N,13
BA13AF,OK,N,>=30,21.7,>=30,Y,10
BA18DP,OK,Y,3.7,3.5,5.8,Y,5
BA15ET,OK,N,17,11,>=30,Y,16
BA27SW,OK,Y,4.3,4.3,7.2,N,12
BA20PA,No Data,N/A,N/A,N/A,N/A,N,0
BA24HH,OK,N,17.4,7.9,>=30,Y,11
BA12US,OK,N,19.2,9.9,>=30,Y,6
BA28HJ,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA33AF,OK,N,22.1,24.1,24.1,Y,3
BA24NR,OK,N,21.2,12.1,>=30,Y,8
BA24DB,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA23JD,No Data,N/A,N/A,N/A,N/A,Y,0
BS396TW,OK,Y,5,5.1,8.6,N,13
BS406EJ,OK,N,6.3,6.3,7.6,N,4
BA27AP,OK,N,14.7,14.2,26,Y,7
BS396YH,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS313BZ,OK,N,16,8.1,>=30,N,8
BS406JS,OK,N,5.5,6.1,7.4,N,7
BA21LQ,OK,N,20.7,25,>=30,Y,4
BA12AY,OK,N,22.1,20.5,>=30,Y,7
BA10TA,No Data,N/A,N/A,N/A,N/A,N,0
BA12RZ,OK,N,18.9,15,>=30,Y,15
BA28DU,OK,N,9.1,4,>=30,Y,8
BA25EG,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA21DX,OK,N,28.7,20,>=30,Y,41
BA25SD,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA33BT,OK,Y,6.8,7.1,9.2,N,41
BS311NA,OK,N,>=30,>=30,>=30,Y,6
BA13ES,OK,N,13.7,9.7,>=30,Y,32
BA28LF,No Data,N/A,N/A,N/A,N/A,Y,0
BA17RB,OK,N,12.1,10.7,19.8,N,7
BA20AY,OK,N,6.5,6.9,8.4,N,5
BA32HQ,OK,N,12.3,8.1,23.7,N,8
BA15JY,OK,N,8.3,8.7,11.1,N,16
BA21RR,No Data,N/A,N/A,N/A,N/A,Y,0
BS313DN,OK,N,17.2,20,>=30,N,16
BA23ND,OK,N,21.2,8.1,>=30,Y,21
BS394AA,OK,N,7,8.1,8.1,N,12
BA21RA,OK,Y,28,25,>=30,Y,23
BS395AP,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS311WB,OK,N,17.7,15.4,>=30,Y,33
BA26RN,OK,Y,4.2,4.4,8.2,N,18
BA25RR,No premises,N/A,N/A,N/A,N/A,N,0
BA21PZ,OK,N,28.4,20,>=30,Y,39
BA15HD,No premises,N/A,N/A,N/A,N/A,Y,0
BA17RL,OK,N,13.9,15.7,22.6,N,35
BA14AF,OK,N,6.8,6.4,13,Y,5
BA16DR,OK,Y,13,7.5,>=30,Y,40
BA32DZ,No Data,N/A,N/A,N/A,N/A,N,0
BS311XN,OK,Y,13.1,8.4,>=30,Y,7
BS312PX,OK,N,28.7,21,>=30,Y,21
BA21DP,OK,N,14.8,20,20,Y,5
BS408QN,Insufficient Data,N/A,N/A,N/A,N/A,N,1
BS395SL,No Data,N/A,N/A,N/A,N/A,N,0
BA29EU,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BS397PJ,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA21BE,OK,N,28.4,22,>=30,Y,5
BA19BE,OK,Y,10.1,5.4,>=30,Y,16
BA21EJ,OK,N,20.7,20,>=30,Y,13
BA12DS,No Data,N/A,N/A,N/A,N/A,N,0
BA33YE,OK,N,23.9,10.8,>=30,Y,11
BA26DH,No Data,N/A,N/A,N/A,N/A,Y,0
BA33DN,OK,N,18.7,12.3,>=30,Y,7
BA34BL,No Data,N/A,N/A,N/A,N/A,Y,0
BA28PD,Insufficient Data,N/A,N/A,N/A,N/A,N,1
BA20NJ,No Data,N/A,N/A,N/A,N/A,N,0
BS394AJ,OK,N,7.8,8,8.1,N,3
BA25JP,OK,N,9.7,8.1,18.6,N,5
BA28PZ,OK,Y,2.6,2.9,3.1,N,3
BA23FG,No Data,N/A,N/A,N/A,N/A,N,0
BA24PR,OK,N,13.5,13.5,14.5,Y,4
BA12NQ,OK,N,26.5,20.5,>=30,Y,13
BA12SR,No Data,N/A,N/A,N/A,N/A,N,0
BA21RF,OK,Y,10.6,2,>=30,Y,12
BS313AH,OK,Y,16.3,20,>=30,N,15
BS313AS,OK,N,7.4,3.4,15.9,N,3
BA24JA,OK,Y,10,7.4,>=30,Y,23
BA27SA,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA25PW,OK,Y,13.4,15.3,20.6,N,28
BS312SG,OK,Y,2.7,3.1,3.7,N,5
BA18AG,No Data,N/A,N/A,N/A,N/A,N,0
BA23PH,OK,N,>=30,20,>=30,Y,19
BA14HF,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA11WF,No premises,N/A,N/A,N/A,N/A,N,0
BA33UZ,OK,N,29.4,>=30,>=30,Y,7
BS408SQ,OK,N,19.5,20.3,22.4,N,4
BA16NN,OK,N,13.8,6,27.6,Y,12
BA11QB,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA21BD,No Data,N/A,N/A,N/A,N/A,Y,0
BA12SJ,No Data,N/A,N/A,N/A,N/A,Y,0
BA25LL,OK,N,16.6,17,23.8,N,27
BA26NA,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA11NA,OK,N,12.9,15,19.7,N,5
BA23QX,No premises,N/A,N/A,N/A,N/A,Y,0
BA15EJ,OK,N,16.8,13.2,>=30,Y,5
BA12EN,OK,N,15.7,15.7,16.7,Y,3
BA28DZ,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA24QB,OK,Y,18.5,11.3,>=30,Y,34
BA17LJ,No Data,N/A,N/A,N/A,N/A,N,0
BA24EZ,OK,N,24,13.8,>=30,Y,5
BS395TL,OK,N,2.8,2.6,3.5,N,3
BA13QP,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA26SP,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA15TA,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA10JH,No premises,N/A,N/A,N/A,N/A,N,0
BA21JU,OK,N,>=30,>=30,>=30,Y,3
BA16NT,OK,Y,16.8,5.1,>=30,Y,7
BA21JH,OK,N,>=30,>=30,>=30,Y,14
BS397XH,OK,Y,13.5,3,>=30,Y,10
BA23NE,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA32BP,No Data,N/A,N/A,N/A,N/A,Y,0
BA25NB,OK,N,26.8,18,>=30,Y,7
BS395QS,OK,N,6.2,6.8,9.3,N,8
BA29BG,No Data,N/A,N/A,N/A,N/A,N,0
BA16NA,OK,Y,5.8,6.6,7.4,Y,5
BA26NL,OK,N,12.9,6.7,>=30,Y,9
BA33LJ,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA12EE,OK,N,13.1,14.3,19.7,Y,11
BA21BJ,OK,N,28,14.1,>=30,Y,40
BS311DJ,No premises,N/A,N/A,N/A,N/A,N,0
BA28LW,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA23BD,Insufficient Data,N/A,N/A,N/A,N/A,Y,1
BA21PB,OK,Y,>=30,>=30,>=30,Y,49
BS394DQ,OK,Y,2.8,2.8,5.2,N,19
BA32NR,No Data,N/A,N/A,N/A,N/A,Y,0
BS313ET,Insufficient Data,N/A,N/A,N/A,N/A,N,1
BA22AJ,OK,Y,6.4,6.7,9.5,N,21
BS408YE,OK,Y,2.1,2.2,2.3,N,3
BS406NL,No Data,N/A,N/A,N/A,N/A,N,0
BA32DF,No premises,N/A,N/A,N/A,N/A,N,0
BS408XQ,OK,Y,2.5,2.4,3.7,N,4
BS408UG,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BA19BY,No Data,N/A,N/A,N/A,N/A,N,0
BA13DD,OK,N,6.7,6.7,8.6,Y,5
BS394NQ,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA35ZR,No premises,N/A,N/A,N/A,N/A,N,0
BA33UE,No Data,N/A,N/A,N/A,N/A,Y,0
BA27AF,OK,Y,4.1,4.1,6.4,N,9
BS397PB,OK,Y,>=30,>=30,>=30,Y,3
BA17DW,OK,N,16.8,19.6,23.1,N,6
BA12JW,OK,N,16.1,17.9,22.2,Y,6
BA25JY,OK,N,15,14.3,17.2,N,5
BS394AU,OK,N,6.6,6.8,8.1,N,14
BA11JW,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BA27AJ,OK,N,4,3.8,7,N,10
BA14AL,OK,N,27.6,>=30,>=30,Y,8
BA26JE,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA27WZ,No premises,N/A,N/A,N/A,N/A,N,0
BA16EG,OK,Y,8.3,8.5,13.3,N,20
BA13JU,OK,N,15.1,7.2,>=30,Y,4
BA22QJ,No Data,N/A,N/A,N/A,N/A,Y,0
BA22LL,OK,Y,25.1,20,>=30,Y,25
BS313DH,OK,N,21.9,20,>=30,N,17
BA14NW,OK,Y,15.8,3.1,>=30,Y,18
BS395BQ,OK,N,12.4,8.1,20.9,N,11
BA33RA,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA27BG,OK,Y,2.3,2.1,6.4,Y,16
BA22RJ,OK,N,28.7,17,>=30,Y,4
BA26EA,OK,N,29.1,16.1,>=30,Y,4
BS312UL,OK,N,10.4,13.2,14.2,Y,3
BA32LQ,OK,N,16.6,11.2,>=30,Y,9
BA13JB,OK,Y,9.5,6.6,>=30,Y,20
BS313BL,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA23NE,No Data,N/A,N/A,N/A,N/A,Y,0
BA25JQ,OK,N,11.3,11.3,18.8,N,20
BA32UB,OK,N,12.1,13.6,19.8,N,5
BA26ND,OK,Y,17.1,10.8,>=30,Y,22
BA32PS,OK,Y,16.4,13.5,>=30,Y,15
BA25NA,OK,Y,14.9,14.4,24,N,15
BS395UU,OK,Y,2.9,2.2,5.6,N,7
BS394NY,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BS408UH,No Data,N/A,N/A,N/A,N/A,N,0
BA17JH,OK,N,14.6,14.7,21.5,N,12
BA12NR,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BS395DF,OK,N,9.6,8.1,23.2,N,8
BA20DY,OK,N,4.6,4.8,5.2,N,4
BA26SL,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA28LN,OK,Y,5.8,3.9,15,Y,10
BS396EX,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA26TP,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA25YS,No premises,N/A,N/A,N/A,N/A,N,0
BA32AN,OK,Y,13.8,14.3,>=30,Y,14
BS312QQ,OK,N,29.9,20,>=30,Y,14
BS397LY,OK,Y,>=30,4.1,>=30,Y,5
BS406PT,OK,Y,1.5,1.4,1.7,N,3
BA12UQ,No Data,N/A,N/A,N/A,N/A,Y,0
BS312TN,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA22TL,OK,N,15.6,8,>=30,Y,6
BA15HZ,OK,N,19.8,8.3,>=30,Y,5
BA33BZ,OK,N,22.7,17.5,>=30,Y,9
BA16LU,OK,N,24.9,8.9,>=30,Y,13
BA28RB,No Data,N/A,N/A,N/A,N/A,N,0
BS394NE,OK,N,5.8,5.1,8.1,N,6
BS312RY,OK,N,17,16.7,>=30,Y,6
BA13AA,OK,N,22.4,18.8,>=30,Y,16
BA26RG,OK,N,10.3,6.4,>=30,Y,16
BA15EH,No Data,N/A,N/A,N/A,N/A,Y,0
BA20HL,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA14HQ,OK,Y,9.1,3.2,>=30,Y,15
BA22BD,OK,N,27.7,>=30,>=30,Y,9
BA13AT,No Data,N/A,N/A,N/A,N/A,Y,0
BA21PP,OK,Y,25.5,20,>=30,Y,28
BA28EL,OK,Y,26.2,20,>=30,Y,38
BA21AR,OK,N,20.6,20,>=30,Y,12
BS397PT,OK,Y,6.2,5.7,15.2,N,21
BA18DW,OK,Y,1.7,1.7,2,Y,3
BA17SW,OK,Y,8.1,8.1,12.7,N,16
BA15PW,OK,N,22,14.1,>=30,Y,8
BA33LU,OK,N,24.6,14.2,>=30,Y,10
BS312EB,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BS311TG,OK,Y,21.7,7.4,>=30,Y,15
BS418NP,OK,Y,1.2,1.5,2.2,N,7
BA16SJ,OK,N,5.3,5.4,5.6,Y,3
BS394AS,OK,Y,6.1,6.6,8.1,N,14
BS312ZX,No premises,N/A,N/A,N/A,N/A,N,0
BS395BD,OK,Y,12.5,8.1,22.6,N,26
BA12SL,OK,N,14.3,16,21.8,N,35
BS311XB,OK,N,16.4,13.7,>=30,Y,6
BA21NQ,OK,Y,18.6,11.7,>=30,Y,8
BA22PR,OK,N,21.8,20,>=30,Y,19
BA17DR,OK,N,16.8,18.8,23.6,N,21
BA27AN,No Data,N/A,N/A,N/A,N/A,N,0
BA10SN,No Data,N/A,N/A,N/A,N/A,N,0
BA18BP,No Data,N/A,N/A,N/A,N/A,N,0
BS395AH,OK,N,5.7,5.1,8.5,N,9
BA33NL,OK,N,14.3,14.3,>=30,Y,16
BA24HU,OK,N,18.8,8,>=30,Y,8
BS397RL,OK,N,>=30,7.7,>=30,Y,6
BA33BB,OK,N,23,23.4,24.4,N,3
BS408RY,OK,N,21.7,21.9,22.1,N,3
BA19AL,OK,N,3.4,3.3,4.8,Y,9
BA25SR,OK,N,14.6,13.8,20.7,N,6
BA25LY,OK,Y,16.7,7.2,>=30,Y,20
BA28BZ,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS394BY,OK,Y,2.7,3.1,4.5,N,6
BA39BF,No premises,N/A,N/A,N/A,N/A,N,0
BA16NP,OK,N,>=30,5.7,>=30,Y,5
BA29AN,OK,Y,1.6,1.4,2.8,N,6
BS408RZ,OK,Y,14.6,20.4,22.7,N,5
BA28PF,OK,Y,16.2,3.7,>=30,Y,5
BS395DG,OK,N,9.3,7.8,22.5,N,5
BS311FX,No premises,N/A,N/A,N/A,N/A,N,0
BA28TF,OK,Y,18.8,2.4,>=30,Y,33
BA24QQ,OK,Y,11.6,11,>=30,Y,29
BA19BB,No Data,N/A,N/A,N/A,N/A,Y,0
BA14HH,OK,Y,8.1,3.3,>=30,Y,27
BA15JA,OK,N,17.1,11.1,>=30,Y,4
BA15SB,OK,N,15.4,11,>=30,Y,12
BS312BZ,OK,N,>=30,20,>=30,Y,9
BA17EE,OK,N,18.2,17.8,22.3,N,6
BA15AQ,OK,N,6.7,7.7,7.8,N,3
BA11HA,No Data,N/A,N/A,N/A,N/A,N,0
BA12RE,No Data,N/A,N/A,N/A,N/A,Y,0
BS312PT,OK,N,15.9,17.4,>=30,Y,21
BA11LJ,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BS313HJ,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BA13JE,OK,Y,11.6,5.7,>=30,Y,12
BS312BP,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA24PX,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA23BW,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA22QW,Insufficient Data,N/A,N/A,N/A,N/A,Y,1
BA14JA,OK,Y,2.6,2.6,3.3,Y,3
BA12PS,OK,N,19.6,19,21.5,N,5
