Allotment,Locality,Area,Easting,Northing,Geometry,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
Lyncombe Vale,Widcombe,3178,374957.59912318678,163453.90580047719,"{""type"":""Polygon"",""coordinates"":[[[-2.361479179658874,51.36946461927684],[-2.361437628739302,51.369467444285597],[-2.361433967746381,51.369468803956252],[-2.361430425192475,51.369470163261191],[-2.361427589732814,51.369471070926807],[-2.361407494011153,51.369476076978415],[-2.361396726661466,51.369477458582182],[-2.361318477253584,51.369482644096095],[-2.361195719428531,51.369491113061599],[-2.361062190654741,51.369500514025944],[-2.360902852656181,51.369511342762294],[-2.360823196001034,51.369518330109109],[-2.360782940755117,51.369520251979672],[-2.360693184913526,51.369523225246873],[-2.360586151040098,51.369528049482142],[-2.360517240504661,51.369530958417634],[-2.360329057941916,51.369533784964268],[-2.360228516996921,51.369535892151909],[-2.360135918540451,51.369538873737554],[-2.360175212248973,51.369625677771161],[-2.36019576397718,51.369663638574742],[-2.360235261610918,51.369746217067771],[-2.360275355823992,51.369829333058711],[-2.360282099148412,51.369828323505374],[-2.360423943654063,51.369806852399286],[-2.36056371307874,51.369777566967379],[-2.360649827890587,51.369763368601291],[-2.360735932046143,51.369747821834999],[-2.36081837157573,51.369733185211288],[-2.360855641261057,51.369728126334174],[-2.360946841730639,51.369713013162823],[-2.361025034981267,51.369700636766034],[-2.36109885653023,51.369689622168927],[-2.361162736179234,51.36967953710468],[-2.361179888715502,51.369676787456896],[-2.361251696712887,51.369665778974465],[-2.361259628636167,51.36966530504553],[-2.361377251520866,51.369651458383366],[-2.361437491294792,51.369645429512047],[-2.361514973658563,51.369633054982287],[-2.361582402782651,51.369622509273277],[-2.361627590031962,51.369615178417057],[-2.361659174430667,51.369610136842788],[-2.361721632569762,51.369600055864133],[-2.361799114779477,51.369587681146697],[-2.361919666375103,51.36956977978069],[-2.362022929265149,51.36955238120251],[-2.362117567287302,51.36953770594679],[-2.362190789015099,51.369525793602733],[-2.362261763906429,51.369514337620906],[-2.362298433957216,51.36950838122636],[-2.362357227297906,51.369499210161152],[-2.362431751733323,51.369487293634798],[-2.362487706029631,51.369478580748414],[-2.362461502046386,51.369430030665328],[-2.362442896452289,51.369428739889543],[-2.362349380540933,51.369420489650004],[-2.362254572480184,51.369413591703342],[-2.36217765939058,51.36940798669881],[-2.362114455502503,51.369413575661731],[-2.362001768883411,51.36942246378171],[-2.361844581013405,51.369435534434764],[-2.361677329266384,51.369449085420193],[-2.361535882999771,51.369460758663735],[-2.361526648283463,51.36946123663396],[-2.361522262490805,51.369460800718969],[-2.361515149762999,51.369460013658063],[-2.361482829317275,51.369461821378692],[-2.361479179658874,51.36946461927684]]]}","(51.36958755042004, -2.361126809122969)",33,110,575,12,1
Moorfields Road,Oldfield,4752,374035.47955896199,163481.84361977768,"{""type"":""Polygon"",""coordinates"":[[[-2.373796469535543,51.369612470268017],[-2.373794344949816,51.36961337596378],[-2.3737609708608,51.369631191093717],[-2.373718532554035,51.369655866886227],[-2.373645547927247,51.369696550908884],[-2.373571275705225,51.369739126711693],[-2.373496169875275,51.369781165777944],[-2.3735544739032,51.369799407511394],[-2.373660271109351,51.369831880280756],[-2.373761800959882,51.369863917119531],[-2.373861195366025,51.369895511231846],[-2.37396925070187,51.369928875425622],[-2.37405570607733,51.369956915043424],[-2.374165071874311,51.369991173783632],[-2.374168036550304,51.369991613766736],[-2.374291797249167,51.370019084538768],[-2.374293932844796,51.370019527168886],[-2.374400364692914,51.370042558651086],[-2.374403333042517,51.370043448073169],[-2.374526362095267,51.370068314088236],[-2.374565158226266,51.37007628021059],[-2.374601108125225,51.370083805969088],[-2.374775942978031,51.370114259019672],[-2.374887427837776,51.370132329863011],[-2.375013240448482,51.370149905256966],[-2.375098861282469,51.37016266525108],[-2.375007429229306,51.370409799712611],[-2.375056638294942,51.370416473844131],[-2.375064968627267,51.370363321384239],[-2.375155920635572,51.370115469282723],[-2.374866826484375,51.370075314821051],[-2.374886626428489,51.370034260981342],[-2.374917632961936,51.369958652982547],[-2.375033485492041,51.369685192086081],[-2.374975397918436,51.369678995834441],[-2.37451063038684,51.369548612682046],[-2.374330676726345,51.369500197331028],[-2.374101701843443,51.369438904089037],[-2.374034499430479,51.36947687314197],[-2.373940883760804,51.369529309126293],[-2.373867906857966,51.369570892177528],[-2.373796469535543,51.369612470268017]]]}","(51.36979715144488, -2.3743750086027897)",31,65,360,14,1
Mendip Gardens,Odd Down,2223,373719.36624385708,161905.55438821693,"{""type"":""Polygon"",""coordinates"":[[[-2.379181265280325,51.355888147302345],[-2.379091801046849,51.355650673820193],[-2.378914357646933,51.355470026825813],[-2.37884217820436,51.355246340499384],[-2.378707950761927,51.355251718787834],[-2.378709732034777,51.355295400330235],[-2.378333680465667,51.355497074316901],[-2.378713486138832,51.355779094715984],[-2.378742668610041,51.355800034943179],[-2.378774361325244,51.355823843572075],[-2.37901769327595,51.355982254056848],[-2.379181265280325,51.355888147302345]]]}","(51.35560937404027, -2.3787989423427454)",30,60,332,19,1
King George's Road,Westmoreland,2490,373228.01031366218,164569.85369002837,"{""type"":""Polygon"",""coordinates"":[[[-2.386107575346782,51.379443215620157],[-2.385948800959002,51.379439963583323],[-2.385817035014437,51.37943644256832],[-2.385568274984642,51.379425036679457],[-2.385423451564289,51.379418412020939],[-2.385409707332657,51.379488662296204],[-2.385387744930007,51.379610087715932],[-2.385695513330425,51.379650873861749],[-2.386032099602459,51.37969515985381],[-2.38629824614131,51.3797311375993],[-2.386368805741833,51.379739534375219],[-2.386488095562062,51.379752624416],[-2.386594892888434,51.379379942474785],[-2.386568574987487,51.379490235989572],[-2.386574752350167,51.379464147144155],[-2.386594892888434,51.379379942474785],[-2.386600496843387,51.379356102800983],[-2.386561013075935,51.379366121178357],[-2.386474733093868,51.379361911397076],[-2.386364038099024,51.379356433739829],[-2.386250499984516,51.379350965355691],[-2.386132697178638,51.379345510923898],[-2.38612449580107,51.379398573785629],[-2.386107575346782,51.379443215620157]]]}","(51.379542282333595, -2.386056580674447)",32,102,529,13,1
Monksdale Road,Oldfield,23402,373486.86540813203,163775.40063144176,"{""type"":""Polygon"",""coordinates"":[[[-2.382259437642896,51.371731933093571],[-2.381444442673439,51.372022332940318],[-2.381387164733659,51.372042745058785],[-2.381167268830418,51.372121666512989],[-2.38114151112728,51.372129391118058],[-2.381130051755426,51.372133024069981],[-2.381116460356479,51.372136663959964],[-2.381114213619395,51.372137120729093],[-2.381090569255149,51.372142591161619],[-2.381066921151634,51.37214761214495],[-2.381006725524421,51.372159044439897],[-2.381006014848964,51.372159046752301],[-2.38097869117134,51.372163630220719],[-2.380711697244345,51.372191016536775],[-2.380135138512435,51.372383099695],[-2.38017046984137,51.372401412710531],[-2.380187696740765,51.372407649171251],[-2.380204238282298,51.372402651440702],[-2.380249604083677,51.37241688674149],[-2.380315180364057,51.372440045516157],[-2.380333824930971,51.372445827894403],[-2.380357581342946,51.372453840947976],[-2.38037706622827,51.372460968959409],[-2.380405227547084,51.372471664433618],[-2.380431849071241,51.372482364903682],[-2.380472243984405,51.372497065724566],[-2.380506812659981,51.372509088724833],[-2.380566555474327,51.37252867066217],[-2.380610515811763,51.372544798108528],[-2.380717886505272,51.372579956128249],[-2.380846729869287,51.372619089322235],[-2.380982151506436,51.372665841733138],[-2.381054946327229,51.372688077694228],[-2.381152123752518,51.372722369573367],[-2.381229212734001,51.372748187100903],[-2.381621815160905,51.372883183477555],[-2.381683102496974,51.372903209268365],[-2.381763042309747,51.372929916065175],[-2.381765892540125,51.372930805685805],[-2.381783948989427,51.372937039207201],[-2.381829327029946,51.372952622225988],[-2.382051923613747,51.37302695541279],[-2.382306121816972,51.373112421419073],[-2.382447623803787,51.372936221841385],[-2.382912589653438,51.372955826761128],[-2.382674935788283,51.373234907147086],[-2.382879564642388,51.373313342587331],[-2.382932414251368,51.373273168139391],[-2.382946802833229,51.373279862932733],[-2.383109261634057,51.373116987826023],[-2.383099866677978,51.373112523997939],[-2.383215960751164,51.372986296289177],[-2.383282796390159,51.37290472590491],[-2.383370196098934,51.372789289023189],[-2.383442577641917,51.372691070493872],[-2.383623766289619,51.372445433305579],[-2.383672009940458,51.372378755666269],[-2.383902841666807,51.372064188497859],[-2.383910580088017,51.372054724537783],[-2.383850926734372,51.372045930968774],[-2.38365218649005,51.371991299120943],[-2.383614064024032,51.371979288689516],[-2.383408285248986,51.37193276970595],[-2.383288112401469,51.371910690295145],[-2.38313405816607,51.371873799664492],[-2.3830332392945,51.371843116989147],[-2.382952642501567,51.371822705596813],[-2.382946797424333,51.371817780689504],[-2.382946083002383,51.371817333569282],[-2.382941766455649,51.371811055292937],[-2.382879795624182,51.371794178589148],[-2.382871233827467,51.371790161474436],[-2.38279338611496,51.371758504567772],[-2.382713635233292,51.371754270684775],[-2.382592176791501,51.371748375201349],[-2.382259437642896,51.371731933093571]]]}","(51.37241119550145, -2.382277811880251)",31,66,358,14,1
Brookfield Park,Weston,1739,372736.848527372,166793.79753128771,"{""type"":""Polygon"",""coordinates"":[[[-2.392842485598099,51.399301487163719],[-2.392796572974287,51.399296157802823],[-2.392780991415382,51.399317334425611],[-2.392859097058437,51.39937280484294],[-2.392884388134816,51.399392046557665],[-2.392886296721671,51.399393478410261],[-2.392897391155825,51.399401890941093],[-2.392909686939016,51.399412187150233],[-2.39291112069236,51.399413530704393],[-2.392924269215457,51.399426520779109],[-2.392928578185359,51.399431450324357],[-2.392943768469425,51.399447579729539],[-2.393002125468129,51.399508150196567],[-2.39301635610924,51.399522934448342],[-2.393029867951923,51.399536822201171],[-2.393083078078496,51.399591477097324],[-2.393142038053235,51.399653214051988],[-2.393151245582794,51.39966271158324],[-2.393163560772218,51.399675254973396],[-2.393219401730139,51.399732597703206],[-2.393382661591754,51.399753083955204],[-2.393512225709115,51.399769368430903],[-2.393515665441469,51.399755873235662],[-2.393521329978713,51.399739224382998],[-2.393524800581153,51.399729324720624],[-2.393528974564676,51.399718523785616],[-2.39357128871415,51.399622198316393],[-2.393598875349799,51.399563676512358],[-2.393630627362048,51.399493364990754],[-2.393657372650248,51.39943349763513],[-2.393666573276815,51.399414589616221],[-2.393671466016723,51.399404685168932],[-2.393671458295196,51.399403786285596],[-2.393676488853022,51.399396128648071],[-2.393631196414194,51.399394033602881],[-2.393606766665231,51.3993923178855],[-2.393569284713296,51.399388848204254],[-2.393553506640521,51.399387103403377],[-2.393531921283004,51.399385378112811],[-2.39351685430902,51.399383630917747],[-2.393407474494847,51.399371413634775],[-2.393331195412094,51.399363130185669],[-2.393299516930108,51.399359191473899],[-2.3932570419306,51.399353940640729],[-2.393211718701705,51.399348249899724],[-2.393098775863887,51.39933514538135],[-2.392987958667833,51.399321134712707],[-2.392842485598099,51.399301487163719]]]}","(51.39951522330468, -2.393285085414017)",20,106,541,5,1
Bloomfield Road,Lyncombe,22827,374418.48035355005,163750.68613439091,"{""type"":""Polygon"",""coordinates"":[[[-2.367494780506292,51.372087169726917],[-2.367351655299423,51.372688721850196],[-2.36735212908927,51.372688720363804],[-2.367351669696955,51.372690519630609],[-2.367343343369989,51.372730547371113],[-2.367499945456149,51.372731853802918],[-2.367584768321851,51.372733385379732],[-2.367899455183481,51.372743633489023],[-2.368079790123625,51.372750258053436],[-2.368205463035522,51.372749862937539],[-2.368324739773935,51.372749487806573],[-2.3684454414911,51.372749557526774],[-2.368566850282315,51.372749175440617],[-2.368688969756437,51.372748790990983],[-2.368803037603794,51.372734049169026],[-2.368860426842403,51.372726677097077],[-2.368867597928753,51.372719912660884],[-2.368920626270129,51.37271525103543],[-2.369044202299682,51.372704524128899],[-2.369170560437226,51.372700979623239],[-2.369170502562141,51.372693788503085],[-2.369309064364334,51.372690654828389],[-2.369427575953848,51.372683539141576],[-2.369535201207567,51.372677806060672],[-2.369544551310675,51.372676877639584],[-2.369665198501779,51.37267020442885],[-2.369773649201904,51.372664019066526],[-2.369856903202562,51.37266195830145],[-2.369894321694618,51.372660491734862],[-2.370012743668634,51.372656971390498],[-2.370029322670983,51.372656469543855],[-2.37017292675389,51.372647026523154],[-2.370268074226188,51.372636298302581],[-2.370351514970404,51.372628034096728],[-2.370353819899954,51.372634768653022],[-2.370488842538229,51.372633442602528],[-2.37053337508314,51.372632852235412],[-2.370536424759544,51.372658461601659],[-2.370573021356404,51.372657896332029],[-2.370572209006862,51.372645314122764],[-2.370619580665955,51.372644265281352],[-2.370703652824185,51.372640852955676],[-2.370781924685738,51.372637908393067],[-2.370863082876665,51.372640348113791],[-2.37094076398199,51.372652237378574],[-2.371001955500118,51.372661032643705],[-2.371165864288187,51.372687031129253],[-2.371146795295465,51.372628662235535],[-2.371015924102712,51.372616042740695],[-2.370968501595634,51.372610799513282],[-2.370727598912584,51.372584595088455],[-2.370712450789009,51.372571608810638],[-2.370672043664599,51.372555016950514],[-2.370643245104458,51.372538478223127],[-2.37061706190576,51.372508447517404],[-2.370593865330943,51.372481553548425],[-2.370542446671527,51.372421489109385],[-2.370516967025007,51.372390557241538],[-2.370526966011887,51.372381985928946],[-2.370482697900254,51.372327292313258],[-2.370436279712508,51.372270358200097],[-2.370416991105848,51.372272666502049],[-2.370341256499916,51.372149665095556],[-2.370303434422618,51.372086411349891],[-2.370265504887718,51.372024506300676],[-2.370247108087982,51.37196119110866],[-2.370225727714888,51.371895098716394],[-2.370141241863694,51.371759000713638],[-2.370076643638387,51.371753541744404],[-2.369740251449954,51.371738873462725],[-2.36973813030825,51.37174022853003],[-2.369697266789686,51.371740357555353],[-2.369626059626002,51.371737885616795],[-2.369489563949059,51.37173247347711],[-2.369362425454682,51.371727031662175],[-2.36926822553691,51.371722834207198],[-2.369053412533938,51.371714522322144],[-2.36892982748591,51.371709068838101],[-2.368829945901218,51.371705338388715],[-2.368665368134596,51.371698665371895],[-2.368402452292889,51.371688705909172],[-2.368194032012519,51.37167992287921],[-2.368028040298674,51.371674152326491],[-2.367811810002456,51.371666292076753],[-2.367598400843403,51.371655725832639],[-2.367582997033213,51.371699371468232],[-2.367559664978198,51.371758772965329],[-2.367545707647302,51.371805560249825],[-2.367526054498007,51.371865849104054],[-2.367510704562087,51.371916236406165],[-2.367496080389275,51.371968509145084],[-2.367481387425549,51.372026984596559],[-2.367466098594835,51.372085012459067],[-2.367494780506292,51.372087169726917]]]}","(51.3722319026454, -2.368892655541795)",18,5,250,17,1
Combe Down,Combe Down,11475,376577.13065064,162378.32133440892,"{""type"":""Polygon"",""coordinates"":[[[-2.336598964407809,51.359854524929105],[-2.3366164973188,51.359871643778526],[-2.336731855667766,51.35997118139521],[-2.336756978453056,51.359989806546864],[-2.33687896375222,51.360104786277304],[-2.33687896375222,51.360104786277304],[-2.336895055420054,51.360119122598],[-2.337118353132473,51.360275070650822],[-2.337649542993201,51.360045035912904],[-2.338368783254722,51.360651344418407],[-2.338396075881997,51.36064290563403],[-2.338665041775085,51.360535426804496],[-2.338907387990773,51.360431440289034],[-2.339246123305383,51.360711549658561],[-2.339337762238714,51.360677125349632],[-2.339406488024049,51.360650857623547],[-2.339535423338041,51.360599695119618],[-2.339538238732213,51.360596091298284],[-2.339541037497701,51.360590240239986],[-2.339546049595035,51.360579438735087],[-2.339548838381331,51.360572239334424],[-2.339549522274848,51.360568641694691],[-2.339545086343193,51.36054528279427],[-2.339539263981307,51.360542602938096],[-2.339526310027401,51.360536348107665],[-2.339514790375991,51.360531886944514],[-2.339500415431106,51.36052563623204],[-2.339487356371299,51.360521179530245],[-2.339409614093511,51.360497134256562],[-2.339376621214006,51.360487341845854],[-2.3393362665949,51.36047487402147],[-2.339294484355821,51.360461511406506],[-2.339255675838509,51.360449937987681],[-2.339221130324648,51.360438352204177],[-2.339186591472493,51.360427665305252],[-2.339162026169697,51.360420545159919],[-2.33913756533959,51.360411536987229],[-2.339114539462739,51.360404412372596],[-2.339092941228875,51.360398182532521],[-2.339078573025319,51.360392830662811],[-2.339062790473912,51.360388381801521],[-2.339046882867877,51.360383034386203],[-2.339036784294164,51.360378569060622],[-2.339029659406342,51.360375892951069],[-2.339023843737064,51.360374111963971],[-2.339012330815905,51.360370549645971],[-2.338983469391786,51.360358947332905],[-2.338901411567036,51.360327722904529],[-2.338776104483008,51.360276847465663],[-2.338747243177295,51.360265245093984],[-2.338717079312895,51.360253646483734],[-2.338689625756184,51.360240242196781],[-2.338652165593845,51.36021877662219],[-2.338617534174805,51.360195505025764],[-2.338584317144893,51.360171330414481],[-2.338522152776235,51.360123867731858],[-2.33846577033225,51.360073601666656],[-2.338361737602809,51.359984909883629],[-2.338315494336096,51.359944592388096],[-2.33826925777692,51.35990517376888],[-2.33823016593539,51.359871127975083],[-2.338191185941855,51.359836182930842],[-2.338152094217046,51.359802137110393],[-2.33808710726077,51.359741108743691],[-2.338021996103928,51.359679271676335],[-2.337956898362766,51.359619232361936],[-2.337932346183225,51.359597729293675],[-2.33788324189316,51.359554723141372],[-2.337615681789375,51.35930550699301],[-2.337564018696376,51.359252620027924],[-2.337387388060841,51.359323244491442],[-2.337387421104939,51.359327738946767],[-2.337205725028427,51.359418153865363],[-2.337032495935909,51.359500633660303],[-2.336671908608171,51.359676869535562],[-2.336495746219555,51.359763312188718],[-2.336598964407809,51.359854524929105]]]}","(51.359985859888134, -2.33779113915762)",19,37,113,18,1
Eastfield Avenue,Weston,3468,372819.22719376837,166896.31136022427,"{""type"":""Polygon"",""coordinates"":[[[-2.391142194877125,51.40014693869864],[-2.391102228612038,51.400185725252932],[-2.391214738126311,51.400231193870361],[-2.391329385032025,51.400277104692925],[-2.391441891156001,51.400322123648913],[-2.391556660874507,51.400368483293093],[-2.39166987471613,51.400413050209572],[-2.391780956206902,51.40045771404025],[-2.391891207512361,51.400502290652376],[-2.391939853971013,51.400522263437757],[-2.392005263175625,51.400548202791562],[-2.392114081148878,51.400591435627504],[-2.392152017992774,51.400606410287494],[-2.392225166580447,51.400636458587286],[-2.392339811659886,51.400681918972296],[-2.392448037667249,51.400725153480892],[-2.392572085511455,51.4007751665687],[-2.392669488148106,51.400813942603975],[-2.392739424273532,51.400842473207128],[-2.392799874062856,51.400690714426673],[-2.392812622260169,51.400656962582417],[-2.392827350592141,51.400619159004492],[-2.392839995641572,51.400587205320932],[-2.392846394757059,51.400573250767124],[-2.392867777514448,51.400509805954606],[-2.392880086215116,51.400480100667004],[-2.392743270513475,51.40044765944473],[-2.392606337256028,51.40041530834776],[-2.392561685668739,51.400405120558325],[-2.392545891884205,51.400401577856194],[-2.392420608362832,51.400373232588358],[-2.392321091998561,51.40035046400704],[-2.392296747218137,51.400344882422537],[-2.392276322018743,51.400340276505517],[-2.392171464004407,51.400316536887431],[-2.392060899527272,51.400290748786517],[-2.392042491495027,51.400286405749227],[-2.392027528957715,51.400283039976685],[-2.391919345770341,51.400258502244597],[-2.391810099876589,51.400234417422233],[-2.391792644647457,51.400230610503833],[-2.391770320952036,51.400225741176577],[-2.391744430188653,51.40021953541217],[-2.391697519453158,51.400208455940643],[-2.391685289030884,51.400205800114712],[-2.391668061640293,51.400200913724881],[-2.391560466051746,51.400175744460284],[-2.391541226949998,51.400171224340852],[-2.391520680313295,51.400166259134487],[-2.391417354606126,51.400141435028857],[-2.391319851741717,51.40011838919601],[-2.391286360600729,51.400110410905363],[-2.391275196889656,51.400107751473001],[-2.391167474775848,51.400081593470382],[-2.391101922497181,51.400066530926487],[-2.391089000217711,51.400066124621425],[-2.391046555492758,51.400064468522686],[-2.391044518049563,51.400075711689198],[-2.391041819354181,51.400092799972612],[-2.391039816424216,51.40010808811477],[-2.391142194877125,51.40014693869864]]]}","(51.40044093655622, -2.3921088447842815)",20,106,541,5,1
High Common,Lansdown,5042,374024.46169631119,165863.46235282646,"{""type"":""Polygon"",""coordinates"":[[[-2.375441371139153,51.390866292178146],[-2.374885059009073,51.390928301277917],[-2.374518842081432,51.390964530489804],[-2.373988156508215,51.39101611590651],[-2.373990392082523,51.391028693509028],[-2.373892994377794,51.39105866853604],[-2.373995008528313,51.391144278606653],[-2.37402829233569,51.391171589068897],[-2.374112837213122,51.391236490004147],[-2.374221368687373,51.391321989165419],[-2.374313912043462,51.391394055676521],[-2.374386309493294,51.391451444393311],[-2.374462930849508,51.391518168223897],[-2.374547639545498,51.39158846177957],[-2.374576521281296,51.391613538888215],[-2.374648244426915,51.391675334257698],[-2.374688697575698,51.391709812875817],[-2.374868605347492,51.391640470526234],[-2.374922387957877,51.391638500540083],[-2.374933171119518,51.391638466018613],[-2.37494532256075,51.391544940469998],[-2.374963037607166,51.391421733073017],[-2.374973883898075,51.391342504367053],[-2.374983861824067,51.391244041763159],[-2.375059999117709,51.391237056127693],[-2.37524311182053,51.391226581543641],[-2.37536664712243,51.39121944383016],[-2.375396967571953,51.390971607009327],[-2.375406855576213,51.390949102559453],[-2.375438571447859,51.390871694614496],[-2.375441371139153,51.390866292178146]]]}","(51.39121086467665, -2.374708214193917)",21,1,238,7,1
