Name,Address,Detail,DeterminationDate,RevocationDate,DescriptionOfRevocation,RemediationDate,DescriptionWorks,Easting,Northing,Geometry,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
Si Rusa May Lane,"Si Rusa May Lane, Bath, BA1 3QF",Front & rear garden at Si Rusa,12/07/11,N/A,N/A,Remediation Statement Date 26/03/14.  Remediation Verification Report 05/02/14,The land has been remediated in accordance with the Remediation Statement by B&NES Council.,372652.33413099375,165595.22430785859,"{""type"":""Polygon"",""coordinates"":[[[-2.394282299479991,51.388863538654071],[-2.394324757143486,51.388867890260904],[-2.394461376182046,51.388881363302559],[-2.394471456245304,51.388882318152703],[-2.394494185634251,51.388769697943218],[-2.394496117952096,51.388760162978294],[-2.394496229479396,51.38875935358277],[-2.394511013417493,51.388687301015494],[-2.394511471900977,51.388685501649142],[-2.394512832654626,51.388678395668748],[-2.394530997003607,51.388599859551562],[-2.39445607226919,51.388595437595498],[-2.394344631552892,51.388588621602757],[-2.394282299479991,51.388863538654071]]]}","(51.38873427013326, -2.3944071729911407)",29,16,319,8,1
Milvidon May Lane,"Milvidon, May Lane, Bath, BA1 3QF",Rear garden at Milvidon,06/06/13,N/A,N/A,Remediation Statement Date 26/03/14.  Remediation Verification Report 06/02/14,The land has been remediated in accordance with the Remediation Statement by B&NES Council,372669.4767208877,165551.42114667283,"{""type"":""Polygon"",""coordinates"":[[[-2.394050178136256,51.388491901091378],[-2.394149051902322,51.388497950639049],[-2.39415868673858,51.388447129742104],[-2.39420041762057,51.388449686017893],[-2.394229345642935,51.388451566247852],[-2.394242874687798,51.388371337845186],[-2.394257188264044,51.388285893114848],[-2.394262093834506,51.388263853280613],[-2.394264785247092,51.388246135672972],[-2.394270157243916,51.388209442018365],[-2.394271685981642,51.388208088505216],[-2.394141524492639,51.388201245452414],[-2.394140895482753,51.388210776026128],[-2.394093477437893,51.388208238867051],[-2.394084646220392,51.388269843988645],[-2.394074393129941,51.388331453893336],[-2.394071047115892,51.388355735749151],[-2.394065546411575,51.388391261242283],[-2.394056684218462,51.388449270820047],[-2.394050178136256,51.388491901091378]]]}","(51.388341246792066, -2.394157433358427)",29,16,319,8,1
11 Evelyn Road,"11 Evelyn Road, Bath, BA1 3QF",Rear garden 11 Evelyn Road,12/07/11,14/05/13,"On the basis of the evidence presented by further investigations undertaken at the Property 20/10/11, B&NES Council consider that linkages involving BaP do not bring about the significant possibility of significant harm.",N/A,N/A,372698.0031262078,165598.62627309514,"{""type"":""Polygon"",""coordinates"":[[[-2.393480274729172,51.388772659420781],[-2.39400681040456,51.388836599567213],[-2.39401508077117,51.388792435216629],[-2.394007256656659,51.388792012084131],[-2.393974175145618,51.388789426642994],[-2.393958235871676,51.388782288974589],[-2.393965807703366,51.388739565234403],[-2.39394577155591,51.388738284266928],[-2.393729287986637,51.388724629695666],[-2.39366597653795,51.388720347972907],[-2.393553820842441,51.388713084175926],[-2.393490509425549,51.388708802358309],[-2.393481176348958,51.388767262926002],[-2.393480274729172,51.388772659420781]]]}","(51.38876706674201, -2.3937511337391246)",29,16,319,8,1
15 Evelyn Road,"15 Evelyn Road, Bath, BA1 3QF",Rear garden 15 Evelyn Road,12/07/11,14/05/13,"On the basis of the evidence presented by further investigations undertaken at the Property 20/10/11, B&NES Council consider that linkages involving BaP do not bring about the significant possibility of significant harm.",N/A,N/A,372695.17288413207,165564.98291290825,"{""type"":""Polygon"",""coordinates"":[[[-2.393525998930553,51.388481168751753],[-2.393663273486304,51.388488348143646],[-2.394047111075762,51.388507282788638],[-2.394049281224212,51.388497836921616],[-2.394050178136256,51.388491901091378],[-2.394056684218462,51.388449270820047],[-2.394015786621613,51.388447161145081],[-2.393860482691641,51.388437795523998],[-2.393842468692434,51.388437406649338],[-2.393593043128757,51.388423413148224],[-2.393534838653391,51.388420462557853],[-2.393525997387421,51.388480988974756],[-2.393525998930553,51.388481168751753]]]}","(51.3884644283487, -2.393789208271065)",29,16,319,8,1
46 Newbridge Hill,"46 Newbridge Hill, Bath, BA1 3PU",Front garden at 46 Newbridge Hill,12/07/11,N/A,N/A,Remediation Statement Date 26/03/14.  Remediation Verification Report 06/02/14,The land has been remediated in accordance with the Remediation Statement by B&NES Council.,372825.78874820558,165473.7761778378,"{""type"":""Polygon"",""coordinates"":[[[-2.391782941132866,51.387837369865565],[-2.391892285321385,51.387848689863233],[-2.391952052345363,51.387854332772243],[-2.391952459718949,51.387818824423412],[-2.391954769384779,51.387673193105272],[-2.391957431764868,51.38756882062102],[-2.391960059771006,51.387363410643459],[-2.391959452682912,51.387292398698236],[-2.391940682133446,51.387286618597159],[-2.391871931238696,51.387643806255809],[-2.391804110016778,51.387791005128591],[-2.391794226895224,51.387813061512603],[-2.391789338812917,51.387823415342091],[-2.391782941132866,51.387837369865565]]]}","(51.38765064669479, -2.391905147958107)",29,16,318,8,1
Land at Dapps Hill,"Land between 16 & 24 Dapps Hill, Keynsham, BS31 1ES",Parcel of land between former gas works site and 16 Dapps Hill,22/08/02,N/A,N/A,Remediation Statement Date 22/08/02.,The land has been remediated in accordance with the Remediation Statement by B&NES Council.,365607.0195227795,168033.36796908869,"{""type"":""Polygon"",""coordinates"":[[[-2.495913218179324,51.410251749083073],[-2.495840031184844,51.410280644222986],[-2.495828344109628,51.410285188240302],[-2.495889374075679,51.410283132097661],[-2.495895049525374,51.410281759707978],[-2.495900848381813,51.410280836250834],[-2.495902982147856,51.410280827218436],[-2.495905111049342,51.410280368751422],[-2.495933678672855,51.410269191220749],[-2.495913218179324,51.410251749083073]]]}","(51.41027160180654, -2.495890353135353)",37,52,182,2,1
