id,uri,title,isbn,author
14414,https://www.librarything.com/work/14414,Far from the Madding Crowd,0141439653,
223907,https://www.librarything.com/work/223907,Fearful Symmetry (Sara Selkirk Mysteries),0440242428,
261060,https://www.librarything.com/work/261060,The Female Quixote,0192835726,
4797114,https://www.librarything.com/work/4797114,Forbidden Love,0446942979,
1943613,https://www.librarything.com/work/1943613,The Fortunes of Love,0446940550,
2980941,https://www.librarything.com/work/2980941,Frankie,0141021314,
18707,https://www.librarything.com/work/18707,Friday's Child,1402210795,
159698,https://www.librarything.com/work/159698,The Friendly Jane Austen: A Well-Mannered Introduction to a Lady of Sense and Sensibility,0141001925,
5399311,https://www.librarything.com/work/5399311,From Bath with Love,0952185024,
15846003,https://www.librarything.com/work/15846003,From Wallflower to Countess,037330711X,
296847,https://www.librarything.com/work/296847,Fruitful Bodies (Sara Selkirk Mysteries),0440242436,
223910,https://www.librarything.com/work/223910,Funeral Music,044024241X,
31497,https://www.librarything.com/work/31497,The Gentleman Thief,0373290950,
2089068,https://www.librarything.com/work/2089068,Georgian Bath: Historical Map & Guide,0319290239,
3926882,https://www.librarything.com/work/3926882,The Georgian Buildings of Bath,1904965008,
234604,https://www.librarything.com/work/234604,Georgian summer: Bath in the eighteenth century,0905392604,
278564,https://www.librarything.com/work/278564,"Getting about in Bristol, Bath and North East Somerset, North Somerset and South Gloucestershire",,
9668448,https://www.librarything.com/work/9668448,Ghost of a Chance,0441019161,
1221541,https://www.librarything.com/work/1221541,"The golden voyage; the life and times of William Bingham, 1752-1804",,
597670,https://www.librarything.com/work/597670,Gout: The Patrician Malady,0300073860,
10204543,https://www.librarything.com/work/10204543,Gunpoint [short story],,
8332163,https://www.librarything.com/work/8332163,Hazard,0451205804,
3953585,https://www.librarything.com/work/3953585,Headcase,0786715294,
14355601,https://www.librarything.com/work/14355601,Healing the Soldier's Heart,0373829787,
14078521,https://www.librarything.com/work/14078521,"The Historical and Local New Bath Guide including authentic accounts of Bristol and the Hotwells, a Concise history of Cheltenham, etc., etc.",,
6375654,https://www.librarything.com/work/6375654,Historical Survey of the Somerset and Dorset Railway,0860930033,
11040543,https://www.librarything.com/work/11040543,A History of Saltford Village,0950537705,
2172223,https://www.librarything.com/work/2172223,Honora Clare,0449501671,
2834917,https://www.librarything.com/work/2834917,"Hubbub: Filth, Noise & Stench In England, 1600-1770",0300137567,
10204584,https://www.librarything.com/work/10204584,If the Glove Fits [short story],,
292256,https://www.librarything.com/work/292256,Imprudent Lady,0802705898,
3970502,https://www.librarything.com/work/3970502,Industrial Archaeology of Bath,0900843047,
187368,https://www.librarything.com/work/187368,Ingenious Pain,0340682086,
9927027,https://www.librarything.com/work/9927027,Jane and the Damned,0061958301,
148361,https://www.librarything.com/work/148361,Jane and the Wandering Eye,0553578170,
3232560,https://www.librarything.com/work/3232560,Jane Austen in Bath,1892145324,
12273232,https://www.librarything.com/work/12273232,Jane Austen's cults and cultures,0226402037,
8432204,https://www.librarything.com/work/8432204,Jane Austen's Northanger Abbey [dramatization],1854598376,
10619531,https://www.librarything.com/work/10619531,Jane Austen: A Life Revealed,0547370210,
7568620,https://www.librarything.com/work/7568620,Jane's Fame: How Jane Austen Conquered the World,0805082581,
12695133,https://www.librarything.com/work/12695133,The Kennet & Avon Canal : a journey from Newbury to Bath in 1964,0948975466,
78504,https://www.librarything.com/work/78504,Kiss Me Quick,0060526203,
78547,https://www.librarything.com/work/78547,Lady in Waiting,0446614246,
475852,https://www.librarything.com/work/475852,Lady Lyte's Little Secret,0373292392,
16504,https://www.librarything.com/work/16504,Lady of Quality,1402210779,
6438871,https://www.librarything.com/work/6438871,"Landranger Map 172: Bristol, Bath & surrounding area",0319221725,
598838,https://www.librarything.com/work/598838,The Last Detective,1569472092,
9193834,https://www.librarything.com/work/9193834,Lessons in Temptation,1605048623,
