Title,ContactType,MonthNumber,Count
Highways Roadworks and Schemes,Internet,2,3
Highways Roadworks and Schemes,Letter,2,2
Highways Roadworks and Schemes,Personal Visit,2,2
Highways Roadworks and Schemes,Telephone,2,44
Highways Roadworks and Schemes,Twitter,2,2
Highways Street Lighting,Email,2,57
Highways Street Lighting,Internet,2,7
Highways Street Lighting,Letter,2,1
Highways Street Lighting,Personal Visit,2,8
Highways Street Lighting,Telephone,2,98
Highways Street Lighting,Twitter,2,1
Highways Traffic Signals,Email,2,8
Highways Traffic Signals,Personal Visit,2,2
Highways Traffic Signals,Telephone,2,10
Highways Vegetation,Email,2,19
Highways Vegetation,Internet,2,3
Highways Vegetation,Personal Visit,2,5
Highways Vegetation,Telephone,2,43
Highways Vegetation,Twitter,2,2
Library Services,Email,2,16
Library Services,Letter,2,1
Library Services,Personal Visit,2,1
Library Services,Telephone,2,38
Neighbourhoods Cleansing,Email,2,92
Neighbourhoods Cleansing,Internet,2,7
Neighbourhoods Cleansing,Personal Visit,2,20
Neighbourhoods Cleansing,Telephone,2,254
Neighbourhoods Cleansing,Twitter,2,8
Neighbourhoods Cleansing Enforcement,Email,2,81
Neighbourhoods Cleansing Enforcement,Internet,2,2
Neighbourhoods Cleansing Enforcement,Personal Visit,2,11
Neighbourhoods Cleansing Enforcement,Telephone,2,98
Neighbourhoods Cleansing Enforcement,Twitter,2,1
Neighbourhoods Parks and Grounds,Email,2,22
Neighbourhoods Parks and Grounds,Personal Visit,2,5
Neighbourhoods Parks and Grounds,Telephone,2,69
Neighbourhoods Parks and Grounds,Twitter,2,2
Public Transport,Email,2,9
Public Transport,Personal Visit,2,2
Public Transport,Telephone,2,17
Public Transport,Twitter,2,2
Traffic and Safety,Email,2,41
Traffic and Safety,Personal Visit,2,5
Traffic and Safety,Telephone,2,53
Traffic and Safety,Twitter,2,2
Waste Services Clinical Waste,Email,2,16
Waste Services Clinical Waste,Personal Visit,2,9
Waste Services Clinical Waste,Telephone,2,161
Waste Services Container Request,Email,2,439
Waste Services Container Request,Internet,2,3
Waste Services Container Request,Letter,2,13
Waste Services Container Request,Personal Visit,2,106
Waste Services Container Request,Telephone,2,837
Waste Services Garden Waste Start Up,Email,2,2
Waste Services Garden Waste Start Up,Internet,2,1
Waste Services Garden Waste Start Up,Personal Visit,2,7
Waste Services Garden Waste Start Up,Telephone,2,59
Waste Services General Enquiry,Email,2,11
Waste Services General Enquiry,Personal Visit,2,2
Waste Services General Enquiry,Telephone,2,78
Waste Services Sacks Order,Email,2,1
Waste Services Sacks Order,Personal Visit,2,1
Change of Address - Moving Out,Internet,3,1
Change of Address - Moving Out,Personal Visit,3,8
Change of Address - Moving Out,Telephone,3,43
Change of Address - Moving Within,Email,3,1
Traffic and Safety,Fax,3,2
Change of Address - Moving Within,Personal Visit,3,11
Change of Address - Moving Within,Telephone,3,39
"Complaints, Compliments, Suggestions",Email,3,92
"Complaints, Compliments, Suggestions",Internet,3,4
"Complaints, Compliments, Suggestions",Letter,3,5
"Complaints, Compliments, Suggestions",Personal Visit,3,6
"Complaints, Compliments, Suggestions",Telephone,3,36
Highways Drainage and Flooding,Email,3,46
Highways Drainage and Flooding,Internet,3,1
Highways Drainage and Flooding,Personal Visit,3,1
Highways Drainage and Flooding,Telephone,3,61
Highways Drainage and Flooding,Twitter,3,1
Highways Engineering Design Group,Telephone,3,7
Highways Gritting,Internet,3,2
Highways Gritting,Personal Visit,3,3
Highways Gritting,Telephone,3,5
Highways Hazard or Obstruction,Email,3,13
Highways Hazard or Obstruction,Personal Visit,3,12
Highways Hazard or Obstruction,Telephone,3,51
Highways Licences,Email,3,2
Highways Licences,Personal Visit,3,2
Highways Licences,Telephone,3,10
Highways Maintenance of Roads and Pavements,Email,3,137
Highways Maintenance of Roads and Pavements,Fax,3,1
Highways Maintenance of Roads and Pavements,Internet,3,1
Highways Maintenance of Roads and Pavements,Personal Visit,3,18
Highways Maintenance of Roads and Pavements,Telephone,3,143
Highways Maintenance of Roads and Pavements,Twitter,3,3
Highways Potholes,Email,3,186
Highways Potholes,Internet,3,8
Highways Potholes,Personal Visit,3,12
Highways Potholes,Telephone,3,156
Highways Potholes,Twitter,3,2
Highways Roadworks and Schemes,Email,3,14
Highways Roadworks and Schemes,Telephone,3,35
Highways Roadworks and Schemes,Twitter,3,1
Highways Street Lighting,Email,3,46
Highways Street Lighting,Internet,3,1
Highways Street Lighting,Personal Visit,3,9
Highways Street Lighting,Telephone,3,49
Highways Street Lighting,Twitter,3,3
Highways Traffic Signals,Email,3,2
Highways Traffic Signals,Personal Visit,3,2
Highways Traffic Signals,Telephone,3,9
Highways Vegetation,Email,3,13
Highways Vegetation,Personal Visit,3,10
Highways Vegetation,Telephone,3,33
Library Services,Email,3,14
Library Services,Telephone,3,49
Neighbourhoods Cleansing,Email,3,136
Neighbourhoods Cleansing,Internet,3,7
Neighbourhoods Cleansing,Letter,3,1
Neighbourhoods Cleansing,Personal Visit,3,17
Neighbourhoods Cleansing,Telephone,3,316
Neighbourhoods Cleansing,Twitter,3,18
Neighbourhoods Cleansing Enforcement,Email,3,69
Neighbourhoods Cleansing Enforcement,Internet,3,12
Neighbourhoods Cleansing Enforcement,Letter,3,1
Neighbourhoods Cleansing Enforcement,Personal Visit,3,11
Neighbourhoods Cleansing Enforcement,Telephone,3,93
Neighbourhoods Cleansing Enforcement,Twitter,3,2
Neighbourhoods Parks and Grounds,Email,3,29
Neighbourhoods Parks and Grounds,Internet,3,5
Neighbourhoods Parks and Grounds,Letter,3,1
Neighbourhoods Parks and Grounds,Personal Visit,3,7
Neighbourhoods Parks and Grounds,Telephone,3,59
Public Transport,Email,3,15
Public Transport,Internet,3,4
Public Transport,Letter,3,1
Public Transport,Personal Visit,3,2
Public Transport,Telephone,3,12
Public Transport,Twitter,3,2
Traffic and Safety,Email,3,33
Traffic and Safety,Internet,3,13
Traffic and Safety,Letter,3,7
Traffic and Safety,Personal Visit,3,6
Traffic and Safety,Telephone,3,70
Traffic and Safety,Twitter,3,2
Waste Services Clinical Waste,Email,3,4
Waste Services Clinical Waste,Personal Visit,3,8
Waste Services Clinical Waste,Telephone,3,192
Waste Services Container Request,Email,3,376
Waste Services Container Request,Internet,3,4
Waste Services Container Request,Personal Visit,3,145
Waste Services Container Request,Telephone,3,696
Waste Services Garden Waste Start Up,Email,3,3
Waste Services Garden Waste Start Up,Personal Visit,3,22
Waste Services Garden Waste Start Up,Telephone,3,160
Waste Services General Enquiry,Email,3,18
Waste Services General Enquiry,Personal Visit,3,5
Waste Services General Enquiry,Telephone,3,67
Waste Services Sacks Order,Telephone,3,6
Change of Address - Moving Out,Personal Visit,4,5
Change of Address - Moving Out,Telephone,4,21
Change of Address - Moving Within,Email,4,4
Change of Address - Moving Within,Personal Visit,4,6
Change of Address - Moving Within,Telephone,4,31
Commercial Pest Control - First Appointment,Telephone,4,3
"Complaints, Compliments, Suggestions",Email,4,150
"Complaints, Compliments, Suggestions",Internet,4,2
"Complaints, Compliments, Suggestions",Letter,4,4
"Complaints, Compliments, Suggestions",Personal Visit,4,4
"Complaints, Compliments, Suggestions",Telephone,4,60
Council Connect  Agent Reports,Telephone,4,1
Domestic Pest Control - First Appointment,Letter,4,1
Domestic Pest Control - First Appointment,Telephone,4,10
Highways Drainage and Flooding,Email,4,44
Highways Drainage and Flooding,Internet,4,1
Highways Drainage and Flooding,Personal Visit,4,3
Highways Drainage and Flooding,Telephone,4,84
Highways Engineering Design Group,Email,4,2
Highways Engineering Design Group,Telephone,4,1
Highways Gritting,Email,4,1
Highways Gritting,Telephone,4,1
Highways Hazard or Obstruction,Email,4,9
Highways Hazard or Obstruction,Internet,4,1
Highways Hazard or Obstruction,Personal Visit,4,7
Highways Hazard or Obstruction,Telephone,4,14
Highways Licences,Email,4,3
Highways Licences,Telephone,4,1
Highways Maintenance of Roads and Pavements,Email,4,87
Highways Maintenance of Roads and Pavements,Internet,4,2
Highways Maintenance of Roads and Pavements,Personal Visit,4,20
Highways Maintenance of Roads and Pavements,Telephone,4,109
Highways Maintenance of Roads and Pavements,Twitter,4,2
Highways Potholes,Email,4,86
Highways Potholes,Internet,4,2
Highways Potholes,Letter,4,1
Highways Potholes,Personal Visit,4,15
Highways Potholes,Telephone,4,88
Highways Potholes,Twitter,4,1
Highways Roadworks and Schemes,Email,4,11
Highways Roadworks and Schemes,Personal Visit,4,1
Highways Roadworks and Schemes,Telephone,4,26
Highways Roadworks and Schemes,Twitter,4,1
Highways Street Lighting,Email,4,26
Highways Street Lighting,Internet,4,2
Highways Street Lighting,Personal Visit,4,10
Highways Street Lighting,Telephone,4,41
Highways Traffic Signals,Email,4,3
Highways Traffic Signals,Personal Visit,4,1
Highways Traffic Signals,Telephone,4,7
Highways Vegetation,Email,4,31
Highways Vegetation,Internet,4,1
Highways Vegetation,Letter,4,1
Highways Vegetation,Personal Visit,4,7
Highways Vegetation,Telephone,4,25
Library Services,Email,4,9
Library Services,Telephone,4,45
Neighbourhoods Cleansing,Email,4,102
Neighbourhoods Cleansing,Internet,4,3
Neighbourhoods Cleansing,Personal Visit,4,16
Neighbourhoods Cleansing,Telephone,4,254
Neighbourhoods Cleansing,Twitter,4,19
Neighbourhoods Cleansing Enforcement,Email,4,61
Neighbourhoods Cleansing Enforcement,Personal Visit,4,4
Neighbourhoods Cleansing Enforcement,Telephone,4,89
Neighbourhoods Cleansing Enforcement,Twitter,4,2
Neighbourhoods Parks and Grounds,Email,4,29
Neighbourhoods Parks and Grounds,Personal Visit,4,5
Neighbourhoods Parks and Grounds,Telephone,4,65
Neighbourhoods Parks and Grounds,Twitter,4,1
Public Transport,Email,4,5
Public Transport,Telephone,4,12
Public Transport,Twitter,4,3
Traffic and Safety,Email,4,56
Traffic and Safety,Internet,4,1
Traffic and Safety,Personal Visit,4,3
Traffic and Safety,Telephone,4,47
Waste Services Clinical Waste,Email,4,13
Waste Services Clinical Waste,Personal Visit,4,1
Waste Services Clinical Waste,Telephone,4,158
Waste Services Container Request,Email,4,331
Waste Services Container Request,Internet,4,6
Waste Services Container Request,Personal Visit,4,85
Waste Services Container Request,Telephone,4,688
Waste Services Garden Waste Start Up,Email,4,2
Waste Services Garden Waste Start Up,Personal Visit,4,47
Waste Services Garden Waste Start Up,Telephone,4,266
Waste Services General Enquiry,Email,4,22
Waste Services General Enquiry,Internet,4,1
Waste Services General Enquiry,Personal Visit,4,5
Waste Services General Enquiry,Telephone,4,65
Waste Services General Enquiry,Twitter,4,1
Waste Services Sacks Order,Email,4,1
Waste Services Sacks Order,Telephone,4,5
Change of Address - Moving Out,Personal Visit,5,8
Change of Address - Moving Out,Telephone,5,25
Change of Address - Moving Within,Personal Visit,5,6
Change of Address - Moving Within,Telephone,5,30
Commercial Pest Control - First Appointment,Personal Visit,5,3
Commercial Pest Control - First Appointment,Telephone,5,18
"Complaints, Compliments, Suggestions",Email,5,111
"Complaints, Compliments, Suggestions",Internet,5,2
"Complaints, Compliments, Suggestions",Letter,5,9
"Complaints, Compliments, Suggestions",Telephone,5,69
Domestic Pest Control - First Appointment,Email,5,1
Domestic Pest Control - First Appointment,Internet,5,1
Domestic Pest Control - First Appointment,Personal Visit,5,7
Domestic Pest Control - First Appointment,Telephone,5,115
Highways Drainage and Flooding,Email,5,37
Highways Drainage and Flooding,Internet,5,2
Highways Drainage and Flooding,Personal Visit,5,1
Highways Drainage and Flooding,Telephone,5,53
Highways Drainage and Flooding,Twitter,5,1
Highways Engineering Design Group,Telephone,5,4
Highways Gritting,Telephone,5,10
Highways Hazard or Obstruction,Email,5,5
Highways Hazard or Obstruction,Personal Visit,5,2
Highways Hazard or Obstruction,Telephone,5,29
Highways Licences,Email,5,1
Highways Licences,Telephone,5,5
Highways Maintenance of Roads and Pavements,Email,5,114
Highways Maintenance of Roads and Pavements,Personal Visit,5,17
Highways Maintenance of Roads and Pavements,Telephone,5,112
Highways Maintenance of Roads and Pavements,Twitter,5,2
Highways Potholes,Email,5,92
Highways Potholes,Internet,5,2
Highways Potholes,Personal Visit,5,19
Highways Potholes,Telephone,5,61
Highways Potholes,Twitter,5,4
Highways Roadworks and Schemes,Email,5,11
Highways Roadworks and Schemes,Personal Visit,5,1
Highways Roadworks and Schemes,Telephone,5,21
Highways Roadworks and Schemes,Twitter,5,4
Highways Street Lighting,Email,5,29
Highways Street Lighting,Internet,5,1
Highways Street Lighting,Letter,5,1
Highways Street Lighting,Personal Visit,5,10
Highways Street Lighting,Telephone,5,43
Highways Traffic Signals,Email,5,4
Highways Traffic Signals,Personal Visit,5,1
Highways Traffic Signals,Telephone,5,7
Highways Vegetation,Email,5,53
Highways Vegetation,Personal Visit,5,15
Highways Vegetation,Telephone,5,123
Library Services,Email,5,12
Library Services,Telephone,5,48
Neighbourhoods Cleansing,Email,5,105
Neighbourhoods Cleansing,Internet,5,6
Neighbourhoods Cleansing,Letter,5,2
Neighbourhoods Cleansing,Personal Visit,5,26
Neighbourhoods Cleansing,Telephone,5,289
Neighbourhoods Cleansing,Twitter,5,17
Neighbourhoods Cleansing Enforcement,Email,5,77
Neighbourhoods Cleansing Enforcement,Internet,5,2
Neighbourhoods Cleansing Enforcement,Personal Visit,5,8
Neighbourhoods Cleansing Enforcement,Telephone,5,91
Neighbourhoods Cleansing Enforcement,Twitter,5,1
Neighbourhoods Parks and Grounds,Email,5,45
Neighbourhoods Parks and Grounds,Personal Visit,5,10
Neighbourhoods Parks and Grounds,Telephone,5,93
Neighbourhoods Parks and Grounds,Twitter,5,2
Public Transport,Email,5,16
Public Transport,Personal Visit,5,2
Public Transport,Telephone,5,16
Public Transport,Twitter,5,1
Traffic and Safety,Email,5,55
Traffic and Safety,Personal Visit,5,6
Traffic and Safety,Telephone,5,61
Waste Services Clinical Waste,Email,5,11
Waste Services Clinical Waste,Personal Visit,5,5
Waste Services Clinical Waste,Telephone,5,183
Waste Services Container Request,Email,5,341
Waste Services Container Request,Internet,5,4
Waste Services Container Request,Letter,5,1
Waste Services Container Request,Personal Visit,5,101
Waste Services Container Request,Telephone,5,687
Waste Services Garden Waste Start Up,Email,5,6
Waste Services Garden Waste Start Up,Internet,5,1
Waste Services Garden Waste Start Up,Personal Visit,5,149
Waste Services Garden Waste Start Up,Telephone,5,548
Waste Services General Enquiry,Email,5,34
Waste Services General Enquiry,Letter,5,1
Waste Services General Enquiry,Personal Visit,5,12
Waste Services General Enquiry,Telephone,5,119
Waste Services General Enquiry,Twitter,5,3
Waste Services Sacks Order,Personal Visit,5,1
Waste Services Sacks Order,Telephone,5,5
Change of Address - Moving Out,Personal Visit,6,2
Change of Address - Moving Out,Telephone,6,18
Change of Address - Moving Within,Personal Visit,6,2
Change of Address - Moving Within,Telephone,6,24
Commercial Pest Control - First Appointment,Letter,6,1
Commercial Pest Control - First Appointment,Personal Visit,6,2
Commercial Pest Control - First Appointment,Telephone,6,33
"Complaints, Compliments, Suggestions",Email,6,80
"Complaints, Compliments, Suggestions",Internet,6,3
"Complaints, Compliments, Suggestions",Letter,6,3
"Complaints, Compliments, Suggestions",Personal Visit,6,2
"Complaints, Compliments, Suggestions",Telephone,6,82
Domestic Pest Control - First Appointment,Email,6,1
Domestic Pest Control - First Appointment,Internet,6,1
Domestic Pest Control - First Appointment,Personal Visit,6,2
