Place ID,Place Name,Address,Google Rating,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
ChIJ4SGf6k2BcUgRdP30zmI4k3A,Hares Cycle Works,"6 High St, Weston Village, Bath BA1 4BX, United Kingdom",4.9,"(51.3951046, -2.3893148)",20,108,549,5,1
ChIJNbd9iwuBcUgRSe-73oJ4sS8,Take Charge Bikes,"3 Georges Pl, Bath BA2 4EN, United Kingdom",,"(51.382671, -2.349369)",22,30,75,12,1
ChIJoTY6LhGBcUgRX7opMhIHcC8,Bath Bike Workshop,"A367, Bath, Bath and North East Somerset BA1 1UF, United Kingdom",,"(51.37899, -2.361142)",35,20,14,7,1
ChIJkZ8cMIcnckgRs6Xin5_4F_k,Powabyke UK Ltd,"Gate 1, Trident Works, Marsh Ln, Temple Cloud, Clutton, Bristol BS39 5AZ, United Kingdom",0,"(51.3175, -2.526907)",5,34,97,20,1
ChIJhZ2iJXiOcUgRRlIZjvk1aAI,Chaos Cycles,"Corn Exchange, Corn St, Bristol, Avon BS1 1JQ, United Kingdom",4.9,"(51.454488, -2.593871)",,,,,
ChIJASu11HeOcUgROy9Lr1jOn8U,Evans Cycles,"Lewins Mead, Bristol BS1 2PY, United Kingdom",2.9,"(51.4574123, -2.5946805)",,,,,
ChIJUzmRo_6QcUgRwpXWUhu6Exc,Giant Store Bristol,"Willow Brook Centre, Bradley Stoke BS32 8EF, UK",3.9,"(51.5360176, -2.5475566)",,,,,
ChIJwYnh3tGNcUgRB28GWGW0HMM,Atmosphere Electric Bikes ltd,"137 St George's Rd, Bristol BS1 5UW, United Kingdom",4.5,"(51.451001, -2.607544)",,,,,
ChIJ0SUIGiyMcUgRkBGMAJcOsAo,Crucial Bmx Shop,"Unit 1, Sheene Court, Sheene Ln, Avon, Bristol BS3 4EG, United Kingdom",4.7,"(51.438554, -2.600466)",,,,,
ChIJb2mCjAuBcUgREoVXp61zPEU,Bath By Cycle,"3 Georges Pl, Bath, Banes BA2 4EN, United Kingdom",,"(51.382671, -2.349369)",22,30,75,12,1
