Name,Area,Easting,Northing,Geometry,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
Wellow playing field,10348,373745.76135432121,158241.12979605931,"{""type"":""Polygon"",""coordinates"":[[[-2.378959535622355,51.322054751372391],[-2.378794957829547,51.322112815031218],[-2.378726297357881,51.322137308073643],[-2.378723346839494,51.322138216541212],[-2.37862319189887,51.322174497393043],[-2.378620359693222,51.322175405475306],[-2.378515952573015,51.322212598910376],[-2.378504505414563,51.32221623161125],[-2.378418607313986,51.32224527481717],[-2.378348526634469,51.322269772228644],[-2.378314185071127,51.322280670278865],[-2.378235475243021,51.322306184325328],[-2.378222497309722,51.322310720865921],[-2.378161024020014,51.322331594667993],[-2.378060853422526,51.322366077245796],[-2.37805223841869,51.322368801833797],[-2.378033706913521,51.322374255211322],[-2.377999246879485,51.322385153551465],[-2.377983554986665,51.32239059775069],[-2.377956393663114,51.322396977904532],[-2.377930526434647,51.322402454952893],[-2.377831679244101,51.322425247091054],[-2.377754328861581,51.322443475166587],[-2.377708502803659,51.322453511181486],[-2.377541074979612,51.322510683347126],[-2.377479593728046,51.322530657895122],[-2.377432399385957,51.322546990659482],[-2.377425204128452,51.322549710623072],[-2.377405149104461,51.322556966654872],[-2.377381078223666,51.322593900014795],[-2.37734101314195,51.322613895331024],[-2.37725381181149,51.322657324611733],[-2.377133865307963,51.322718837751147],[-2.377045258509165,51.322764069245153],[-2.377028057730821,51.322773113858986],[-2.377013792789783,51.322779452251957],[-2.377000947669795,51.322785786070099],[-2.376972284701625,51.322796665434872],[-2.376935080646007,51.322804875535944],[-2.37696975475708,51.322834428251319],[-2.376972616532128,51.322837115796602],[-2.37698274737926,51.322846072375079],[-2.37699430543192,51.322855923276535],[-2.377004451036713,51.322866677646914],[-2.377026154713657,51.322887282914635],[-2.377045026128016,51.322908796222407],[-2.377097056566288,51.322962653739104],[-2.377157960063149,51.323030775480035],[-2.377214463780954,51.323096214606039],[-2.377253523251141,51.323141034754393],[-2.377344524743202,51.32321445290988],[-2.37741826011648,51.323274532751682],[-2.379378214459519,51.322535306545625],[-2.379286958827341,51.322431327476238],[-2.379184078465094,51.322309407577634],[-2.379056506057819,51.322163206799026],[-2.378960970249812,51.322056544569293],[-2.378959535622355,51.322054751372391]]]}","(51.32266186620441, -2.3781484977700384)",10,114,61,10,1
Batheaston Football Pitch,6209,377999.73896224087,167628.65484727561,"{""type"":""Polygon"",""coordinates"":[[[-2.317149319642809,51.406804611250024],[-2.317254618737397,51.407289196194164],[-2.317254742255213,51.407289914984702],[-2.317296233970394,51.407478572925527],[-2.317304999316749,51.407494729492342],[-2.317335643717146,51.407554873189383],[-2.317363319136071,51.407614215907749],[-2.317414526321907,51.407733631679037],[-2.317443480520634,51.407772206174059],[-2.317479466444619,51.407764917375573],[-2.317515333818461,51.407757628887424],[-2.317548362484827,51.407751246991708],[-2.317582807373458,51.40774396233985],[-2.31768875231551,51.407722460805289],[-2.317722015515412,51.407715718661798],[-2.31775504412258,51.407709336707903],[-2.318006458047198,51.407673596947625],[-2.318085616810715,51.407686865571584],[-2.318240546245271,51.407635207009882],[-2.318183610773178,51.407356970393131],[-2.317951167054237,51.406761087345558],[-2.317385375861778,51.406794173673809],[-2.317385375861778,51.406794173673809],[-2.317185285902804,51.406811705097262],[-2.317149319642809,51.406804611250024]]]}","(51.40725142983986, -2.317686635654786)",1,23,35,10,1
Bathford Sports Field,26196,378807.16811733705,167008.24730692452,"{""type"":""Polygon"",""coordinates"":[[[-2.308200284349118,51.401645497941956],[-2.308093940477447,51.401553370119451],[-2.308055010628483,51.401545382370273],[-2.308018910911189,51.401517611206984],[-2.307979848173568,51.401489847825104],[-2.307927906516742,51.401450432503111],[-2.307873001890228,51.401411024947741],[-2.307831076678606,51.401380572320001],[-2.307789151522675,51.401350119677005],[-2.307756038721551,51.40132584631943],[-2.3077242303021,51.401301659415552],[-2.307696718892688,51.401281955748324],[-2.307669332065113,51.401263150654472],[-2.307651925245878,51.40124791496423],[-2.30763322073279,51.401233581587611],[-2.307618706743337,51.401225529550345],[-2.307604305245915,51.401216578308599],[-2.307584078080411,51.401204945645269],[-2.30756385695931,51.40119421186975],[-2.307535078145452,51.401179904936214],[-2.30750334233923,51.401166504667565],[-2.307476015984039,51.401156688441425],[-2.307445720566632,51.401145981096732],[-2.307418275714313,51.401136165168218],[-2.3073895331665,51.401127251546825],[-2.307367920017281,51.401121015927366],[-2.307349163452193,51.401116570621006],[-2.307316053719267,51.401110365165131],[-2.307285913063288,51.401105050816135],[-2.307202377440276,51.401090887472165],[-2.307120412775316,51.401081214484591],[-2.307068576701411,51.401075058069559],[-2.307013908172325,51.401070706871955],[-2.306965047206049,51.401066340425615],[-2.306914651491269,51.401062876888481],[-2.306884528974994,51.401060259110366],[-2.306851443425663,51.401057649088678],[-2.306808277537281,51.401054166561032],[-2.306775210052553,51.401054253192065],[-2.306742154603671,51.401056137596647],[-2.306686105988472,51.40105808221152],[-2.30663147962601,51.401060023075459],[-2.306540965308639,51.401065653491585],[-2.306450450968746,51.401071283837823],[-2.306331147898238,51.401078787240344],[-2.306210541051236,51.401086293930589],[-2.306069660972475,51.401092954578665],[-2.305930215115198,51.401101409124848],[-2.305816725437372,51.401109795723215],[-2.305704657977104,51.401118178498898],[-2.305598392040722,51.401125647120438],[-2.305490585287613,51.401133119665189],[-2.305391430582274,51.401140569547564],[-2.305341201348045,51.401144296157014],[-2.305170246379958,51.401155528674202],[-2.305056655859332,51.401166611520502],[-2.305049544553708,51.401166630045374],[-2.305042320711026,51.4011675477701],[-2.305036637650999,51.401168461480886],[-2.305029413807766,51.401169379204816],[-2.305023612225483,51.401170293223714],[-2.30501650690347,51.401171210638132],[-2.305010711304786,51.401173023547912],[-2.305003605982088,51.40117394096157],[-2.304997810382547,51.401175753870739],[-2.304990592521077,51.401177570483839],[-2.304982076902829,51.401180289383504],[-2.304977703563242,51.401182098587562],[-2.304974871006799,51.401183903778758],[-2.304970616188393,51.401185712673879],[-2.304967665109618,51.401187518173572],[-2.304963410290605,51.401189327068408],[-2.304953377816678,51.401195645544746],[-2.304950551241356,51.401198349626902],[-2.304946183881634,51.401201057721345],[-2.304940530729129,51.401206465885288],[-2.304937704152384,51.401209169967125],[-2.304934765036024,51.401212773249071],[-2.30489571238977,51.401275259089608],[-2.305195260627225,51.401245354198849],[-2.305205842770863,51.40132155394371],[-2.305218050773321,51.401410513930038],[-2.305220916314788,51.401431450996903],[-2.304954649570972,51.401457943329838],[-2.304765846061101,51.401476682663002],[-2.304476669408758,51.401926079406778],[-2.304461049116166,51.40194769378769],[-2.304445286392319,51.401965712908698],[-2.304428220490733,51.401983825306012],[-2.304401044533192,51.402014458788713],[-2.304393998789654,51.402024365080258],[-2.304237045800422,51.40219916090529],[-2.304118903554504,51.402382035782146],[-2.304114541999876,51.402385642736746],[-2.304111727235388,51.402390144581219],[-2.304107502104322,51.402396447902078],[-2.304106115604649,51.402401844944286],[-2.30410615140438,51.40240723829293],[-2.304109061637314,51.402417118711647],[-2.304167029657028,51.402489779621],[-2.304247239637461,51.402449120444281],[-2.305352087954589,51.402350960607805],[-2.305365007159766,51.402350926920072],[-2.305395236980166,51.402351746995109],[-2.305439802312268,51.402351630765452],[-2.305481582984178,51.402360510852709],[-2.305537723164773,51.402372050181484],[-2.308176541648595,51.401657515891131],[-2.308200284349118,51.401645497941956]]]}","(51.401703956264804, -2.3060411217923193)",1,26,41,10,1
Albert Field rugby ground,34449,373297.49003420933,168193.27704684882,"{""type"":""Polygon"",""coordinates"":[[[-2.387041727470786,51.411809690783869],[-2.387041727470786,51.411809690783869],[-2.387033138833302,51.411803426812028],[-2.387012871717735,51.41179001016814],[-2.386962207018075,51.411756828095683],[-2.386855284829914,51.41168796541578],[-2.386823465536368,51.41166829454076],[-2.38671501023142,51.411600335702538],[-2.386639945820829,51.411555638139134],[-2.386561925454955,51.411511849189971],[-2.386290751194538,51.411365502787575],[-2.386236877622197,51.411331252294026],[-2.386225325509168,51.411324998034445],[-2.386096665907263,51.411250812889101],[-2.385937758804427,51.411160457044979],[-2.385801949493446,51.411081800595667],[-2.385748598491997,51.4110532112717],[-2.385700857072485,51.411029097988674],[-2.385644550108253,51.411001417258028],[-2.385497273069007,51.410926393839318],[-2.385461194796586,51.410907635517226],[-2.385458334566729,51.410905847114975],[-2.385446790230439,51.410900491660215],[-2.383491415010024,51.412285294107186],[-2.3855255262954,51.413424183989711],[-2.385536904828791,51.413409764028209],[-2.385581048474188,51.413358291139957],[-2.385670744469099,51.413253722641151],[-2.3856877679964,51.413233890636249],[-2.385766158247021,51.413138348357045],[-2.385800316099709,51.413097785044044],[-2.385860097769229,51.41303097912121],[-2.385894285750198,51.412994011308683],[-2.385954083053206,51.412929092989657],[-2.385995487348169,51.412890303555159],[-2.386021134523312,51.412866847454303],[-2.386039736796176,51.412851504729005],[-2.386052560364876,51.412839776674417],[-2.386122582917316,51.412778420194698],[-2.386159630870841,51.412743240689224],[-2.386193825217123,51.412707081782372],[-2.386199573566297,51.412699871573402],[-2.386239368076028,51.412652997194584],[-2.386264946774533,51.412621451101181],[-2.386337563730641,51.412530422000579],[-2.386418587081712,51.412424083700529],[-2.386425734450788,51.41241408225271],[-2.386526683266185,51.412280710925707],[-2.386600714169947,51.412188778082502],[-2.386634893340894,51.4121509111691],[-2.386670502631728,51.412113938431673],[-2.386683325074546,51.412102120419142],[-2.386726127828246,51.412060629381315],[-2.386751781756038,51.412038072001152],[-2.386804623079089,51.411992053252561],[-2.386837470443707,51.411964977562725],[-2.386901765251163,51.411913527500538],[-2.386947465945258,51.411878319158482],[-2.387010383494382,51.411832267028686],[-2.387041727470786,51.411809690783869]]]}","(51.412125293000436, -2.385332100697566)",1,25,47,10,1
Lansdown Rd Playing Fields (1),87733,373143.27170111146,168391.03477604251,"{""type"":""Polygon"",""coordinates"":[[[-2.387366849517507,51.411998285469558],[-2.387235846253495,51.412138139132175],[-2.387100351744898,51.412279715410115],[-2.38707755823459,51.412304061227637],[-2.386875185597147,51.412514265054305],[-2.386622889898586,51.41277946664254],[-2.386386317191484,51.413025648870807],[-2.386021134523312,51.412866847454303],[-2.385995487348169,51.412890303555159],[-2.385954083053206,51.412929092989657],[-2.385894285750198,51.412994011308683],[-2.385860097769229,51.41303097912121],[-2.385800316099709,51.413097785044044],[-2.385766158247021,51.413138348357045],[-2.3856877679964,51.413233890636249],[-2.385670744469099,51.413253722641151],[-2.385581048474188,51.413358291139957],[-2.385536904828791,51.413409764028209],[-2.3855255262954,51.413424183989711],[-2.385494198088577,51.413462940093581],[-2.385448729190939,51.41352601320817],[-2.385376252592784,51.413634120508085],[-2.385293969159011,51.413760328047125],[-2.385210150879881,51.413887349588762],[-2.385136422721254,51.41400184308678],[-2.385122140529275,51.414023463809073],[-2.385065405073866,51.414114439921114],[-2.385038500300727,51.414157675890266],[-2.384974698896168,51.414268451131733],[-2.38485129364586,51.414467604933726],[-2.384766148353515,51.414606316287028],[-2.384733487393898,51.414655953327262],[-2.384638354720845,51.414805484265884],[-2.384605826379247,51.414856828755767],[-2.384602900214839,51.414861332896955],[-2.384948372307643,51.414902446691194],[-2.385273683625262,51.41494281676394],[-2.385326975936379,51.414949832722371],[-2.385717071996647,51.414996190891301],[-2.385728587118281,51.414997950786365],[-2.386092704931018,51.415042595434961],[-2.386317233928341,51.415067923450643],[-2.386405056876698,51.415078420659263],[-2.386590802979112,51.415102078265868],[-2.386736194409981,51.415120475378302],[-2.38704700614069,51.415156303977824],[-2.387366606775082,51.415193900502977],[-2.387549389907472,51.415217566389522],[-2.387643037932371,51.415229841212067],[-2.387844554138902,51.415253534534493],[-2.387953859476231,51.415266656172932],[-2.38816690576457,51.415293816490035],[-2.388244644574547,51.415303446830265],[-2.388500884196634,51.415334957905209],[-2.38853256950899,51.415338448439982],[-2.388699547532077,51.415357670422836],[-2.390548212234066,51.4136133950405],[-2.388868810757827,51.412769335392227],[-2.388867380518327,51.412768441233226],[-2.388790824346111,51.41273004235363],[-2.388785111028855,51.41272736459549],[-2.388756172780397,51.412712089329162],[-2.388558287753798,51.412612068316008],[-2.388272406520938,51.412466494420777],[-2.388052863041952,51.412356566473321],[-2.387768422815429,51.412212784386824],[-2.38754600616273,51.412099269370842],[-2.387453571164143,51.412047438542977],[-2.387366849517507,51.411998285469558]]]}","(51.413896098574476, -2.387564521121267)",1,25,47,10,1
Freshford football ground,15138,378121.45592348796,159484.37285808552,"{""type"":""Polygon"",""coordinates"":[[[-2.316520214186105,51.333835145182114],[-2.316217636406446,51.333669573375488],[-2.316216203858591,51.333667779410298],[-2.316213357329422,51.333666888182954],[-2.316207627139659,51.333659712321925],[-2.316207559064775,51.333649824410593],[-2.316208966857139,51.333648022771762],[-2.316264121975258,51.333528317687744],[-2.316293723453599,51.333461627890493],[-2.315694470400501,51.333350881033134],[-2.315174156142114,51.333256998008551],[-2.314932770030676,51.333211802958793],[-2.3149187878613,51.333278360496763],[-2.31491339690001,51.33332062413735],[-2.314887619872729,51.333531130137182],[-2.314880844406006,51.333595870442565],[-2.314879516677486,51.333609357780531],[-2.314878540218202,51.333674082483746],[-2.314878644983139,51.333689363803146],[-2.314880305498716,51.333724417126824],[-2.3148791256705,51.333759478091636],[-2.314876407934686,51.333794633085333],[-2.314872326125616,51.333820712679668],[-2.314864013333684,51.33386837768041],[-2.314859851401016,51.333882771559594],[-2.314844399450831,51.333942141693178],[-2.314816541686341,51.334056379170697],[-2.314808148697347,51.334092358451656],[-2.314778327738538,51.33414466577176],[-2.314728050055497,51.334234153391542],[-2.314659295937635,51.334356231479134],[-2.314628090777736,51.334413846093419],[-2.314608279861885,51.334458935117553],[-2.314585529385639,51.334489559465666],[-2.314559963111989,51.334523787047075],[-2.314459981116258,51.334631206684534],[-2.314596992975711,51.334694481860765],[-2.314856153144314,51.334810734164492],[-2.314994490710153,51.334842812869972],[-2.315153787634209,51.334876453030425],[-2.31535828548617,51.334770728867568],[-2.315457010718716,51.334721831385593],[-2.315535709475109,51.334686561465602],[-2.315557168912311,51.334674817683414],[-2.315597135179271,51.334652236986123],[-2.315634373179314,51.334628764714843],[-2.315668658571181,51.334606199312425],[-2.31573294394217,51.33455748436689],[-2.31573718599657,51.334554776170862],[-2.315798500119446,51.334504271368715],[-2.31580649721345,51.334496878666997],[-2.315934115725306,51.33438156269591],[-2.316018203599157,51.334304028772763],[-2.316296266346656,51.334037108153495],[-2.316520214186105,51.333835145182114]]]}","(51.334026636356896, -2.3154327393231138)",10,113,54,10,1
Bathampton Playing Field,61541,377897.45458464517,166379.18693972571,"{""type"":""Polygon"",""coordinates"":[[[-2.32102573688957,51.395788276439518],[-2.32100643340494,51.395705629794506],[-2.321003469595067,51.395688558661462],[-2.321001927875965,51.395671483630103],[-2.320998938255406,51.395650727043616],[-2.320994100161386,51.395586018907913],[-2.32099253326498,51.395565348311926],[-2.320989537989367,51.395543782722832],[-2.320989374292397,51.395520411555417],[-2.320986215326184,51.395475474798452],[-2.320984441787616,51.39544222005182],[-2.320982786758429,51.395408964980113],[-2.320981778792386,51.395265052517281],[-2.320980174138388,51.395238988573354],[-2.320979783800066,51.39518325732481],[-2.320978166558823,51.395155395598252],[-2.320977367003569,51.395041236425612],[-2.320839186544966,51.395007366686251],[-2.320813214926776,51.395004741115628],[-2.320787361817198,51.395002115214616],[-2.320761515002007,51.395000388199044],[-2.320724042054169,51.394996895203583],[-2.320686693907596,51.394994300762768],[-2.320649339475963,51.394990807418885],[-2.320611872832852,51.394988213278751],[-2.320575946766882,51.394985614909146],[-2.320460216147271,51.39497604368033],[-2.320354471460291,51.394970939561297],[-2.320330046745416,51.39496920856017],[-2.320299921200289,51.39496569533032],[-2.320271099260432,51.394962178527408],[-2.32024228352705,51.394959560608839],[-2.32020207874347,51.394955176008928],[-2.320160333395682,51.394950795607208],[-2.320120128627497,51.394946410979173],[-2.320078383295387,51.394942030548201],[-2.320035209628037,51.394936755097604],[-2.319993464312695,51.394932374636362],[-2.319964767158643,51.394929756325531],[-2.319937367292722,51.394926235554948],[-2.319908670145653,51.394923617230383],[-2.319882692353059,51.394920092562096],[-2.319855411004568,51.394916571448604],[-2.319674159122844,51.394891896949183],[-2.319641064774238,51.394887492746058],[-2.319606548367647,51.394883092414823],[-2.319573454031803,51.394878688192605],[-2.319504421251241,51.394869887480091],[-2.319469780099403,51.39486458854055],[-2.319429569206478,51.394859304784021],[-2.319390668145453,51.394854916349566],[-2.319351879333303,51.394849628687702],[-2.319308705835345,51.394844352969088],[-2.319265526085156,51.3948381783432],[-2.319222352607774,51.394832902592725],[-2.319184992156562,51.394828509890274],[-2.319146203390164,51.394823222160234],[-2.319107302386451,51.394818833631597],[-2.31907847433106,51.394814417643765],[-2.319049771044214,51.394810900217294],[-2.319019527194536,51.394807386980752],[-2.318993680553945,51.394805659574942],[-2.318967827659018,51.394803033272076],[-2.318943278323707,51.3948004034131],[-2.318898689111664,51.394796030307759],[-2.318855640474765,51.394791652990627],[-2.318811051279441,51.39478727985189],[-2.318776541279337,51.394783778167252],[-2.318743447093853,51.394779373710286],[-2.318708812348522,51.39477497343686],[-2.318684381547928,51.394772343201069],[-2.318661372811028,51.39476970909039],[-2.318636948265677,51.394767977736059],[-2.31862686908496,51.394767106252992],[-2.318615367843792,51.394766238638255],[-2.318605294912985,51.394766266044712],[-2.318590949550844,51.394765406165746],[-2.318576610437811,51.394765445176382],[-2.318562159067961,51.394766383399023],[-2.318551255351979,51.394766233279206],[-2.318526248283365,51.394765941739855],[-2.318448618718588,51.394764894401398],[-2.318330812193771,51.394763416891109],[-2.318320739263304,51.39476344427311],[-2.318312082150214,51.39476256889732],[-2.318306393907225,51.394762584359285],[-2.318302009219931,51.394762596277701],[-2.318258848407683,51.394759117954713],[-2.318237268003981,51.394757378787261],[-2.318217228167498,51.394755635429426],[-2.318195647766993,51.394753896254308],[-2.318175495669261,51.39475305210275],[-2.318151071150674,51.39475132064711],[-2.31810506623961,51.394747849994545],[-2.317883624026318,51.394737664430693],[-2.317817473299651,51.394734248351412],[-2.317805975821779,51.394733919992078],[-2.317741953411748,51.395037475295617],[-2.317679355357369,51.395341476137666],[-2.317673867057882,51.395370345982109],[-2.317666837541194,51.395399130116253],[-2.317658385934285,51.395427918107487],[-2.317647115074216,51.395460309378443],[-2.317640116808726,51.395476508710153],[-2.31756619231016,51.39559985963735],[-2.317550917767253,51.395687274938915],[-2.317504473238236,51.39582574284902],[-2.31749590935439,51.395838350783144],[-2.317487451518792,51.395849160612649],[-2.31748026612951,51.395855472450805],[-2.317463094743749,51.395874396075591],[-2.317450264552316,51.395887015572079],[-2.317438850223416,51.395898732320859],[-2.317426013792238,51.395910452923331],[-2.317413183580542,51.395923072415719],[-2.317398931264555,51.395935695761182],[-2.317381734913586,51.395951023808664],[-2.31736311645294,51.395966355707692],[-2.317346039209238,51.39598177331785],[-2.317328836598952,51.3959962024662],[-2.317307349007175,51.396007946498379],[-2.31728598613626,51.396020589096835],[-2.317274453223879,51.396032306150552],[-2.317260188389693,51.396043131696437],[-2.317245935994353,51.396055755023191],[-2.317233111915092,51.396069273386992],[-2.317221685040836,51.396079192331825],[-2.317211692707928,51.396090905205881],[-2.317186069388589,51.396121537489677],[-2.317106196958887,51.396259106969815],[-2.317042768859229,51.396392586785254],[-2.317001320966632,51.396431352041908],[-2.317005761413272,51.396456509448058],[-2.317011723833708,51.396478966009504],[-2.317014723520777,51.396501430591165],[-2.317016238911401,51.396514910110049],[-2.317017741866092,51.396526591846403],[-2.317025089106564,51.396543651209477],[-2.317035274367083,51.396559803980551],[-2.317044081050305,51.396582252839615],[-2.31705572575906,51.396603795105946],[-2.317070258874414,51.39663171179766],[-2.317086207285473,51.396658635856333],[-2.317105162007624,51.396691844128341],[-2.317125532658493,51.396724149654595],[-2.31715449828604,51.396765420979904],[-2.317163249075521,51.396779779808263],[-2.317174844118294,51.396794130932285],[-2.31718072578428,51.396804901898143],[-2.317187911067216,51.396815669332653],[-2.317202512441996,51.396836304667112],[-2.317218423667734,51.396857835359512],[-2.317237297672036,51.396879358023412],[-2.317257475310674,51.396900877152412],[-2.317276331302706,51.396919793025432],[-2.317293752111721,51.396936825077184],[-2.317322643331656,51.396967309665065],[-2.317337082731268,51.396981653065112],[-2.317348802615531,51.396996902741229],[-2.317358838454358,51.397008561348017],[-2.317370402489177,51.397018417996208],[-2.317390648955862,51.397032745651252],[-2.317410895435187,51.397047073302751],[-2.317435420777054,51.397063187167973],[-2.317459952363352,51.397080199919124],[-2.317484583795884,51.39709451567041],[-2.317510525094464,51.397109726772975],[-2.317527783951727,51.39712046687265],[-2.31778163496362,51.39723942293169],[-2.317807539038238,51.397249240621413],[-2.317832133262689,51.397258162952475],[-2.317860881635645,51.397267972910626],[-2.317888320158019,51.397276887509442],[-2.317917062318473,51.397285798562706],[-2.317944494625634,51.397293814257218],[-2.31797180219343,51.39730093137608],[-2.317999103531851,51.397307149597509],[-2.318025095011094,51.397312472461842],[-2.318052383885812,51.397316892888732],[-2.318078362897959,51.397320417959172],[-2.318105645542568,51.397323939482604],[-2.318134456362353,51.397325659032163],[-2.318163148672594,51.397327378896634],[-2.318190531114712,51.397328203405216],[-2.318219217186439,51.397329024364936],[-2.318248015528131,51.397328946104523],[-2.318281086534021,51.397329755132276],[-2.318350060340539,51.397329567645549],[-2.318375889644647,51.397328598517092],[-2.318403259599604,51.397327625193952],[-2.318430504795386,51.397325753295718],[-2.31845347732176,51.397322994102339],[-2.318499409870873,51.397315677920083],[-2.318525214171297,51.397311113194753],[-2.318574084491205,51.397300193360394],[-2.318595616108157,51.397294741335045],[-2.318617153969912,51.397290188196713],[-2.31863868557703,51.397284736163449],[-2.318749137791518,51.397250277068046],[-2.318895410591378,51.397203045724737],[-2.318905459034803,51.397199422728505],[-2.31891396682918,51.397195803927147],[-2.318922586877655,51.397191285911411],[-2.318934026171561,51.397183164584767],[-2.318944049582294,51.397175946021306],[-2.31895406673336,51.397167828566005],[-2.318969759907153,51.397157897833473],[-2.318986999977147,51.397148861793177],[-2.319005668432217,51.397140720767261],[-2.319024218369478,51.397132580061225],[-2.319042893069546,51.397125337920357],[-2.319064418289722,51.397118986917953],[-2.319090197386099,51.397110826504466],[-2.319117529636976,51.397104459668888],[-2.319144737108933,51.397097194258919],[-2.319176342003372,51.397091714673287],[-2.319209375284388,51.397087130093553],[-2.319240992688331,51.397083448272433],[-2.31926822517874,51.397079778397732],[-2.319295470191132,51.397077906298641],[-2.319321405316272,51.397075138856998],[-2.319344383926949,51.397073278380155],[-2.319367368800335,51.397072316789753],[-2.319390347407679,51.397070456303901],[-2.319416170277334,51.397068588055475],[-2.319442111655861,51.397066719478097],[-2.319467934521251,51.397064851218289],[-2.319483683950167,51.397063010435595],[-2.319499558155959,51.397062068218418],[-2.319515313850117,51.397061126322427],[-2.319595644890614,51.397041131136639],[-2.319676075559833,51.39701843889948],[-2.320059611021643,51.396920488988719],[-2.320282917404062,51.396856685213869],[-2.320318750672088,51.396845800306238],[-2.320357540398942,51.396834008391686],[-2.320434870201113,51.39680862739084],[-2.320469406068236,51.396798644895199],[-2.320505239246463,51.396787759930625],[-2.32053964399724,51.39677597995685],[-2.320562584679897,51.39676872589601],[-2.320586941189261,51.396760569046535],[-2.320609875567826,51.396752416085533],[-2.320618501654566,51.396748796836071],[-2.320635647892575,51.396743356441519],[-2.320645702386866,51.396740632187125],[-2.320655763169742,51.396738806822754],[-2.320665830241768,51.396737880348439],[-2.320678747846876,51.396737844975483],[-2.320704714148609,51.396739571682531],[-2.320721910701408,51.396741322402534],[-2.320739219474253,51.396742173904528],[-2.320756416029321,51.39674392461945],[-2.320769346220011,51.396745687018282],[-2.320780847997507,51.396746554420389],[-2.320793890407566,51.396747417600999],[-2.320806808015199,51.396747382213917],[-2.320815691872275,51.396746728640565],[-2.320787869469438,51.396716871218317],[-2.320780577432259,51.396707902112176],[-2.32077624814888,51.396698924889911],[-2.320771918867189,51.396689947667483],[-2.320768861737246,51.396676472419564],[-2.320767345238372,51.396662992951505],[-2.320768679270212,51.396650404583454],[-2.320774391874774,51.396636905313429],[-2.320781532886294,51.396624301038415],[-2.320791405911955,51.396612588187089],[-2.320797162552726,51.396605381152213],[-2.320805757133648,51.396597267434451],[-2.32082283973334,51.396582748214335],[-2.320841469871021,51.39656921355072],[-2.320854343373048,51.396562885922158],[-2.32086863898753,51.396556554395509],[-2.320883059401907,51.396551121433298],[-2.320973336346791,51.396513119883032],[-2.321076511778637,51.396472386173841],[-2.321092223149102,51.396465151829894],[-2.321105202499648,51.396457026066983],[-2.321118057037447,51.396448001736729],[-2.321129495756844,51.39643988019575],[-2.321138077649664,51.396429968671725],[-2.321147963141226,51.396420053572008],[-2.321150906975812,51.396417348774229],[-2.321153726001314,51.396413745410449],[-2.321155122914927,51.396410145946724],[-2.321162263786685,51.396397541648255],[-2.321166441924,51.396384945474878],[-2.321169197948792,51.396372353201635],[-2.321170644071584,51.396358865612669],[-2.321169008956467,51.396345386474295],[-2.321164648133386,51.396331914811313],[-2.321130455952691,51.396171014121002],[-2.321124603767044,51.396147658555471],[-2.321117217274964,51.396125206105097],[-2.32110976780493,51.396093764744592],[-2.321100896244548,51.396062327282863],[-2.321093565304395,51.396030885596005],[-2.321084718959508,51.396003043696574],[-2.321069988374681,51.395947261883151],[-2.321062583049357,51.395922112755507],[-2.321055184029607,51.395897862518254],[-2.321047897228393,51.39587271306452],[-2.321033167360592,51.395817021134171],[-2.32102573688957,51.395788276439518]]]}","(51.39601287443996, -2.319078900451568)",1,24,31,10,1
