Ref,Description,LocationDescription,Status,Start,End,OrganisationName,TrafficType,Easting,Northing,Latitude,Longitude,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
30011528,LARKHALL PLACE CONNECTION POINT FOR NOTICING ONLY,J/O LARKHALL PLACE AND ST.SAVIOUR'S ROAD,Completed,15/08/2016 12:00:00 AM,26/08/2016 12:00:00 AM,WGA - BRISTOL & BATH,Signing Only,376107,166622,51.398123167485814,-2.344829921957719,"(51.398123167485814, -2.3448299219577193)",23,56,229,4,1
30015270,Tree trimming - No excavation,Outside Colwell Hall to junction of Main Road,Completed,23/08/2016 12:00:00 AM,23/08/2016 12:00:00 AM,1167 SHEP/WELL M&R,Two-Way Signals,361824,158862,51.327566674760156,-2.549291954295028,"(51.327566674760156, -2.5492919542950285)",5,35,100,20,1
202696,Surface Dressing works - REVISED DATES.,Whole Road,Completed,20/08/2016 12:00:00 AM,21/08/2016 12:00:00 AM,Bath and North East Somerset Council,Road Closure,368787.17,162527.45,51.360950521867565,-2.449682062978943,"(51.360950521867565, -2.449682062978943)",8,40,130,16,1
600060,Replacement of Street Lights in Audley Park Road,AUDLEY PARK RD LOWER WESTONBATHBATH AND NORTH EAST SOMERSET,Completed,17/10/2016 12:00:00 AM,23/11/2016 12:00:00 AM,SSE Street Lighting,Signing Only,373729.5,165436.5,51.387358219265373,-2.378915568887948,"(51.38735821926537, -2.3789155688879484)",34,54,203,9,1
30006760,REPLACE 127M OF 6IN CI WITH 127M OF 125MM PE AND REPLACE OR TRANSFER APPROX 18 SERVICES,Outside of number 1 high field,Completed,01/08/2016 12:00:00 AM,09/09/2016 12:00:00 AM,WGA - BRISTOL & BATH,Give and Take,372875,164323,51.377305881327757,-2.391109695697719,"(51.37730588132776, -2.391109695697719)",28,89,464,11,1
30015259,Urgent excavation in highway to locate and repair LV cable fault.,o/s flat 8 321 bath road,Completed,22/07/2016 08:05:00 PM,01/08/2016 12:00:00 AM,1171 SE BRISTOL CONSTRUCTION,Give and Take,367416,167725,51.407606180160236,-2.46985340367695,"(51.407606180160236, -2.4698534036769497)",17,82,427,16,1
30006760,REPLACE 127M OF 6IN CI WITH 127M OF 125MM PE AND REPLACE OR TRANSFER APPROX 18 SERVICES,Outside of 16 innox,Completed,01/08/2016 12:00:00 AM,09/09/2016 12:00:00 AM,WGA - BRISTOL & BATH,Give and Take,372866,164350,51.377548218349723,-2.391241072070537,"(51.37754821834972, -2.391241072070537)",28,89,464,11,1
30009926,REPLACE 1051M OF 6IN CI WITH 1051M OF 125MM PE AND REPLACE OR TRANSFER APPROX 18 SERVICES.,At the Side of Valley view,Completed,01/07/2016 12:00:00 AM,26/08/2016 12:00:00 AM,WGA - BRISTOL & BATH,Two-Way Signals,376183,167667,51.407522445827375,-2.343808005956895,"(51.407522445827375, -2.343808005956895)",1,25,51,10,1
600071,"Please carry out the necessary work to replace the aluminium lighting column with a 6 metre tubular galvanised steel column,",HIGH LITTLETONBRISTOLBATH AND NORTH EAST SOMERSET,Completed,01/08/2016 12:00:00 AM,03/08/2016 12:00:00 AM,SSE Street Lighting,Signing Only,364687,158659,51.325926992350801,-2.508183488975194,"(51.3259269923508, -2.5081834889751935)",3,42,138,23,1
30015275,new supply,opp 24,Completed,28/07/2016 12:00:00 AM,02/08/2016 12:00:00 AM,Bristol Water,Signing Only,357250.32,163100.52,51.365349631879994,-2.615440542899695,"(51.365349631879994, -2.615440542899695)",6,31,80,21,1
