the_geom,Name,Descriptio
POINT (-2.36266404894287 51.3797260136785),kml_1,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.36340179998279 51.3839768346324),kml_2,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35229531767263 51.3916267062102),kml_3,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35949428148292 51.3969458735074),kml_4,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.3430954776589 51.3645351285716),kml_5,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.4809717564925 51.28081273817),kml_6,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
