AADFYear,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_km,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles,id,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
2008,6990,South West,Bath and North East Somerset,A36,PU,375300,164240,A367 roundabout,A3062 roundabout,0.5,0.31,201,287,20896,224,3091,535,94,39,22,45,170,905,25403,53678e9ba12f84afac5538a4c79040bf3c3a967d,"(51.37668, -2.35627)",33,109,567,12,1
2008,7128,South West,Bath and North East Somerset,A367,PU,374700,164540,Avon St,A4,0.7,0.43,89,113,7176,139,872,101,2,6,2,0,1,112,8412,67ba1f19b26dd499d36d15d3fca6c11d63101358,"(51.37935, -2.36491)",34,55,196,9,1
2008,7937,South West,Bath and North East Somerset,A4,PR,372000,165640,Broadway,Old Newbridge Hill,0.4,0.24,51,302,14634,223,2034,219,17,3,5,18,8,270,17463,33a42bfb2cade28c066dfab021f0ce2041b71b0f,"(51.3891, -2.40378)",29,18,313,8,1
2008,8116,South West,Bath and North East Somerset,A362,PU,366000,154970,B3355,B3355,1.5,0.93,18,56,5217,50,1142,121,27,20,1,4,22,195,6660,d3844fce54814911222fbbda793979d75fab63b9,"(51.29284, -2.48899)",11,10,280,25,1
2008,8292,South West,Bath and North East Somerset,A36,PU,375619,165276,Darlington St,Beckford Rd,0.2,0.12,220,143,12359,229,1925,413,73,37,13,31,94,661,15317,c6f2abef643b503875421c26eabf4e5ab70274b5,"(51.38601, -2.35175)",35,21,24,7,1
2008,16122,South West,Bath and North East Somerset,A36,PR,372200,165000,A4(T),Connection Rd,1.5,0.93,19,248,11043,69,2323,513,70,83,27,43,164,900,14583,a7bc5cc24a334cbc56ace81bf6e515e551b82065,"(51.38336, -2.40086)",28,92,478,11,1
2008,16354,South West,Bath and North East Somerset,A37,PR,361900,160000,A39,A368,5.7,3.54,3,197,9035,62,1784,380,77,26,69,149,196,897,11975,f348e93b88a4ab78eac62f796dc0c8a9317c1458,"(51.33781, -2.54832)",5,34,95,20,1
2008,16389,South West,Bath and North East Somerset,A39,PR,364800,160000,B3115,A368,3.5,2.17,21,196,8987,100,1511,227,14,15,6,15,5,282,11076,87faeeb3fc8170e807e80985e8ed45b80950250d,"(51.338, -2.5067)",8,40,126,16,1
2008,16957,South West,Bath and North East Somerset,A367,PR,372050,160820,B3115,Sulis Manor Rd roundabout,1.7,1.05,56,171,16709,251,1856,350,65,51,20,36,47,569,19556,d375862585f571b3e1e283461d0eb46c3c06665f,"(51.34577, -2.40269)",9,28,67,22,1
2008,17552,South West,Bath and North East Somerset,A3062,PU,375630,164000,A36 roundabout,North Rd/The Avenue,1.7,1.05,36,52,4305,99,524,58,17,0,0,0,3,78,5058,4c70acc974722dd08e1f1acdeabacba0308fd53f,"(51.37453, -2.35151)",33,110,574,12,1
2008,17920,South West,Bath and North East Somerset,A36,PU,375440,165500,Beckford Rd,A4,0.5,0.31,147,323,15353,116,2478,534,108,76,37,62,260,1077,19347,53f2591261a93e897e3174e6e21df66a17384eed,"(51.388, -2.35434)",35,21,19,7,1
2008,18277,South West,Bath and North East Somerset,A4,PU,375010,165130,Saracen St,George St,0.1,0.06,71,31,3212,110,576,90,10,0,0,0,0,100,4029,7af5cbc4624291ee781bd562e852836b9a1b8c17,"(51.38467, -2.3605)",35,20,7,7,1
2008,26126,South West,Bath and North East Somerset,A4,PU,376000,166200,A36,A46,2,1.24,382,273,19925,450,2963,447,90,187,35,89,123,971,24582,72c66588929b334fe6655375d02a7c0db244f932,"(51.39432, -2.34634)",36,95,490,4,1
2008,26127,South West,Bath and North East Somerset,A4,PR,370000,165500,B3116,A39,5,3.1,213,447,22302,358,3047,422,76,57,22,42,54,673,26827,0103ae674d0d1b48976c7f612284790bd85a5c2c,"(51.38774, -2.43252)",9,28,68,22,1
2008,26381,South West,Bath and North East Somerset,A36,TU,376000,165451,Sydney Rd/Beckford Rd,"Hantone Hill, Bathampton",1.9,1.18,54,89,12554,117,1467,331,63,43,25,73,101,636,14863,94d7abe176b029b4f707c9aa55e3da0dc517c270,"(51.3876, -2.34629)",22,30,72,12,1
2008,26417,South West,Bath and North East Somerset,A39,PR,363500,157000,A37,B3355,1,0.62,13,94,5084,48,893,220,49,18,9,23,35,354,6473,10e8c85c54584e5ce268c4266aa3a054091eabe5,"(51.31094, -2.52505)",3,43,136,23,1
2008,27024,South West,Bath and North East Somerset,A36,PU,375640,165000,A3062 roundabout,Sydney Place,1.1,0.68,71,306,17616,293,2292,733,78,46,36,98,83,1074,21581,9bcce24c583f0f07e475de23e5eec8ff39e2e88f,"(51.38353, -2.35143)",35,21,3,7,1
