ExtractDate,OrganisationURI,OrganisationLabel,CaseReference,CaseDate,ServiceTypeURI,ServiceTypeLabel,PremisesName,LocationText,Postcode,EntertainmentTypeURI,EntertainmentTypeLabel,LateNightRefreshment,AlcoholSupply,StatusURI,StatusLabel,LicenceStartDate,LicenceEndDate,Conditions,DecisionDate,LicenceURL,UPRN,GeoPointLicensingURL
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,14/02135/LAPRE,07/03/2014,http://id.esd.org.uk/service/860,Premises Licence,Pratts Hotel,4 - 8 South Parade| Bath| BA2 4AB,BA24AB,http://id.esd.org.uk/entertainment/7|http://id.esd.org.uk/entertainment/5|http://id.esd.org.uk/entertainment/6,Performances of dance|Live music|Recorded music,FALSE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,25/03/2014,,Alcohol DPS|Alcohol Pricing|Door Supervision|Extra Alcohol ON Conditions from 2010|Hours - On Licence|Standard PEL Terms and Conditions,25/03/2014,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/02135/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/02135/LAPRE,Not Known,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,14/02222/LAPRE,11/03/2014,http://id.esd.org.uk/service/860,Premises Licence,Crown & Anchor,44 High Street| Upper Weston| Bath| BA1 4BY,BA14BY,http://id.esd.org.uk/entertainment/5|http://id.esd.org.uk/entertainment/6,Live music|Recorded music,FALSE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,25/04/2014,,Alcohol DPS|Alcohol Pricing|Door Supervision|Extra Alcohol ON Conditions from 2010,25/04/2014,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/02222/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/02222/LAPRE,Not Known,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,14/02244/LAPRE,12/03/2014,http://id.esd.org.uk/service/860,Premises Licence,Red Lion,468 Wellsway| Bath| BA2 2UA,BA22UA,http://id.esd.org.uk/entertainment/2|http://id.esd.org.uk/entertainment/3|http://id.esd.org.uk/entertainment/5,Films|Indoor sporting events|Live music,TRUE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,01/04/2014,,Alcohol DPS|Alcohol Pricing|Door Supervision|Extra Alcohol ON Conditions from 2010|Films,01/04/2014,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/02244/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/02244/LAPRE,10001129551,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,14/02249/LAPRE,12/03/2014,http://id.esd.org.uk/service/860,Premises Licence,Debenhams,17 Southgate Place| Bath| BA1 1AP,BA11AP,,,FALSE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,02/04/2014,,Alcohol DPS|Alcohol Pricing|Extra Alcohol ON Conditions from 2010,02/04/2014,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/02249/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/02249/LAPRE,10023107609,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,14/02346/LAPRE,17/03/2014,http://id.esd.org.uk/service/860,Premises Licence,Greyhound Hotel,1 High Street| Midsomer Norton| BA3  2LE,BA32LE,http://id.esd.org.uk/entertainment/5|http://id.esd.org.uk/entertainment/6,Live music|Recorded music,FALSE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,31/03/2014,,Alcohol DPS|Alcohol Pricing|Door Supervision|Extra Alcohol ON Conditions from 2010|Section 77|Standard PEL Terms and Conditions,31/03/2014,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/02346/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/02346/LAPRE,Not Known,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,14/02353/LAPRE,17/03/2014,http://id.esd.org.uk/service/860,Premises Licence,Tesco Stores Ltd (05526),243 Englishcombe Lane| Southdown| Bath| BA2 2ER,BA22ER,,,FALSE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,03/04/2014,,Alcohol DPS|Alcohol Pricing|Door Supervision|Extra Alcohol OFF Conditions from 2010,03/04/2014,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/02353/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/02353/LAPRE,Not Known,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,14/02361/LAPRE,14/03/2014,http://id.esd.org.uk/service/860,Premises Licence,Bath RFC - Lambridge,Lambridge Sports Ground | London Road West| Lower Swainswick| Bath| BA1 6BD,BA16BD,http://id.esd.org.uk/entertainment/4|http://id.esd.org.uk/entertainment/2|http://id.esd.org.uk/entertainment/3|http://id.esd.org.uk/entertainment/1|http://id.esd.org.uk/entertainment/7|http://id.esd.org.uk/entertainment/5|http://id.esd.org.uk/entertainment/6,Boxing or Wrestling|Films|Indoor sporting events|Plays|Performances of dance|Live music|Recorded music,TRUE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,14/05/2014,,Alcohol DPS|Alcohol Pricing|Extra Alcohol ON Conditions from 2010|Films,14/05/2014,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/02361/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/02361/LAPRE,10001147078,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,14/02454/LAPRE,20/03/2014,http://id.esd.org.uk/service/860,Premises Licence,Gainsborough Hotel (Bath) Ltd,Beau Street| Bath| BA1 1QY,BA11QY,http://id.esd.org.uk/entertainment/7|http://id.esd.org.uk/entertainment/5|http://id.esd.org.uk/entertainment/6,Performances of dance|Live music|Recorded music,TRUE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,01/06/2014,,Alcohol DPS|Alcohol Pricing|Extra Alcohol ON Conditions from 2010,25/04/2014,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/02454/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/02454/LAPRE,10001148719,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,14/02479/LATEN,24/03/2014,http://id.esd.org.uk/service/1071,Temporary Event Notice,Homewood Park Hotel,Homewood| Hinton Charterhouse| Bath| BA2 7TB,BA27TB,,,FALSE,FALSE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,22/12/2014,23/12/2014,,26/03/2014,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/02479/LATEN'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/02479/LATEN,10001144577,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,14/02554/LAPRE,26/03/2014,http://id.esd.org.uk/service/860,Premises Licence,Green Park Tavern,Lower Bristol Road| Westmoreland| Bath| BA2 3BD,BA23BD,http://id.esd.org.uk/entertainment/2|http://id.esd.org.uk/entertainment/3|http://id.esd.org.uk/entertainment/1|http://id.esd.org.uk/entertainment/7|http://id.esd.org.uk/entertainment/5|http://id.esd.org.uk/entertainment/6,Films|Indoor sporting events|Plays|Performances of dance|Live music|Recorded music,TRUE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,10/04/2014,,Alcohol DPS|Alcohol Pricing|Door Supervision|Extra Alcohol ON Conditions from 2010|Films,10/04/2014,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/02554/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/02554/LAPRE,Not Known,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,14/02587/LAPRE,28/03/2014,http://id.esd.org.uk/service/860,Premises Licence,Co-op,3A Burlington Place| Lansdown| Bath| BA1  2SQ,BA12SQ,,,FALSE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,15/04/2014,,Alcohol DPS|Alcohol Pricing|Door Supervision|Extra Alcohol OFF Conditions from 2010,15/04/2014,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/02587/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/02587/LAPRE,10001128030,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,14/02591/LAPRE,27/03/2014,http://id.esd.org.uk/service/860,Premises Licence,Bath Sushi,3 Victoria Buildings| Lower Bristol Road| Bath| BA2 3EH,BA23EH,,,FALSE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,07/05/2014,,Alcohol DPS|Alcohol Pricing|Extra Alcohol ON Conditions from 2010,07/05/2014,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/02591/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/02591/LAPRE,10001128574,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,14/02652/LAPRE,02/04/2014,http://id.esd.org.uk/service/860,Premises Licence,Verona Coffee,231 - 233 Bath Road| Keynsham| BS31 1TN,BS311TN,,,FALSE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,02/05/2014,,Alcohol DPS|Alcohol Pricing|Extra Alcohol ON Conditions from 2010,02/05/2014,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/02652/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/02652/LAPRE,Not Known,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,14/02673/LAPRE,03/04/2014,http://id.esd.org.uk/service/860,Premises Licence,The Golden Fleece,Avon Buildings| Lower Bristol Road| Westmoreland| Bath| BA2 1ES,BA21ES,http://id.esd.org.uk/entertainment/3|http://id.esd.org.uk/entertainment/5|http://id.esd.org.uk/entertainment/6,Indoor sporting events|Live music|Recorded music,FALSE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,24/04/2014,,Alcohol DPS|Alcohol Pricing|Door Supervision|Extra Alcohol ON Conditions from 2010,24/04/2014,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/02673/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/02673/LAPRE,10001131019,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,14/02683/LAPRE,04/04/2014,http://id.esd.org.uk/service/860,Premises Licence,The New Curry Garden,41 Upper Bloomfield Road| Odd Down| Bath| BA2 2RY,BA22RY,,,FALSE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,07/05/2014,,Alcohol DPS|Alcohol Pricing|Extra Alcohol ON Conditions from 2010,07/05/2014,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/02683/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/02683/LAPRE,10001134817,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,14/02701/LAPRE,07/04/2014,http://id.esd.org.uk/service/860,Premises Licence,Lamb Hotel,Chapel Road| Clandown| Radstock| BA3  3BP,BA33BP,http://id.esd.org.uk/entertainment/5|http://id.esd.org.uk/entertainment/6,Live music|Recorded music,FALSE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,24/04/2014,,Alcohol DPS|Alcohol Pricing|Door Supervision|Extra Alcohol ON Conditions from 2010,24/04/2014,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/02701/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/02701/LAPRE,Not Known,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
