the_geom,Name,Descriptio
POINT (-2.35899067475316 51.3835968997026),kml_1,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.3898688623384 51.395863118775),kml_2,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.37991709396085 51.3779230961634),kml_3,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.45848241439703 51.4019553336923),kml_4,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.49702536708561 51.4130416011917),kml_5,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.502031129411 51.3060659708263),kml_6,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.48186112654149 51.2855927317375),kml_7,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.44758292237705 51.2911762804349),kml_8,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
