id,uri,title,published,isbn,author
GB97W8057,http://bnb.data.bl.uk/id/resource/009444901,Death,1997,0745152724,Janine Amos
GBB2C6235,http://bnb.data.bl.uk/id/resource/007635672,Death at La Fenice,2003,0754019012,Donna Leon
GBB286697,http://bnb.data.bl.uk/id/resource/010282200,Put a lid on it,2002,0786246693,Donald E. Westlake
GB8226432,http://bnb.data.bl.uk/id/resource/008783479,Innocent obsession,1982,0893404543,Anne Mather
GBA862778,http://bnb.data.bl.uk/id/resource/013826527,Tankalphabet : thirty tanka,2001,1899933093,James Kirkup
GB8226307,http://bnb.data.bl.uk/id/resource/008783836,Maids and mistresses,1982,0851198643,Margaret Powell
GBB102920,http://bnb.data.bl.uk/id/resource/015723153,Skein of the crime,2011,1408492911,Maggie Sefton
GBA455180,http://bnb.data.bl.uk/id/resource/012959419,Man with a past,2004,0786261358,Jayne Ann Krentz
GB8529709,http://bnb.data.bl.uk/id/resource/010103830,The daffodils of Newent,1985,0859975991,Susan Sallis
GBB276678,http://bnb.data.bl.uk/id/resource/011550181,Homecoming heart,2003,075408809X,Mary Mackie
GBA531414,http://bnb.data.bl.uk/id/resource/013175070,Feast of the scorpion,2005,0786270152,James Pattinson
GB96Y4436,http://bnb.data.bl.uk/id/resource/007714107,The Moor's last sigh,1996,0745179932,Salman Rushdie
GB7806358,http://bnb.data.bl.uk/id/resource/008113432,The Toff and Old Harry,1977,0850467640,John Creasey
GB98Z8071,http://bnb.data.bl.uk/id/resource/009492762,Sri Lanka handbook,1998,1900949180,"Bradnock, Robert W."
GBA4Y0440,http://bnb.data.bl.uk/id/resource/008395000,Street dreams,2004,0754094197,Faye Kellerman
GBB081325,http://bnb.data.bl.uk/id/resource/015594968,Artemis Fowl and the Atlantis complex,2010,1405664525,Eoin Colfer
GBA1Y8604,http://bnb.data.bl.uk/id/resource/008392184,Rhode Island blues,2001,0754024113,Fay Weldon
GB96Z8556,http://bnb.data.bl.uk/id/resource/007713125,The last lawmen,1996,0786205172,Jack Cummings
GB8431081,http://bnb.data.bl.uk/id/resource/009443743,Three and one make five,1984,0745100651,Roderic Jeffries
GB7230692,http://bnb.data.bl.uk/id/resource/012252715,The true style : aspects of neo-classical taste: [catalogue of an exhibition at the Holburne of Menstrie Museum],1972,0903679000,Holburne of Menstrie Museum
GB97Y6154,http://bnb.data.bl.uk/id/resource/007714304,Panic!,1997,0745189423,Bill Pronzini
GB96W3686,http://bnb.data.bl.uk/id/resource/007713915,Hidden latitudes,1997,0745169406,Alison Anderson
GB95Q9170,http://bnb.data.bl.uk/id/resource/007714038,Born in ice,1996,0786203749,Nora Roberts
GB8442371,http://bnb.data.bl.uk/id/resource/008783285,Of venison and victims,1985,0851193064,Peter De Polnay
GBA0W7284,http://bnb.data.bl.uk/id/resource/008393897,Elusive victory,2000,0754041670,Mary Mackie
GBB202225,http://bnb.data.bl.uk/id/resource/016005113,A room full of bones,2012,1445886502,Elly Griffiths
GB7734234,http://bnb.data.bl.uk/id/resource/010103583,The children's summer,1977,0859972631,Sheila Kaye-Smith
GB9401961,http://bnb.data.bl.uk/id/resource/007713972,The gossamer cord,1993,0745175589,Philippa Carr
GBA698837,http://bnb.data.bl.uk/id/resource/013608100,Golden threads,2006,1405638877,Kay Hooper
GB97Y9803,http://bnb.data.bl.uk/id/resource/007714270,Ryan's quadrangle,1997,0745188974,Elizabeth Daish
GBA531957,http://bnb.data.bl.uk/id/resource/013175614,Death of a dustman,2004,140563121X,M. C. Beaton
GB8113715,http://bnb.data.bl.uk/id/resource/008783704,Dearest Mamma,1981,0851197302,Laura Conway
