Street,Area,Easting,Northing,Geometry,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
Broad Street                  ,Bath                ,375006.05866552278,165158.21067011636,"{""type"":""LineString"",""coordinates"":[[-2.36063964970015,51.385100185563047],[-2.360589422239475,51.384995886807943],[-2.360511336542747,51.384829379280447],[-2.360505912404907,51.384817620247823],[-2.360493504830904,51.384791679922834],[-2.360479885628213,51.384762327465218],[-2.360463379847459,51.384727500535519]]}","(51.3849139978857, -2.3605511884922246)",35,20,7,7,1
Broad Street                  ,Bath                ,375018.22516126628,165120.85794312938,"{""type"":""LineString"",""coordinates"":[[-2.360448764801825,51.384692038546014],[-2.360429145419392,51.384652996314138],[-2.360404546447631,51.384613519948992],[-2.360357880684609,51.384555234359084],[-2.360307959623037,51.384489767479685],[-2.360298495509194,51.384491594420595],[-2.360288512795216,51.384472658116358]]}","(51.384576969072135, -2.360372498984247)",35,20,7,7,1
High Street                   ,Midsomer Norton     ,368860.83639830886,154876.817846975,"{""type"":""MultiLineString"",""coordinates"":[[[-2.447131614996506,51.291880717541027],[-2.44712314464608,51.291885154645406],[-2.44711942741129,51.291892000693437],[-2.447117506462313,51.291901177089315],[-2.447121377444001,51.291910151571813],[-2.447131975783649,51.291917841853966],[-2.447166627766029,51.291942879418258],[-2.447202272000982,51.291972677494542],[-2.44725024804607,51.292006024141955],[-2.447305998199353,51.292036284704494],[-2.447307931092341,51.292040502274382],[-2.447413491718037,51.29209816945842],[-2.447507594794883,51.292157048964079],[-2.447637986151057,51.292214620995402],[-2.447860953044776,51.29227120940137],[-2.447881463670939,51.292264658634359],[-2.44792189847192,51.292203466733049],[-2.447921770703159,51.292190342886009],[-2.44794562158246,51.292089661652135],[-2.447975175151981,51.292088919282392],[-2.447977531586604,51.292027333752728],[-2.447970010416429,51.291947088346582],[-2.447954314817417,51.291901662709378],[-2.447892448813184,51.291826209823306],[-2.447856670373562,51.291782658883534],[-2.447755527276994,51.291680747976962],[-2.447737178705074,51.291666435340346],[-2.447676626781911,51.291616596736283]],[[-2.448605161868465,51.29183291878126],[-2.448492086187933,51.291889894684836],[-2.448447886312394,51.291952899069237],[-2.448438285344428,51.291950508754624],[-2.448405397663924,51.29199737897995],[-2.448229133454658,51.292243820877339],[-2.448174563690769,51.292322685986612],[-2.448139812539255,51.292372529729185],[-2.448126706212875,51.292410874209416],[-2.448128166988195,51.292451590013478],[-2.448152229993984,51.292481971500408],[-2.448198340837824,51.29250579627341],[-2.448248159213958,51.292521786162432],[-2.448505337274126,51.292557836659732],[-2.448912706546739,51.292632324025845],[-2.449040844186576,51.292652507772665]],[[-2.447582810535718,51.292328546302208],[-2.447452232717056,51.292251827775793],[-2.447383128415486,51.292210201959101],[-2.447314987629707,51.292170370273041],[-2.447305456588488,51.292175171015302],[-2.447280457737352,51.292157917266302],[-2.447249689938329,51.292131067038419],[-2.44717667276311,51.292088287447569]],[[-2.4471032509038,51.292052520988676],[-2.447074433619222,51.292031686074623],[-2.447084889600403,51.292024724392498],[-2.447023292101787,51.291976777195252],[-2.446996372829399,51.291956564261085]],[[-2.449897236195781,51.291474051255449],[-2.449919151814476,51.291490327481839]]]}","(51.292183978062816, -2.447964901900797)",12,79,413,24,1
High Street                   ,Keynsham            ,365436.50688989181,168609.20482951822,"{""type"":""MultiLineString"",""coordinates"":[[[-2.498295169516379,51.41488118631883],[-2.498310983715995,51.414950784558727],[-2.498349437135007,51.415107031282226],[-2.498372397687435,51.415103337971779],[-2.498383176411767,51.415102393209025],[-2.498401646419426,51.415154541288267],[-2.498417873915531,51.41519672100717],[-2.498434264009162,51.415242945125357],[-2.498446130653969,51.415276603751046],[-2.498457164699635,51.415299119437869],[-2.49846251102415,51.415321928996434],[-2.498498798016469,51.415420654662036],[-2.498521757569832,51.415482222167917],[-2.498543907043218,51.415534714128611],[-2.498558663217536,51.415572405538605],[-2.49857191358283,51.415602462622914],[-2.498614814595516,51.415709699742699],[-2.498631077711903,51.415755115351672],[-2.498644455380382,51.415796857710035],[-2.498652648200358,51.415819745033666],[-2.498666025907741,51.415861487389002],[-2.498693547688816,51.415939125919842],[-2.498685619038712,51.415940508033806],[-2.498710421222532,51.41599703376103],[-2.498736052391369,51.416053466062579]],[[-2.498483497668446,51.415997550063771],[-2.49845304280714,51.415911833777905]],[[-2.498441970468613,51.415885812508378],[-2.498424938445913,51.415835096579038],[-2.498407086344161,51.41578528304526],[-2.49839302102687,51.415745700968458],[-2.498402372332,51.415744312821914],[-2.498360192900242,51.41563797146587],[-2.498342518176032,51.415593550624045],[-2.498325450934702,51.415550475559733],[-2.498315080315498,51.415523552382403],[-2.498308521837944,51.415509197724397],[-2.498270245633391,51.41543466113184],[-2.498281589109778,51.415420230331918],[-2.498259327556342,51.415357401336763],[-2.498237100282664,51.415297718374859],[-2.498213416186863,51.415234895419665],[-2.4981749910795,51.415135729300843],[-2.498202333309988,51.415131567936633],[-2.498167452953398,51.415042184855331],[-2.498142358427621,51.415045887199412],[-2.498110531063053,51.414964671197097],[-2.498094318593668,51.414923839735252],[-2.498103669740497,51.414922451612775],[-2.498077297093513,51.414874022613233]]]}","(51.415435580532204, -2.4983961896587408)",24,49,158,1,1
Orange Grove                  ,Bath                ,375187.98712905246,164769.52745665627,"{""type"":""LineString"",""coordinates"":[[-2.357618428045977,51.381419241731408],[-2.357620599065339,51.381424179112955],[-2.357622752559074,51.38142686926988],[-2.35762705604204,51.381431800138692],[-2.357629324501386,51.381434040488763],[-2.357635039111758,51.381437618680771],[-2.357646572783522,51.381442976922436],[-2.357648001436658,51.38144387147026],[-2.357650259381143,51.381444763485185],[-2.35765310617113,51.381445204245985],[-2.35765524214005,51.381445647177749],[-2.357659510572427,51.381446083596273],[-2.357704734630452,51.381441900358084],[-2.357707748975758,51.381448632984338],[-2.357776764498405,51.381441680305613],[-2.357841281641297,51.381435190788416],[-2.357929482269361,51.381427280479592],[-2.35811133165364,51.381411263219164],[-2.358226053333135,51.381401204081968]]}","(51.381426923288274, -2.3579158378695912)",35,20,12,7,1
Bath Street                   ,Bath                ,374978.72336226312,164711.28691379735,"{""type"":""LineString"",""coordinates"":[[-2.360401514285628,51.38094174716808],[-2.361132676708062,51.38083072628406],[-2.361158091038806,51.380853570144794],[-2.361182661954095,51.380874618778577],[-2.361199942576454,51.380887599692137],[-2.361221624253796,51.380902814305593],[-2.361241848914138,51.380913538852845],[-2.361264920375862,51.380924704069635],[-2.361269199416023,51.380926488691067],[-2.36128177158206,51.38095836125774],[-2.361330043480697,51.380980235646],[-2.361348743864794,51.38097793066305]]}","(51.38089364519061, -2.360894456127437)",35,20,10,7,1
High Street                   ,Midsomer Norton     ,366510.83441477088,154233.90633782296,"{""type"":""MultiLineString"",""coordinates"":[[[-2.482622558404401,51.285481132165863],[-2.482611123936991,51.285484325571566],[-2.482629249106322,51.285499083156331],[-2.482622963747517,51.285519784446159],[-2.48260305032574,51.285526159068837],[-2.482601711792103,51.285533805485976],[-2.482466510496022,51.28557238763841],[-2.482309271250308,51.28561771253424],[-2.48230831228891,51.285616457985576],[-2.482304310653749,51.285618182442278],[-2.482223037274041,51.285647103299219],[-2.482145768263454,51.285674569315781],[-2.482122927415072,51.285683652704023],[-2.482014341199229,51.285723652864917],[-2.481992214338972,51.285733182751343],[-2.481942919407758,51.28575630845247],[-2.481875144515025,51.285787241014958],[-2.4817260911139,51.285857971110381],[-2.481548455000144,51.285942752026827],[-2.481459989014311,51.28598491620253]],[[-2.481402994285969,51.286017961569776],[-2.481338482812129,51.286044475643131],[-2.481256884422689,51.286076363627778],[-2.48122156045827,51.286090172602066],[-2.481230998757083,51.286099572546725],[-2.481191081932534,51.286115108362431],[-2.481179755832295,51.286106075747966],[-2.48100155779766,51.286205151109101]],[[-2.480934509077096,51.286260441112859],[-2.480891499549849,51.286285518181707],[-2.480916266600579,51.286302316273691],[-2.480866554919587,51.286330926696813],[-2.480787227401278,51.286376558633272],[-2.480795336204188,51.28639450389911],[-2.480748957054186,51.286413931505713],[-2.48067750230925,51.286443619984652],[-2.480638506111635,51.286411508596714],[-2.480601139103246,51.286433506026107],[-2.48055542792012,51.286460302029731],[-2.480491618110464,51.286486183501509],[-2.48033165555907,51.286554259808945],[-2.480287390951255,51.286572420052551]],[[-2.482165590784559,51.286268859522899],[-2.482547764387064,51.286545143308253],[-2.482530248922438,51.286554744173685],[-2.482607923900477,51.286610966520435]],[[-2.48136995670268,51.286363376081603],[-2.481473433835193,51.286309464145965],[-2.481490717296599,51.286322876974211],[-2.481577727595936,51.286277123052834],[-2.481661577728442,51.286336107296933],[-2.481666594858239,51.286341030757384],[-2.481692221737039,51.286326991883492],[-2.481749278901837,51.286367658295291],[-2.481755823540469,51.286371676535111],[-2.481793561554416,51.286351295280902],[-2.481853602663884,51.286394646144487],[-2.481888270221599,51.286419763306846]],[[-2.483298911310707,51.285771931263469],[-2.483182598132208,51.285762792996692],[-2.483133849168702,51.285759038966113],[-2.483067939162534,51.2857535578935],[-2.48293576547413,51.285742686989416],[-2.482828297994088,51.285742770837913],[-2.482765900403386,51.285745275573206],[-2.482697837581814,51.285748702570793],[-2.482671365299527,51.285749710682161],[-2.482645488839229,51.285751165794849],[-2.482629070131663,51.28575258189916],[-2.482608286637898,51.285754914929591],[-2.482587512567987,51.285758146846533],[-2.482572526658031,51.285760905428262],[-2.482555308667052,51.285765021605208],[-2.482522428411062,51.285775045395383],[-2.48251311714749,51.285777780572687],[-2.482478109819111,51.285787903013023],[-2.482451736454251,51.285798349422045]],[[-2.480639784942182,51.286873552789991],[-2.48058451120951,51.286901736467641],[-2.480567105913795,51.286910617442551],[-2.480505599016491,51.28694197292851]],[[-2.480382289409928,51.287010348268403],[-2.480348111061611,51.287032062846734]],[[-2.480147545668753,51.286630974792544],[-2.480206626712905,51.286661745431573],[-2.480294699044346,51.286717567073424],[-2.480258578596483,51.286745761885008],[-2.480052871545374,51.286905626365055],[-2.480046096154716,51.286902148334306],[-2.480027896934859,51.286914268629211],[-2.479980793429843,51.28694367700956],[-2.479969250599374,51.286936532918723],[-2.479930839443717,51.286960512056744]],[[-2.480280981592161,51.287057148789117],[-2.480215358927166,51.287090678440713],[-2.480224775652858,51.287098011017143],[-2.480164802389606,51.287129090350696],[-2.480130699872889,51.287146759374167],[-2.48010829997496,51.287130221085974],[-2.480082544562393,51.287143361208372]],[[-2.482302926669208,51.286309644358546],[-2.482348427168851,51.286341818279816],[-2.482343485337575,51.286344085969958],[-2.482363615850159,51.286358385864602],[-2.482368671194482,51.286355668241249],[-2.482430375517949,51.286399731097795],[-2.482494701614824,51.286445760756465],[-2.482558313784574,51.286491343858891],[-2.482573798821514,51.286502336834644],[-2.482568861697177,51.28650505397929],[-2.482618656345378,51.286540805804378]]]}","(51.28623090886914, -2.4816182181391473)",11,11,291,25,1
Dorchester Street             ,Bath                ,375102.18795692013,164400.78628899745,"{""type"":""LineString"",""coordinates"":[[-2.358624803894644,51.378095045491129],[-2.358787907130445,51.378092208679966],[-2.35906081149378,51.378087416961762],[-2.359122086647737,51.378121387701313],[-2.359506445163449,51.378113915904557],[-2.359506579047149,51.378130994817369],[-2.359568565358411,51.378164963140264]]}","(51.37810720516292, -2.3591076544743754)",35,21,13,7,1
Southgate Street              ,Bath                ,375069.08544982813,164506.43638798755,"{""type"":""MultiLineString"",""coordinates"":[[[-2.359568565358411,51.378164963140264],[-2.359591409341528,51.378600595513646],[-2.359578500418242,51.378601084610558],[-2.359544263824296,51.37863130328045],[-2.359557071599297,51.378708570359926],[-2.359559096562581,51.37875530754998],[-2.359561247041304,51.378802943265882],[-2.359563537131651,51.378853275287682],[-2.359565810312398,51.378901449972965],[-2.359567845865955,51.378949535496282],[-2.35957012539968,51.378998519181657],[-2.359572537498591,51.379049300282801],[-2.359574817042827,51.379098283967231],[-2.359576981652021,51.379147717459944],[-2.359581063545447,51.379199931690692],[-2.359583169612752,51.379257006110912],[-2.359586648472208,51.379353178969467],[-2.359591894304827,51.379493393067513],[-2.359516935255205,51.379542703804027],[-2.359473817426414,51.379543285633162],[-2.359236075260409,51.379546262504405],[-2.359014813808897,51.379550986188711],[-2.358807883093827,51.379555216088491]],[[-2.359834515406186,51.379644204250688],[-2.359799056097376,51.379609255658501],[-2.359799338109256,51.379569702683192],[-2.359800023418238,51.379490955923757],[-2.359800119296363,51.379472977397555],[-2.359801802300855,51.379325101269274],[-2.359802652615667,51.379252286816161],[-2.359804866414617,51.378975774794462],[-2.359811818931407,51.378850265362502],[-2.359821476340541,51.378737332379465],[-2.359826902972197,51.378674032320504],[-2.359829605024793,51.378656045783231],[-2.359829576812904,51.378652450223107],[-2.359830277011133,51.378651099703909],[-2.35983027348464,51.378650650258876],[-2.359830977209304,51.378649749184689],[-2.359830966629807,51.378648400849634],[-2.359831788817373,51.378647499411407],[-2.359832489015461,51.37864614889218],[-2.359833192740012,51.378645247817957],[-2.359833892938026,51.378643897298723],[-2.359834596662517,51.378642996224514],[-2.359836011164538,51.378642092966075],[-2.359836711362405,51.378640742446834],[-2.359837415086806,51.378639841372575],[-2.359838815482363,51.378637140334071],[-2.359840226457519,51.378635787630593],[-2.359840926655181,51.378634437111316],[-2.359842341156802,51.378633533852806],[-2.359843163343879,51.378632632414515],[-2.359844574318768,51.378631279710952],[-2.359850939574864,51.378627215047395],[-2.359852350549374,51.378625862343767],[-2.359855298014455,51.378624055462424],[-2.359856716042218,51.378623601648776],[-2.35986096659857,51.378621790762708],[-2.359862384626208,51.378621336948981],[-2.359864509904209,51.378620431505858],[-2.359866046394635,51.378619977328057],[-2.359869593226855,51.378619067516077],[-2.359873850836106,51.378618155519568],[-2.35987751965784,51.378617694788289],[-2.359881066489655,51.378616784975982],[-2.359882488043938,51.378616780607032],[-2.359886034875599,51.378615870794555],[-2.359889703697025,51.378615410062906],[-2.359893254055526,51.378614949695248],[-2.359897515191053,51.378614487142897],[-2.359901187539433,51.378614475855912],[-2.359905448674849,51.378614013303277],[-2.359914807239972,51.378613984538795],[-2.359915521544398,51.378614431799136],[-2.359917653875713,51.378614425245075],[-2.359919078957276,51.378614870320725],[-2.35992132975146,51.37861486340249],[-2.359922754833071,51.378615308478054],[-2.35992489069184,51.378615751368883],[-2.359926315773513,51.37861619644444],[-2.359927740855215,51.378616641519955],[-2.359929876714091,51.378617084410706],[-2.359931301795856,51.378617529486178]]]}","(51.37909405016659, -2.3595672752383696)",35,21,13,7,1
Lower Borough Walls           ,Bath                ,375037.45265190274,164582.82188881628,"{""type"":""MultiLineString"",""coordinates"":[[[-2.359834515406186,51.379644204250688],[-2.359981184251495,51.379659933864033],[-2.359979147129719,51.379672075432488],[-2.359989319021191,51.379685078379531],[-2.360049583537234,51.379695590143413],[-2.360126575034501,51.37970901684313],[-2.360205108042904,51.379722618532789],[-2.360350786650909,51.37974796908339]],[[-2.360210389395869,51.379836943835016],[-2.360054720625771,51.379806679814791],[-2.35996521323055,51.379798595121038],[-2.359825560235505,51.379786259792979]]]}","(51.379742629240994, -2.3600596040584385)",35,20,12,7,1
