Street,Area,Easting,Northing,Geometry,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
Stall Street                  ,Bath                ,375054.04360994184,164651.5205990606,"{""type"":""MultiLineString"",""coordinates"":[[[-2.358491233353525,51.379754216138174],[-2.358735691150034,51.379685779447279],[-2.358864782397184,51.379665607844942],[-2.359525832191598,51.379680209955922],[-2.359595299412703,51.379731234608393],[-2.359626608681054,51.37982615340583],[-2.359637614033228,51.379824591456632],[-2.359668213385433,51.379904500599679],[-2.359731591349516,51.380070244979954],[-2.359718708096612,51.380089161698315]],[[-2.36027762065863,51.381488127152345],[-2.36028289743877,51.38148118930048],[-2.360291439825773,51.381467679348461],[-2.360294230139982,51.381460928928618],[-2.360297710085882,51.38145147965291],[-2.360300468615135,51.381440684229872],[-2.360301916908947,51.381428993926889],[-2.360301853342648,51.381420903920848],[-2.360301061298702,51.381410568877996],[-2.360300207288153,51.381407425316141],[-2.360297174202238,51.381398355644393],[-2.360284804224482,51.381361987796524],[-2.360273323233967,51.381363371486792],[-2.3602718627519,51.381358431967996]],[[-2.36005043815866,51.380423076589764],[-2.360036906141334,51.380434804045287],[-2.360065150548178,51.380501326537861],[-2.360085186758018,51.380548457777138],[-2.360109093750046,51.380605734808078],[-2.360137835536942,51.380675222159475],[-2.360181776248373,51.380779270842815],[-2.360200522504248,51.380782808825934],[-2.36021060997445,51.380785025074687],[-2.36023434956374,51.3807907949707],[-2.360248716025676,51.380794795875353],[-2.360267487010321,51.380801479961526],[-2.360284007098758,51.380808170970134],[-2.360303510093557,51.380817549532523],[-2.360307911086489,51.380819783269487],[-2.360339557924282,51.380836765206112],[-2.360366340507794,51.380852863192317]],[[-2.359543494105848,51.380180130306613],[-2.359742149689331,51.38014760882244],[-2.359765310660118,51.380155178414213],[-2.35982897627986,51.380297100698215],[-2.359867197701096,51.380382020265806],[-2.359881186825801,51.380413439174184],[-2.359897586238877,51.380450064359174],[-2.359921100149124,51.380502578406691],[-2.359971620859342,51.380614876931368],[-2.359987415374956,51.380649885921656],[-2.36000140466449,51.380681304813905],[-2.359985085773885,51.380700232121747],[-2.359894927266083,51.380715071615796],[-2.359779093517199,51.38073412492092]],[[-2.360401514285628,51.38094174716808],[-2.360398062657991,51.380954792006051],[-2.360393813536702,51.380971884399457],[-2.360390393695102,51.380988974240431],[-2.360386892609457,51.380995726850664],[-2.360379740176527,51.381005187432095],[-2.360376925177275,51.38100879174079],[-2.360367643829413,51.381018708328924],[-2.360356233566118,51.381029080923398],[-2.360347631237567,51.381034950319211],[-2.360357184553408,51.381059640982834],[-2.360348557496177,51.381062364265055],[-2.36037130723846,51.381123060662425],[-2.360378547995702,51.381124836201622],[-2.360447470987642,51.381302159055657],[-2.360492903195224,51.381414922461197],[-2.36048781958194,51.381416286477943],[-2.360511987088654,51.381476439133387]],[[-2.359825560235505,51.379786259792979],[-2.359789130591139,51.379808844518379],[-2.359823588823254,51.379897371315309],[-2.359850030198093,51.379960663324091],[-2.359871759043905,51.38001219406852],[-2.359944247916228,51.380191483894663],[-2.359965622282786,51.38024310560062],[-2.359997156113154,51.38032121395748],[-2.360006687919455,51.380343207984062],[-2.360016124464677,51.380353066998111]]]}","(51.38031477969929, -2.359767853676668)",35,20,12,7,1
Abbeygate Street              ,Bath                ,375095.13855274249,164631.44094265241,"{""type"":""MultiLineString"",""coordinates"":[[[-2.359718708096612,51.380089161698315],[-2.359388670896556,51.380136918481163],[-2.35935847947593,51.380139258416818],[-2.359224937653633,51.38015099444555],[-2.358917857453108,51.380195533283008],[-2.358820938528372,51.380209313980146]],[[-2.359423656227534,51.380202072074496],[-2.359414307905896,51.380203449135131],[-2.359366855487386,51.380210336608556],[-2.359230652094033,51.380230171014624],[-2.359147344232124,51.380242292184775],[-2.359064983358851,51.380254320500676],[-2.358986763865755,51.380265706824531],[-2.358944281309078,51.380271859761365],[-2.358917772811347,51.380275536661053]]]}","(51.38018136821397, -2.3592340566176944)",35,20,12,7,1
Abbey Green                   ,Bath                ,375121.11469796556,164662.637075782,"{""type"":""MultiLineString"",""coordinates"":[[[-2.358776401975755,51.380210349354925],[-2.358807482092193,51.380306437648862],[-2.358824966913339,51.380360768212867],[-2.358706979397497,51.380377040434254],[-2.358685465435352,51.380383129042244],[-2.358691051354287,51.380430844127936],[-2.358695686028029,51.380478112671092],[-2.358696962111016,51.38048979461044],[-2.35870081989557,51.380528615765598]],[[-2.358704343014359,51.380554943077243],[-2.358709349994613,51.380604367865736],[-2.358713725971354,51.380648850574033]],[[-2.358803032029756,51.380676443217901],[-2.358886861075111,51.380670253512193],[-2.359039956665682,51.380659087156872]],[[-2.359128354812042,51.380570722767594],[-2.359111322182518,51.380574190866682],[-2.359072407472744,51.380582130730446],[-2.359008124230394,51.380466997498146],[-2.358973060926231,51.380406967818281],[-2.358968259601397,51.38039898222528],[-2.358943566824356,51.380362202550486],[-2.358950782779936,51.380360832064],[-2.358944857561906,51.380345478841427],[-2.358923578840423,51.380290800359354],[-2.358917772811347,51.380275536661053]]]}","(51.3804749262426, -2.3588692907969393)",35,20,12,7,1
Church Street                 ,Bath                ,375126.98313504795,164700.01452116598,"{""type"":""MultiLineString"",""coordinates"":[[[-2.358761200268693,51.38093240155851],[-2.358746165822053,51.380843005940747],[-2.358735732056366,51.380781372586519],[-2.358719829758051,51.380687035609299]],[[-2.358803032029756,51.380676443217901],[-2.358822597169334,51.380769510484427],[-2.358829488139286,51.380802299633039],[-2.358831001202837,51.380813980844124],[-2.358843458919903,51.380876866463275],[-2.358847903168032,51.380899775083321]]]}","(51.380799348529315, -2.3587813308900443)",35,20,12,7,1
Abbey Street                  ,Bath                ,375105.75342714827,164695.37582448524,"{""type"":""LineString"",""coordinates"":[[-2.359039956665682,51.380659087156872],[-2.359073688727189,51.380730626962148],[-2.359095495416286,51.380777033809657],[-2.359131998189468,51.380854408024035]]}","(51.38075675031647, -2.3590859716459054)",35,20,12,7,1
York Street                   ,Bath                ,375152.14387100597,164722.19989150169,"{""type"":""MultiLineString"",""coordinates"":[[[-2.358532093891632,51.381025601231414],[-2.358468157823706,51.381030561202131],[-2.358385632627843,51.381036926398941],[-2.358302268994052,51.381042125518398],[-2.35824128547725,51.381045907746241],[-2.358166567952909,51.381050810644389],[-2.358076101733055,51.381056750456082],[-2.357980423546553,51.38106279602254],[-2.357900020847109,51.381067895912743],[-2.357829090757404,51.381072337564028]],[[-2.359131998189468,51.380854408024035],[-2.358981892994142,51.380884442469466],[-2.358871649681592,51.380906444145296],[-2.358847903168032,51.380899775083321]]]}","(51.38100093224202, -2.3584166641567768)",35,20,12,7,1
North Parade Passage          ,Bath                ,375155.33505056554,164688.29623341636,"{""type"":""MultiLineString"",""coordinates"":[[[-2.358719829758051,51.380687035609299],[-2.358632206863443,51.380692877250176],[-2.358569805734147,51.380697113447091],[-2.358475670559785,51.380703424367674],[-2.358307766143768,51.380714635299455],[-2.35823091884307,51.380719814429739],[-2.358148980195174,51.38072536864621],[-2.357898307629227,51.380742135686667]],[[-2.358713725971354,51.380648850574033],[-2.358621829860214,51.380653626603859],[-2.358540710816649,51.380657920108497],[-2.358463138775568,51.380661303787562],[-2.358328830306148,51.380666119521472],[-2.358269847906594,51.380668187709844]]]}","(51.38069525150675, -2.35837312394017)",35,20,12,7,1
Terrace Walk                  ,Bath                ,375201.11994878383,164749.52990045026,"{""type"":""LineString"",""coordinates"":[[-2.357829090757404,51.381072337564028],[-2.357802525791906,51.381114397894898],[-2.35777678164789,51.381155377017954],[-2.35775244085895,51.381194014678321],[-2.357715704930985,51.381253544940051],[-2.357687275793079,51.381299656038593],[-2.357658493992897,51.38134612777143],[-2.357619054041236,51.381408362993682],[-2.357618364251747,51.381411061834001],[-2.357617671658027,51.381413401118373],[-2.357617703204562,51.381417446122569],[-2.357618428045977,51.381419241731408],[-2.357620599065339,51.381424179112955]]}","(51.38124740117978, -2.3577197860105445)",35,20,12,7,1
Westgate Street               ,Bath                ,374949.90212246636,164776.14112458343,"{""type"":""MultiLineString"",""coordinates"":[[[-2.362387357805406,51.38140907506245],[-2.362311906598721,51.381411106357433],[-2.362309066868913,51.381411564599276],[-2.362059969138329,51.38143301000401],[-2.361959451882187,51.381441410949712],[-2.361878353051803,51.381448403434504],[-2.361817972289106,51.381453534027429],[-2.361724670987317,51.381460564108494],[-2.36163989951051,51.381467567772951],[-2.361555950211503,51.381473669926223]],[[-2.361480601606474,51.381488734582966],[-2.361454782177412,51.381489713194206],[-2.361453279051227,51.381479380353873],[-2.361396326751755,51.381483601235423],[-2.361252940729776,51.381494381147235],[-2.361249982513834,51.381494839728909],[-2.361148036247514,51.381502345475326],[-2.361057578028622,51.381509366256623],[-2.360996601201966,51.381514048808278],[-2.360973702872743,51.381524906332494]],[[-2.360511987088654,51.381476439133387],[-2.360565141347636,51.381471331465093],[-2.360875278638109,51.381438015298407]],[[-2.360913367892975,51.381535879241262],[-2.360896101255592,51.381524696066201],[-2.360751077614582,51.381538177144478],[-2.360644058149657,51.381548394814949],[-2.3606432837004,51.381540306998552],[-2.360528441624461,51.381550099199465]]]}","(51.381475703073356, -2.361334165985369)",35,20,10,7,1
Abbey Churchyard              ,Bath                ,375061.89003729436,164773.29519750425,"{""type"":""LineString"",""coordinates"":[[-2.3602718627519,51.381358431967996],[-2.360207266433186,51.381369867079684],[-2.360185295384396,51.381317797806524],[-2.36013713958424,51.381325766446494],[-2.360050885875478,51.381340144592826],[-2.359926888184486,51.381360751291197],[-2.359879679348114,51.381368627023399],[-2.359871101585652,51.381377642497789],[-2.359889585173418,51.381423160494833],[-2.359854530800315,51.381455089683421],[-2.359659963223697,51.381480856954333],[-2.359643524058597,51.381484503089418],[-2.359537964874465,51.381499659276741],[-2.35953941682453,51.381503520137166],[-2.359502149416019,51.381510106716874],[-2.359499249750311,51.381502924328849],[-2.359429687848104,51.381515722622396],[-2.359430465605994,51.381524259892082],[-2.359419112178448,51.381526811691657],[-2.359317049743823,51.381549777474824],[-2.359299192402886,51.381553877368731],[-2.359291272490843,51.381556148947354],[-2.35928124123866,51.38156112373715],[-2.359211102154142,51.381591002985161],[-2.359233797138987,51.381644868039068],[-2.359251878627995,51.381654251136091]]}","(51.38145391663015, -2.359724300785171)",35,20,11,7,1
Cheap Street                  ,Bath                ,375056.03025013453,164791.20865276878,"{""type"":""MultiLineString"",""coordinates"":[[[-2.359251878627995,51.381654251136091],[-2.359343949513445,51.381641293986569],[-2.359460635462336,51.381624845343872],[-2.359578379808619,51.38160740453246],[-2.359682987937141,51.381591801774888],[-2.359784993169549,51.381576656376758],[-2.359891494567702,51.381560777942433],[-2.359951490644911,51.381551874097802],[-2.360104377965244,51.381528931259055],[-2.360235724720141,51.38150875122178],[-2.360241400702754,51.381507385393661],[-2.360249317028081,51.381504664306135],[-2.360261484158975,51.381500132317875],[-2.360265731434018,51.381497871972748],[-2.360270797407152,51.381494260741718],[-2.36027762065863,51.381488127152345]],[[-2.359386502345668,51.381734650165342],[-2.359482223400764,51.38171880518891],[-2.359615570880591,51.381696821883864],[-2.359638643783822,51.381693065488399],[-2.359695083139778,51.381683813134387],[-2.359767140865123,51.38167199581833],[-2.359853521517385,51.381658606294693],[-2.359941203885183,51.381645032923871],[-2.360009009245441,51.381634846569924]],[[-2.360087926224806,51.381636581528227],[-2.360109341757554,51.381617908209591],[-2.360307435522463,51.381588533698739],[-2.360336308623158,51.381599231790247]]]}","(51.381616543327716, -2.359804003790046)",35,20,11,7,1
Union Street                  ,Bath                ,375005.38215324574,164840.17261435583,"{""type"":""MultiLineString"",""coordinates"":[[[-2.360528441624461,51.381550099199465],[-2.360507024880751,51.381568592816606],[-2.360518106049224,51.381606762430408],[-2.360528543552752,51.381653473681652],[-2.360543545431482,51.3817231830064],[-2.360557315996905,51.381786963305522],[-2.360572439262528,51.381857031815812],[-2.360594046553111,51.381953148782252],[-2.360609998107893,51.382038136661244],[-2.360627623586654,51.382109995278405],[-2.360644778767873,51.38218230479611],[-2.360667136086928,51.382283363445588],[-2.360716226529181,51.382409149691661],[-2.360763909003943,51.382536648183589]],[[-2.360481553782132,51.382261911562814],[-2.360482246949027,51.38225966215105],[-2.3604822222157,51.382256516038105],[-2.36048147251565,51.382251574334553],[-2.360480008449144,51.382246185374484],[-2.360460767643553,51.382179815067516],[-2.360458577910624,51.382172540627394],[-2.360454256388833,51.38216536264035]],[[-2.360578843479949,51.382565983341166],[-2.360586602616102,51.382558318704369],[-2.360587928863432,51.3825461793203],[-2.360570678333517,51.382506950022055],[-2.360544135091324,51.382446085574422],[-2.360516586186883,51.382377853144938],[-2.360494233440853,51.382322549032722]],[[-2.360445162779564,51.382108759226853],[-2.360442414375037,51.382090699571677],[-2.360425093965672,51.382027469535331],[-2.360412381981746,51.381962697162983],[-2.360387102026995,51.381836388049329],[-2.360374282276613,51.381772964369375],[-2.360336308623158,51.381599231790247]]]}","(51.38205631500743, -2.360539002015574)",35,20,10,7,1
Northumberland Place          ,Bath                ,375048.54351021128,164870.61366135551,"{""type"":""MultiLineString"",""coordinates"":[[[-2.360230919017346,51.382359855141019],[-2.360206296348616,51.382347346127723],[-2.360110823762811,51.382349707261447],[-2.360003742979173,51.382352373678437],[-2.359936224943901,51.382354019487927],[-2.35986302445589,51.38235622206809],[-2.359797641030776,51.382358130911143],[-2.359718755258347,51.382360530651567],[-2.359638184071362,51.382359519652816],[-2.359552658892073,51.382361310434291],[-2.359489403018469,51.382362583334981],[-2.359489667447799,51.382366088276612],[-2.359404026595614,51.382368238869141],[-2.359402638851057,51.382357456194853],[-2.359399357064899,51.382331757408856],[-2.359521463400084,51.382326438571454],[-2.359665128161919,51.382320603938268],[-2.359721862347932,51.382318631847888],[-2.359789493169357,51.382316266686416],[-2.359864112444406,51.382313700227549],[-2.359940269029556,51.382310769431371],[-2.360018558107643,51.382307832029525],[-2.360190893057696,51.382301908603509],[-2.360195158062886,51.38230189548468],[-2.360202377816025,51.382300974365776],[-2.360207461535719,51.382299610361414],[-2.360208879673377,51.382299156543567]],[[-2.360494233440853,51.382322549032722],[-2.360474715632978,51.382311372727038],[-2.360349699211124,51.382323263564466],[-2.36030897436453,51.382327164305153],[-2.360288261649332,51.382344846693051]],[[-2.36027332351346,51.3822832273476],[-2.360289959078165,51.382289468543405],[-2.360291384277624,51.382289913614009],[-2.360297189421989,51.382289895752812],[-2.36044862367685,51.382277743875129],[-2.360450752645235,51.382277287866351],[-2.36045442175345,51.38227682711674],[-2.360457968856198,51.382275917287011],[-2.360462223259432,51.382274555824338],[-2.360473679739243,51.382270026002388],[-2.360478042013858,51.382267315840338],[-2.360480857081863,51.382263711529838],[-2.360481553782132,51.382261911562814]]]}","(51.382329816231234, -2.3599208814629256)",35,20,11,7,1
Union Passage                 ,Bath                ,375029.6945037421,164847.6174028276,"{""type"":""MultiLineString"",""coordinates"":[[[-2.360167477719397,51.382141435090197],[-2.360158202736005,51.382106945427608],[-2.360145654192519,51.382062937373462],[-2.360127507019301,51.381999979509366],[-2.360091238941471,51.381877389661611],[-2.360083556429846,51.381849547037781],[-2.360063921426682,51.381778143971232],[-2.360038744268398,51.381679880494509],[-2.360027697356974,51.381646025504942],[-2.360023390067528,51.38164064528025],[-2.360009009245441,51.381634846569924]],[[-2.360230919017346,51.382359855141019],[-2.360236874049756,51.382393995445192],[-2.36025598114591,51.382443376777168],[-2.360246397566467,51.382445024300281],[-2.360267276137317,51.3824936810514],[-2.36028863500127,51.382543145340705],[-2.360310354981567,51.382593327643505],[-2.360294500773059,51.382596073157856],[-2.360299691176599,51.382608282379117],[-2.360300715950709,51.382618077357151],[-2.360306935181698,51.382625519183641],[-2.36031285832797,51.38264051277411]],[[-2.360087926224806,51.381636581528227],[-2.360125890368729,51.381794133812825],[-2.36012598214314,51.381805819376581],[-2.360140113080989,51.381855216035412],[-2.360176165510215,51.38198050326551],[-2.360196347944238,51.382046151595553],[-2.360214218742985,51.382104076396153],[-2.360224553659936,51.38213775377374]],[[-2.360207461535719,51.382299610361414],[-2.360214520447306,51.382293296269566],[-2.360194326579195,51.382226209722567],[-2.36018434849259,51.3821927110275]],[[-2.360358624610826,51.382614752978625],[-2.360359268338576,51.382606211342114],[-2.360351279068965,51.382599673876385],[-2.36031045483783,51.382515571524529],[-2.360301007517069,51.382474250680957],[-2.360291065133807,51.382430234626092],[-2.360309776756464,51.382429278142375],[-2.360298040334632,51.38238311022112],[-2.360288261649332,51.382344846693051]],[[-2.360237659350878,51.382177265549167],[-2.360270448396505,51.382279191092955],[-2.360270458990288,51.382280539427093]]]}","(51.38212683143362, -2.3601906782386557)",35,20,11,7,1
The Corridor                  ,Bath                ,375053.97213422728,164854.51582137172,"{""type"":""MultiLineString"",""coordinates"":[[[-2.36018434849259,51.3821927110275],[-2.360133223485655,51.382184778068726],[-2.360077093138083,51.382188186759628],[-2.359969450712173,51.382194720190789],[-2.359775596527171,51.382206102875507],[-2.359682279272794,51.382211333554181],[-2.359604711743749,51.382215616882519],[-2.359494115836613,51.382223237640098],[-2.359376878404384,51.382229979764865],[-2.359280838306628,51.382235488153341],[-2.359254998532612,51.382249051097681]],[[-2.359244972693139,51.382194248275788],[-2.359279191261209,51.382206728049972],[-2.359487486487439,51.382193683814805],[-2.359600341753188,51.382187134818579],[-2.359683356129144,51.382182475198306],[-2.359714737828095,51.382180670871627],[-2.359773949878122,51.38217743266852],[-2.359819187861683,51.382174956503867],[-2.359847133155436,51.382173072809692],[-2.3600109051733,51.382163040969687],[-2.360072015554382,51.382160156344206],[-2.360140942255219,51.382156888083678],[-2.360168067254973,51.382141073712496]],[[-2.360452820592566,51.382163569237576],[-2.360449123229415,51.382160434429395],[-2.360441279347139,51.382157312384344],[-2.360434742190565,51.382154635772253],[-2.360426783371043,51.382151963535613],[-2.360413859327683,51.38215065494731],[-2.360404500041816,51.382150683753046],[-2.360254505513653,51.382165078423114],[-2.360237659350878,51.382177265549167]],[[-2.360224553659936,51.38213775377374],[-2.360244997922814,51.382146230537614],[-2.360300880667675,51.382141474161273],[-2.360409449499836,51.382132240840569],[-2.360415129086923,51.382131324448771],[-2.360417254516177,51.382130418995871],[-2.360420205716074,51.382129061545733],[-2.360422331145124,51.38212815609274],[-2.360430930135498,51.382121837247411],[-2.360436584990801,51.382117774741538],[-2.360440110884214,51.382114168244009],[-2.360445162779564,51.382108759226853],[-2.360445841814141,51.38210471203638]]]}","(51.382185803399, -2.3598367999496324)",35,20,11,7,1
High Street                   ,Bath                ,375093.05541591864,164860.02123844164,"{""type"":""MultiLineString"",""coordinates"":[[[-2.359254998532612,51.382249051097681],[-2.359259261815273,51.38227906165028],[-2.359268731951681,51.38233854051299],[-2.359271618806906,51.382359206611902],[-2.35928314864623,51.382439623782361],[-2.359295584761525,51.382439136170213],[-2.35930565101352,51.382559559371977],[-2.359320707655948,51.382560861538693],[-2.359347833835937,51.382635837375695],[-2.359383231883302,51.382738294498282],[-2.359386845973702,51.382745924150662],[-2.359415513043274,51.382745386711463],[-2.359417190594615,51.38276291032841]],[[-2.359386502345668,51.381734650165342],[-2.359292241613313,51.381755434594517],[-2.359272985075582,51.381762415293196],[-2.359251760300781,51.381775244949942],[-2.359236722768985,51.381791471484519],[-2.359228229305192,51.381811273586862],[-2.35921326942684,51.381943279642307],[-2.35921907593641,51.381943441612535],[-2.359220488135817,51.382032968834146],[-2.35924009453248,51.382161363092884],[-2.359244972693139,51.382194248275788]]]}","(51.38222417713208, -2.3592830942815097)",35,20,11,7,1
New Bond Street Place         ,Bath                ,375013.78591082344,164928.15237678363,"{""type"":""MultiLineString"",""coordinates"":[[[-2.36039870921192,51.382695172053303],[-2.360419218735461,51.382757133795515],[-2.360437061833101,51.382811462996614],[-2.360475389916647,51.382924607812079],[-2.360494446863013,51.382982618801734]],[[-2.360451396478808,51.382992189889571],[-2.360433474387788,51.382942894837306],[-2.360420398688515,51.382907248313821],[-2.36040526232344,51.382865675317767],[-2.360390487059127,51.382824820337035],[-2.360349801103632,51.382713121005729]]]}","(51.382845717556826, -2.360423786369447)",35,20,11,7,1
Upper Borough Walls           ,Bath                ,375034.93211749068,164911.9281409689,"{""type"":""MultiLineString"",""coordinates"":[[[-2.359449360756041,51.382937200328939],[-2.359439072026238,51.382909365668056],[-2.359398955155398,51.382915331720639],[-2.359376927912954,51.382856071193956],[-2.359376899732301,51.382852475636241],[-2.359377600007318,51.38285112512056],[-2.359379721967802,51.382849770241769],[-2.359381133085427,51.382848417544494],[-2.35938254772562,51.382847514291925],[-2.359386924210313,51.382846601949389],[-2.35940195628944,51.382844757992423],[-2.359543323758963,51.382832817966438],[-2.359633741817194,51.382820315124668],[-2.359701317675797,51.382810848786477],[-2.359775994873038,51.382800461680631],[-2.359780796591641,51.382808447236442],[-2.359915178780295,51.38278205575461],[-2.359986157089398,51.382768353912297],[-2.360056070505772,51.382754835083432],[-2.360099957830547,51.382746250368776],[-2.360169512934712,51.382732373009496],[-2.360183946928364,51.382729811662777],[-2.360259062464741,51.382714928344953],[-2.36032187649754,51.382702599782469],[-2.360349801103632,51.382713121005729]],[[-2.360359268338576,51.382606211342114],[-2.360378835697298,51.382623679891857],[-2.360415387390731,51.382616376109418],[-2.360452649911419,51.382609070127529],[-2.360446739442515,51.382595694544996],[-2.360541485158747,51.382576166173827],[-2.360562303197927,51.382571877193271],[-2.360578843479949,51.382565983341166]],[[-2.36039870921192,51.382695172053303],[-2.360420168916234,51.382682071794541],[-2.360465238715986,51.382673213630035],[-2.360554668130204,51.382655589326667],[-2.360620321117758,51.382642712516073],[-2.360644022835757,51.382643538433918],[-2.360672818904095,51.382644348656434],[-2.360686446862543,51.382644756136976],[-2.360703765169584,51.382647399526469],[-2.360713145770315,51.382650067364644],[-2.360718135789946,51.382651849815737]],[[-2.359417190594615,51.38276291032841],[-2.359424299008605,51.382762888510406],[-2.359671346726475,51.382750893585381],[-2.359685541691661,51.382748063360914],[-2.359812853441519,51.382726547833052],[-2.359894848313747,51.38271263241289],[-2.359977080082761,51.38269871620701],[-2.360062621997062,51.382683890854267],[-2.36014354975064,51.382669888649886],[-2.36031285832797,51.38264051277411]],[[-2.360764633986273,51.38253844377234],[-2.36090740091913,51.382508789237846],[-2.360910997556627,51.382514171619739],[-2.361036617607805,51.382488614873878],[-2.361035042073163,51.382484125175687],[-2.361177101364461,51.382454921949297]]]}","(51.382698721529934, -2.360124825104431)",35,20,11,7,1
New Bond Street               ,Bath                ,375033.37447609485,164953.00234230186,"{""type"":""MultiLineString"",""coordinates"":[[[-2.360882695627616,51.383118057423616],[-2.360796416157539,51.383099446154944],[-2.360614808304551,51.383101713488429],[-2.360524796717881,51.38310567617998],[-2.360432907895527,51.383111981749131],[-2.360353926407074,51.383117438507547],[-2.360249125936578,51.383124053337816],[-2.360078833739305,51.383134015663508],[-2.359880003211838,51.383145863272034],[-2.359632985150901,51.383161903642318],[-2.35962308753699,51.383183957358398],[-2.359595001995113,51.383183144695778],[-2.359591458329807,51.383184503944108],[-2.359588625512221,51.383185861009494],[-2.35958638859245,51.38318766570049],[-2.359584266622511,51.383189020582968],[-2.359582855500462,51.383190373282595],[-2.359580740579536,51.383192627054378],[-2.35957933298188,51.383194429198639],[-2.359577928908706,51.383196680787577],[-2.359576542458298,51.383201179599894],[-2.359576560081201,51.383203426823286],[-2.359578017023576,51.383207916904553],[-2.359581613560553,51.383213299326783],[-2.359585192475039,51.383216434525522],[-2.359589604237935,51.38322001662219],[-2.359597448244574,51.383223138723451],[-2.359587522402957,51.383241596878932]],[[-2.360494446863013,51.382982618801734],[-2.360524659439931,51.382997807277036],[-2.360590154442389,51.382994908883781],[-2.360666190099788,51.382991528534241],[-2.360758097743119,51.382987649783637],[-2.360861587537016,51.382980139625552],[-2.360881510615985,51.382967493473743]],[[-2.359449360756041,51.382937200328939],[-2.359453800668167,51.382944377988608],[-2.359448713331259,51.382945292515615],[-2.359469224589557,51.382992512273894],[-2.359473521371181,51.382996544183499],[-2.359482933685102,51.383003257122269],[-2.359485913158107,51.383005495253286],[-2.359491628109117,51.383009073353122],[-2.359503873237957,51.383014429227089],[-2.359508270879463,51.383016213548196],[-2.359528349407873,51.383023343192392],[-2.359531318312034,51.383024232988163],[-2.359544974567845,51.383028236158779],[-2.3595529264399,51.383030009565324],[-2.35955933109841,51.383030888811064],[-2.359570826625797,51.383031302969009],[-2.359574380853522,51.383031292055364],[-2.359756175362088,51.383022643492232],[-2.359757759264224,51.383043313579947],[-2.359805127817686,51.383040471312086],[-2.359886958267307,51.383035725296573],[-2.359965947434693,51.383031257631259],[-2.360052870125423,51.383026226173037],[-2.360276217186096,51.38301340393393],[-2.360422706181058,51.383004862952689],[-2.360451396478808,51.382992189889571]]]}","(51.38306996786272, -2.360160883873157)",35,20,11,7,1
New Bond/Burton Sts           ,Bath                ,374971.51225093362,164932.82492428258,"{""type"":""MultiLineString"",""coordinates"":[[[-2.361088664627213,51.382538343963638],[-2.361076596401019,51.382555460487687],[-2.361094204924482,51.382594958281061],[-2.361079772440261,51.382597699517653],[-2.361077668237801,51.382601301650432],[-2.361074863813712,51.382606254308932],[-2.361068404416873,51.382613465514936],[-2.361062756634921,51.382618426940255],[-2.361055568700349,51.382623393114052],[-2.361046959085834,51.382628363670719],[-2.361044129884619,51.382630170215926],[-2.361031969609888,51.382635601174321],[-2.361070690353674,51.382723215513906],[-2.361100006777243,51.382790093993215],[-2.361112909782517,51.382788705837491],[-2.361110787876197,51.38279006074756],[-2.361110091192699,51.382791860718164],[-2.361107972825665,51.382793665072832],[-2.361107297379154,51.3827981617112],[-2.361107346932484,51.382804453936075],[-2.361108075472042,51.382806698967201],[-2.36110951485366,51.382808941806296],[-2.361110243393412,51.382811186837408],[-2.361111679235709,51.382812980231833],[-2.361115972604847,51.382816562636464],[-2.361118945065833,51.382817901836624],[-2.361120373829388,51.382818796341695],[-2.36112536742282,51.382821028219951],[-2.361131186792882,51.382822808095852],[-2.361139126411507,51.382838065099072],[-2.361126287108011,51.382847543261015],[-2.361133641439905,51.382863700980586],[-2.361143039809146,51.382868616007215],[-2.361153820926483,51.382868582757588],[-2.361155274472297,51.382872623374595],[-2.361159631571256,51.382884295780826],[-2.361142477641065,51.382887494873778],[-2.361162982826527,51.382933725554508],[-2.361178718625064,51.382930980288116],[-2.361183047413321,51.38293905713639],[-2.361238670230369,51.38306662082563],[-2.361229618522283,51.383075637858838],[-2.361222220002304,51.383068918848224],[-2.36126685579907,51.383170358101204],[-2.361271174002103,51.383177086612015],[-2.361291675906613,51.383222867822823],[-2.361310373664485,51.38322011340049],[-2.361340976981065,51.383284830457463]],[[-2.360881510615985,51.382967493473743],[-2.360841421392361,51.382886625125458],[-2.360814333299191,51.382831875016677],[-2.360787370817334,51.382778023425274],[-2.360761129848104,51.382725517971082],[-2.36073849617714,51.382679743231463],[-2.360729695583906,51.382660443753117],[-2.360720276087238,51.382652832024988]],[[-2.360887891050174,51.38267928291517],[-2.360953914256665,51.382668292490045],[-2.360986141066329,51.382743701682692],[-2.361012435382184,51.382802948755398],[-2.361032951014936,51.382850527793785],[-2.361054198767928,51.382900801304167],[-2.361077614492794,51.382955562680877],[-2.361010880058873,51.382966555367339],[-2.360887891050174,51.38267928291517]],[[-2.361037530067589,51.383251517898984],[-2.360995384625019,51.383195465890857],[-2.360944748038065,51.383144384050595],[-2.360882695627616,51.383118057423616]]]}","(51.38288690834255, -2.361031624004647)",35,20,11,7,1
