Ref,Description,Title,DateMade,Easting,Northing,Geometry,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
75/00002/TPO,The several trees of whatever species standing in the area numbered A.10,City of Bath (London Road West and Bailbrook Lane). Tree Preservation Order 1975,10/27/1975 12:00:00 AM,377246.21245442313,167087.4904329922,"{""type"":""Polygon"",""coordinates"":[[[-2.327508266610458,51.402840595898425],[-2.327564214569395,51.402807809088472],[-2.327829204668664,51.402686434241303],[-2.327914205945584,51.402771592465058],[-2.328519924899834,51.402479727582815],[-2.32867262892061,51.402501951586871],[-2.328739197114035,51.402248003182891],[-2.329561723877521,51.401878757383287],[-2.329526645934574,51.401846585310892],[-2.329455777765406,51.401782063356514],[-2.328889850690851,51.40205071946103],[-2.328212295081002,51.402389800490468],[-2.32749469706457,51.402749664424412],[-2.327435870462792,51.402777695041244],[-2.327508266610458,51.402840595898425]]]}","(51.40235568228123, -2.3284850052283135)",23,58,216,4,1
75/00002/TPO,The several trees of whatever species standing in the area numbered A.9,City of Bath (London Road West and Bailbrook Lane). Tree Preservation Order 1975,10/27/1975 12:00:00 AM,377180.86165366118,167113.15415454371,"{""type"":""Polygon"",""coordinates"":[[[-2.330256787543239,51.402425402586573],[-2.330222232062575,51.402416510953714],[-2.330189319745957,51.402405367409301],[-2.33016460507813,51.402396897467298],[-2.330142837990332,51.40238626183293],[-2.330128326819974,51.402379201370728],[-2.330109770922434,51.402370084820745],[-2.330053125319421,51.402322152928711],[-2.329996921561647,51.402269725226745],[-2.329702778989253,51.40235774771137],[-2.328852138093164,51.402609226655109],[-2.328798713256763,51.402712661117377],[-2.328786785565042,51.402735257179145],[-2.32876315767814,51.40279564019432],[-2.328807403888986,51.402800549856885],[-2.328828063490192,51.402805525731736],[-2.328851956194981,51.402815076951853],[-2.328873429552549,51.402834343160443],[-2.328884167405138,51.402860650991116],[-2.328883440070472,51.402907935559583],[-2.328875383276428,51.402941397537667],[-2.328864739349538,51.402961203388699],[-2.328847257025001,51.402986062321844],[-2.328828895322028,51.403004002135063],[-2.328774705445137,51.40305044800386],[-2.328826584507092,51.40304535835979],[-2.328937780713151,51.403031113028412],[-2.328945225908941,51.402978506038409],[-2.32894800125978,51.402952340039818],[-2.328948940633406,51.402918089032013],[-2.32894761145567,51.402898047131899],[-2.328948706363189,51.402885459353755],[-2.328955726919564,51.402872765040506],[-2.328972230186545,51.402860133980674],[-2.329000487511301,51.402850256511456],[-2.329283030371032,51.402747346554435],[-2.330064677000491,51.402494261145883],[-2.330185037370604,51.402452572123273],[-2.330256787543239,51.402425402586573]]]}","(51.4025837969857, -2.329426101086245)",23,58,216,4,1
84/00003/TPO,Oak,Wansdyke District Council (Clutton No. 2) Tree Preservation Order 1984,12/18/1984 12:00:00 AM,362320.54073645564,158936.74408548546,"{""type"":""Polygon"",""coordinates"":[[[-2.542102113541393,51.32827227186425],[-2.542105709475869,51.328286188541711],[-2.542116033267349,51.32829863578749],[-2.542132125553132,51.328308539332944],[-2.542152198654858,51.328314828744752],[-2.542174351861801,51.328316883575823],[-2.542196454163288,51.328314623801518],[-2.542216376669782,51.328308149173687],[-2.542232233518185,51.328298097674768],[-2.542242262483035,51.328285556177335],[-2.542245529654497,51.328271607717603],[-2.542241933678917,51.328257691044506],[-2.542231609862715,51.328245243809818],[-2.542215517577848,51.328235340277899],[-2.542195444502331,51.3282290508768],[-2.542173291336826,51.328226996049558],[-2.542151189076261,51.328229255819423],[-2.542131266594605,51.328235730436155],[-2.542115409745446,51.328245781921531],[-2.542105380754503,51.328258323408235],[-2.542102113541393,51.32827227186425]]]}","(51.328271939817704, -2.542173821598472)",5,35,99,20,1
85/00007/TPO,Larch,Wansdyke District Council (Clutton No. 3). Tree Preservation Order 1985,02/14/1985 12:00:00 AM,362146.80905399448,158964.04627031647,"{""type"":""Polygon"",""coordinates"":[[[-2.54459835609515,51.3285061831889],[-2.544601952803486,51.328520099786878],[-2.544612277322122,51.328532546809939],[-2.544628370225266,51.328542450010232],[-2.544648443767602,51.328548738992673],[-2.544670597195305,51.328550793350885],[-2.544692699482855,51.328548533105661],[-2.544712621735681,51.328542058054289],[-2.544728478116043,51.32853200621922],[-2.54473850644886,51.328519464510471],[-2.544741772878552,51.328505515983856],[-2.544738176129099,51.32849159939029],[-2.544727851585741,51.328479152378286],[-2.54471175868352,51.328469249191571],[-2.544691685167409,51.328462960219817],[-2.54466953178116,51.328460905865427],[-2.544647429534516,51.328463166106204],[-2.544627507306512,51.328469641146498],[-2.544611650925389,51.328479692967996],[-2.544601622566478,51.328492234666044],[-2.54459835609515,51.3285061831889]]]}","(51.328505849613165, -2.5446700644873737)",5,35,100,20,1
85/00007/TPO,Larch,Wansdyke District Council (Clutton No. 3). Tree Preservation Order 1985,02/14/1985 12:00:00 AM,362137.55809543899,158968.67494537195,"{""type"":""Polygon"",""coordinates"":[[[-2.544731616460203,51.328547183440037],[-2.544735213212149,51.328561100033667],[-2.544745537776051,51.32857354704479],[-2.544761630722193,51.32858345022656],[-2.544781704300513,51.328589739186015],[-2.54480385775375,51.328591793518932],[-2.544825960054267,51.328589533248525],[-2.544845882305875,51.328583058174537],[-2.544861738671036,51.328573006321569],[-2.544871766976257,51.328560464601566],[-2.544875033368308,51.328546516071469],[-2.544871436575246,51.328532599482202],[-2.544861111986623,51.328520152482163],[-2.544845019041418,51.328510249313958],[-2.544824945489308,51.328503960365197],[-2.544802792077512,51.328501906036117],[-2.544780689817916,51.328504166302032],[-2.544760767591145,51.328510641364957],[-2.544744911225207,51.328520693204375],[-2.544734882893892,51.328533234913678],[-2.544731616460203,51.328547183440037]]]}","(51.32854684978251, -2.544803324914779)",5,35,100,20,1
85/00007/TPO,Larch,Wansdyke District Council (Clutton No. 3). Tree Preservation Order 1985,02/14/1985 12:00:00 AM,362127.63928693446,158973.29362328915,"{""type"":""Polygon"",""coordinates"":[[[-2.544874460798098,51.328588049044235],[-2.544878057596541,51.328601965633268],[-2.544888382208295,51.328614412631566],[-2.544904475199428,51.328624315793505],[-2.544924548814988,51.328630604728325],[-2.544946702294107,51.328632659034149],[-2.544968804607011,51.32863039873677],[-2.544988726855995,51.328623923638524],[-2.54500458320379,51.328613871766329],[-2.545014611478794,51.328601330034289],[-2.545017877830285,51.328587381500419],[-2.545014280990727,51.328573464915777],[-2.545003956354251,51.328561017928564],[-2.544987863364068,51.32855111478019],[-2.544967789774705,51.328544825856063],[-2.544945636337043,51.328542771554083],[-2.544923534065045,51.328545031847007],[-2.544903611840911,51.32855150693414],[-2.544887755492326,51.328561558792785],[-2.544877727191227,51.328574100514132],[-2.544874460798098,51.328588049044235]]]}","(51.328587715299136, -2.544946169314718)",5,35,100,20,1
